Category_Set,Category_Occurrences,Total_Examples,Entity_Number
SAN JUAN,395,1351,1
SAN JUANS,1,1351,1
SANJUAN,1,1351,1
BAYAMON,77,1351,2
PONCE,70,1351,3
GUAYNABO,56,1351,4
MAYAGUEZ,56,1351,5
MAYAQUEZ,1,1351,5
CAGUAS,49,1351,6
CAROLINA,36,1351,7
ARECIBO,32,1351,8
HUMACAO,29,1351,9
AGUADILLA,27,1351,10
SAN GERMAN,21,1351,11
DORADO,20,1351,12
MANATI,13,1351,13
VIEQUES,13,1351,14
HATILLO,12,1351,15
FAJARDO,12,1351,16
RINCON,12,1351,17
CAYEY,12,1351,18
GURABO,12,1351,19
RIO GRANDE,12,1351,20
ISABELA,11,1351,21
YAUCO,11,1351,22
CABO ROJO,11,1351,23
LAS PIEDRAS,10,1351,24
GUAYAMA,10,1351,25
VEGA ALTA,9,1351,26
MOCA,9,1351,27
CANOVANAS,9,1351,28
LOIZA,8,1351,29
TOA ALTA,8,1351,30
CAMUY,8,1351,31
AGUADA,8,1351,32
TRUJILLO ALTO,8,1351,33
TRUJILLO ALTL,1,1351,33
SAINT JUST,8,1351,34
HORMIGUEROS,8,1351,35
VEGA BAJA,8,1351,36
CATANO,8,1351,37
CULEBRA,8,1351,38
JUANA DIAZ,7,1351,39
CIDRA,7,1351,40
FLORIDA,7,1351,41
TOA BAJA,7,1351,42
AIBONITO,7,1351,43
SAN SEBASTIAN,7,1351,44
JUNCOS,6,1351,45
RIO PIEDRAS,6,1351,46
LARES,6,1351,47
SABANA HOYOS,6,1351,48
LUQUILLO,6,1351,49
COROZAL,6,1351,50
LAJAS,6,1351,51
SAN ANTONIO,6,1351,52
CEIBA,6,1351,53
SABANA GRANDE,5,1351,54
SANTURCE,5,1351,55
QUEBRADILLAS,5,1351,56
NAGUABO,5,1351,57
ADJUNTAS,5,1351,58
BARCELONETA,5,1351,59
PENUELAS,4,1351,60
OROCOVIS,4,1351,61
VILLALBA,4,1351,62
UTUADO,4,1351,63
MOROVIS,4,1351,64
COTO LAUREL,4,1351,65
BAJADERO,4,1351,66
BARRANQUITAS,3,1351,67
MERCEDITA,3,1351,68
NARANJITO,3,1351,69
YABUCOA,3,1351,70
LEVITTOWN,3,1351,71
AGUAS BUENAS,3,1351,72
CIALES,3,1351,73
ARROYO,3,1351,74
SAN LORENZO,3,1351,75
PALMER,2,1351,76
ANASCO,2,1351,77
SANTA ISABEL,2,1351,78
COAMO,2,1351,79
LAS MARIAS,2,1351,80
CASTANER,2,1351,81
HATO REY,2,1351,82
HATO RETY,1,1351,82
FORT BUCHANAN,2,1351,83
ANGELES,2,1351,84
GUAYANILLA,2,1351,85
PATILLAS,2,1351,86
PUNTA STGO,2,1351,87
ENSENADA,1,1351,88
VISTA MAR CAROLINA,1,1351,89
SABANA SECA,1,1351,90
MARICAO,1,1351,91
BO GUAYABAL JUANA DIAZ,1,1351,92
PUERTO REAL,1,1351,93
SALINAS,1,1351,94
BOYAMON,1,1351,95
MIRAMAR,1,1351,96
GUANICA,1,1351,97
MAUNABO,1,1351,98
BOQUERON,1,1351,99
MONTE CLARO BAYAMON,1,1351,100
GUADIANA,1,1351,101
ALTAMIRA RIO PIEDROS,1,1351,102
