Category_Set,Category_Occurrences,Total_Examples,Entity_Number
ALASKA,9,374362,1
AK,5,374362,1
AL,185,374362,2
ALABAMA,107,374362,2
AR,100,374362,3
ARKANSAS,66,374362,3
AZ,3172,374362,4
ARIZONA,2427,374362,4
CA,35299,374362,5
CALIFORNIA,19895,374362,5
CO,1236,374362,6
COLORADO,774,374362,6
CT,1058,374362,7
CONNECTICUT,559,374362,7
DC,2403,374362,8
DISTRICT OF COLUMBIA,1597,374362,8
DELAWARE,28,374362,9
DE,5,374362,9
FL,3701,374362,10
FLORIDA,1769,374362,10
GA,8811,374362,11
GEORGIA,3703,374362,11
GU,145,374362,12
GUAM,57,374362,12
HI,55,374362,13
HAWAII,34,374362,13
IA,104,374362,14
IOWA,69,374362,14
ID,8,374362,15
IDAHO,6,374362,15
IL,6813,374362,16
ILLINOIS,3707,374362,16
IN,185,374362,17
INDIANA,128,374362,17
KS,153,374362,18
KANSAS,106,374362,18
KY,155,374362,19
KENTUCKY,72,374362,19
LA,367,374362,20
LOUISIANA,205,374362,20
MA,8105,374362,21
MASSACHUSETTS,4048,374362,21
ME,125,374362,22
MAINE,71,374362,22
MARSHALL ISLANDS,1,374362,23
MD,3021,374362,24
MARYLAND,1842,374362,24
MI,6511,374362,25
MICHIGAN,3405,374362,25
MN,1150,374362,26
MINNESOTA,633,374362,26
MS,50,374362,27
MISSISSIPPI,27,374362,27
MO,639,374362,28
MISSOURI,414,374362,28
MT,14,374362,29
MONTANA,4,374362,29
MP,7,374362,30
NC,2295,374362,31
NORTH CAROLINA,1283,374362,31
ND,7,374362,32
NORTH DAKOTA,6,374362,32
NE,443,374362,33
NEBRASKA,245,374362,33
NV,26,374362,34
NEVADA,15,374362,34
NH,96,374362,35
NEW HAMPSHIRE,74,374362,35
NJ,5121,374362,36
NEW JERSEY,2772,374362,36
NM,91,374362,37
NEW MEXICO,44,374362,37
NY,16443,374362,38
NEW YORK,9455,374362,38
OH,2208,374362,39
OHIO,1335,374362,39
OK,192,374362,40
OKLAHOMA,105,374362,40
OR,334,374362,41
OREGON,225,374362,41
PA,3471,374362,42
PENNSYLVANIA,2001,374362,42
PR,48,374362,43
PUERTO RICO,27,374362,43
RI,57,374362,44
RHODE ISLAND,43,374362,44
SC,346,374362,45
SOUTH CAROLINA,148,374362,45
SD,6,374362,46
SOUTH DAKOTA,5,374362,46
TN,404,374362,47
TENNESSEE,251,374362,47
TX,10782,374362,48
TEXAS,6682,374362,48
UT,298,374362,49
UTAH,143,374362,49
VA,5284,374362,50
VIRGINIA,2734,374362,50
VT,142,374362,51
VERMONT,89,374362,51
VI,2,374362,52
WA,1942,374362,53
WASHINGTON,517,374362,53
WEST VIRGINIA,2,374362,54
WV,1,374362,54
WI,393,374362,55
WISCONSIN,260,374362,55
WY,1,374362,56
