Category_Set,Category_Occurrences,Total_Examples,Entity_Number
AK,67,374362,1
ALASKA,44,374362,1
AL,630,374362,2
ALABAMA,404,374362,2
AR,527,374362,3
ARKANSAS,347,374362,3
AZ,2153,374362,4
ARIZONA,1427,374362,4
CA,36103,374362,5
CALIFORNIA,21534,374362,5
CO,1390,374362,6
COLORADO,835,374362,6
CT,1967,374362,7
CONNECTICUT,1422,374362,7
DC,273,374362,8
DISTRICT OF COLUMBIA,205,374362,8
DE,633,374362,9
DELAWARE,385,374362,9
FL,4669,374362,10
FLORIDA,2587,374362,10
GA,4017,374362,11
GEORGIA,2375,374362,11
GU,152,374362,12
GUAM,54,374362,12
HI,123,374362,13
HAWAII,87,374362,13
IA,692,374362,14
IOWA,484,374362,14
ID,252,374362,15
IDAHO,111,374362,15
IL,5940,374362,16
ILLINOIS,4047,374362,16
IN,1275,374362,17
INDIANA,666,374362,17
KS,877,374362,18
KANSAS,480,374362,18
KY,518,374362,19
KENTUCKY,305,374362,19
LA,376,374362,20
LOUISIANA,269,374362,20
MA,4592,374362,21
MASSACHUSETTS,2801,374362,21
ME,146,374362,22
MAINE,116,374362,22
MH,2,374362,23
MARSHALL ISLANDS,1,374362,23
MD,2322,374362,24
MARYLAND,1692,374362,24
MI,3449,374362,25
MICHIGAN,1763,374362,25
MN,1803,374362,26
MINNESOTA,1170,374362,26
MS,186,374362,27
MISSISSIPPI,83,374362,27
MO,1090,374362,28
MISSOURI,658,374362,28
MT,65,374362,29
MONTANA,19,374362,29
MP,34,374362,30
NORTHERN MARIANA ISLANDS,5,374362,30
NC,3699,374362,31
NORTH CAROLINA,2176,374362,31
ND,142,374362,32
NORTH DAKOTA,92,374362,32
NE,437,374362,33
NEBRASKA,296,374362,33
NV,287,374362,34
NEVADA,194,374362,34
NH,519,374362,35
NEW HAMPSHIRE,324,374362,35
NJ,10501,374362,36
NEW JERSEY,6918,374362,36
NM,321,374362,37
NEW MEXICO,208,374362,37
NY,8051,374362,38
NEW YORK,5171,374362,38
OH,2863,374362,39
OHIO,1776,374362,39
OK,463,374362,40
OKLAHOMA,233,374362,40
OR,1757,374362,41
OREGON,1382,374362,41
PA,3567,374362,42
PENNSYLVANIA,2352,374362,42
PR,62,374362,43
PUERTO RICO,37,374362,43
RI,353,374362,44
RHODE ISLAND,193,374362,44
SC,608,374362,45
SOUTH CAROLINA,308,374362,45
SD,103,374362,46
SOUTH DAKOTA,66,374362,46
TN,1006,374362,47
TENNESSEE,598,374362,47
TX,12075,374362,48
TEXAS,7581,374362,48
UT,540,374362,49
UTAH,377,374362,49
VA,4508,374362,50
VIRGINIA,2780,374362,50
VT,53,374362,51
VERMONT,42,374362,51
VIRGIN ISLANDS,21,374362,52
VI,17,374362,52
WA,8178,374362,53
WASHINGTON,3413,374362,53
WV,115,374362,54
WEST VIRGINIA,78,374362,54
WI,1437,374362,55
WISCONSIN,871,374362,55
WY,36,374362,56
WYOMING,14,374362,56
