Category_Set,Category_Occurrences,Total_Examples,Entity_Number
ALASKA,56,374362,1
AK,53,374362,1
ALABAMA,1407,374362,2
AL,823,374362,2
AR,936,374362,3
ARKANSAS,761,374362,3
ARIZONA,1801,374362,4
AZ,1400,374362,4
BRITISH COLUMBIA,3,374362,5
BC,1,374362,5
CALIFORNIA,51127,374362,6
CA,42366,374362,6
COLORADO,1495,374362,7
CO,1227,374362,7
CONNECTICUT,2034,374362,8
CT,1663,374362,8
DISTRICT OF COLUMBIA,980,374362,9
DC,667,374362,9
DELAWARE,699,374362,10
DE,682,374362,10
FLORIDA,5938,374362,11
FL,5561,374362,11
GA,5848,374362,12
GEORGIA,5520,374362,12
GU,223,374362,13
GUAM,138,374362,13
HAWAII,158,374362,14
HI,113,374362,14
IOWA,830,374362,15
IA,661,374362,15
IDAHO,336,374362,16
ID,312,374362,16
ILLINOIS,8992,374362,17
IL,7331,374362,17
INDIANA,1461,374362,18
IN,1417,374362,18
KANSAS,912,374362,19
KS,579,374362,19
KENTUCKY,937,374362,20
KY,739,374362,20
LOUISIANA,700,374362,21
LA,526,374362,21
MASSACHUSETTS,7240,374362,22
MA,6021,374362,22
MAINE,239,374362,23
ME,162,374362,23
MARSHALL ISLANDS,1,374362,24
MARYLAND,3275,374362,25
MD,2458,374362,25
MICHIGAN,6669,374362,26
MI,5332,374362,26
MINNESOTA,1554,374362,27
MN,1325,374362,27
MISSISSIPPI,459,374362,28
MS,163,374362,28
MISSOURI,1746,374362,29
MO,1617,374362,29
MT,78,374362,30
MONTANA,63,374362,30
MP,51,374362,31
NORTHERN MARIANA ISLANDS,22,374362,31
NC,4223,374362,32
NORTH CAROLINA,4081,374362,32
NORTH DAKOTA,243,374362,33
ND,172,374362,33
NEBRASKA,672,374362,34
NE,587,374362,34
NEVADA,404,374362,35
NV,319,374362,35
NEW HAMPSHIRE,386,374362,36
NH,267,374362,36
NEW JERSEY,16271,374362,37
NJ,13864,374362,37
NEW MEXICO,409,374362,38
NM,319,374362,38
NEW YORK,15489,374362,39
NY,12586,374362,39
OHIO,3518,374362,40
OH,2663,374362,40
OKLAHOMA,438,374362,41
OK,409,374362,41
OREGON,620,374362,42
OR,520,374362,42
PENNSYLVANIA,6530,374362,43
PA,5375,374362,43
PR,96,374362,44
PUERTO RICO,96,374362,44
RI,431,374362,45
RHODE ISLAND,394,374362,45
SOUTH CAROLINA,1379,374362,46
SC,1133,374362,46
SOUTH DAKOTA,180,374362,47
SD,143,374362,47
TENNESSEE,1141,374362,48
TN,1069,374362,48
TEXAS,25082,374362,49
TX,20099,374362,49
UTAH,664,374362,50
UT,472,374362,50
VIRGINIA,6613,374362,51
VA,5437,374362,51
VERMONT,298,374362,52
VT,178,374362,52
VIRGIN ISLANDS,49,374362,53
VI,18,374362,53
WASHINGTON,8820,374362,54
WA,8293,374362,54
WEST VIRGINIA,188,374362,55
WV,128,374362,55
WI,1826,374362,56
WISCONSIN,1724,374362,56
WYOMING,65,374362,57
WY,51,374362,57
