Category_Set,Category_Occurrences,Total_Examples,Entity_Number
CALIFORNIA,47699,374362,1
CA,39621,374362,1
TEXAS,24872,374362,2
TX,21231,374362,2
NEW JERSEY,16726,374362,3
NJ,13702,374362,3
NEW YORK,16089,374362,4
NY,13263,374362,4
WASHINGTON,8853,374362,5
WA,8318,374362,5
ILLINOIS,8824,374362,6
IL,6720,374362,6
MASSACHUSETTS,7070,374362,7
MA,5759,374362,7
VIRGINIA,6831,374362,8
VA,5794,374362,8
MICHIGAN,6549,374362,9
MI,5229,374362,9
FLORIDA,6358,374362,10
FL,5751,374362,10
GA,5974,374362,11
GEORGIA,5943,374362,11
PENNSYLVANIA,5270,374362,12
PA,3947,374362,12
NC,4378,374362,13
NORTH CAROLINA,3974,374362,13
OHIO,3831,374362,14
OH,2957,374362,14
MARYLAND,3391,374362,15
MD,2508,374362,15
OREGON,2723,374362,16
OR,1630,374362,16
ARIZONA,2454,374362,17
AZ,1881,374362,17
CONNECTICUT,1977,374362,18
CT,1612,374362,18
WI,1812,374362,19
WISCONSIN,1590,374362,19
MINNESOTA,1656,374362,20
MN,1405,374362,20
COLORADO,1647,374362,21
CO,1381,374362,21
MISSOURI,1488,374362,22
MO,1481,374362,22
SC,1452,374362,23
SOUTH CAROLINA,1397,374362,23
INDIANA,1439,374362,24
IN,1368,374362,24
ALABAMA,1432,374362,25
AL,845,374362,25
DISTRICT OF COLUMBIA,1098,374362,26
DC,745,374362,26
TENNESSEE,1046,374362,27
TN,1039,374362,27
IOWA,917,374362,28
IA,705,374362,28
KENTUCKY,916,374362,29
KY,709,374362,29
KANSAS,913,374362,30
KS,571,374362,30
DE,868,374362,31
DELAWARE,831,374362,31
UTAH,760,374362,32
UT,597,374362,32
AR,759,374362,33
ARKANSAS,533,374362,33
LOUISIANA,721,374362,34
LA,574,374362,34
NEBRASKA,656,374362,35
NE,580,374362,35
NEW HAMPSHIRE,514,374362,36
NH,373,374362,36
OKLAHOMA,502,374362,37
OK,491,374362,37
MISSISSIPPI,488,374362,38
MS,223,374362,38
NEW MEXICO,451,374362,39
NM,366,374362,39
NEVADA,425,374362,40
NV,327,374362,40
RHODE ISLAND,329,374362,41
RI,280,374362,41
VERMONT,270,374362,42
VT,163,374362,42
IDAHO,264,374362,43
ID,260,374362,43
NORTH DAKOTA,248,374362,44
ND,186,374362,44
MAINE,247,374362,45
ME,148,374362,45
GU,229,374362,46
GUAM,138,374362,46
WEST VIRGINIA,211,374362,47
WV,146,374362,47
HAWAII,177,374362,48
HI,139,374362,48
SOUTH DAKOTA,150,374362,49
SD,111,374362,49
PR,110,374362,50
PUERTO RICO,103,374362,50
MT,86,374362,51
MONTANA,73,374362,51
WYOMING,71,374362,52
WY,47,374362,52
ALASKA,64,374362,53
AK,58,374362,53
VIRGIN ISLANDS,53,374362,54
VI,18,374362,54
MP,49,374362,55
NORTHERN MARIANA ISLANDS,23,374362,55
MARSHALL ISLANDS,6,374362,56
MH,1,374362,56
FEDERATED STATES OF MICRONESIA,1,374362,57
