Category_Set,Category_Occurrences,Total_Examples,Entity_Number
A,6,374362,1
Attorney at Law,26670,374362,2
ATTORNEY AT LAW,4256,374362,2
ATTORNEY-AT-LAW,1996,374362,2
Attorney-at-Law,1482,374362,2
Attorney At Law,1385,374362,2
Attorney at law,797,374362,2
Attorney-at-law,253,374362,2
Attorney at  Law,201,374362,2
Attorney-At-Law,198,374362,2
attorney at law,70,374362,2
Attoney at Law,64,374362,2
ATTORNET AT LAW,15,374362,2
Attorney-At- Law,15,374362,2
ATTY AT LAW,11,374362,2
Attoreny at Law,5,374362,2
Attornet at Law,5,374362,2
Atorney at Law,4,374362,2
Attorney At law,4,374362,2
attorney at Law,4,374362,2
Attorney at Law,4,374362,2
Attroney At Law,4,374362,2
Attroney at Law,4,374362,2
Atttorney at Law,4,374362,2
Atty at Law,4,374362,2
Attorney- At- Law,3,374362,2
Attorney- at- Law,3,374362,2
ATTORNEY- AT- LAW,3,374362,2
Attorney-At-law,3,374362,2
ATTORNY AT LAW,3,374362,2
ATORNEY AT LAW,2,374362,2
Attonrey at Law,2,374362,2
ATTORENY-AT-LAW,2,374362,2
Attornay at Law,2,374362,2
Attornery at Law,2,374362,2
Attornet at law,2,374362,2
Attorney - at - law,2,374362,2
ATTORNEY - AT - LAW,2,374362,2
Attorney At  Law,2,374362,2
Attorney of law,2,374362,2
Attorney- At-Law,2,374362,2
ATTORNEY- AT-LAW,2,374362,2
Attorney- at-Law,2,374362,2
Attorney-At -Law,2,374362,2
Attorney-of-Law,2,374362,2
Attorneys at Law,2,374362,2
Aattorney at law,1,374362,2
Arrotney at Law,1,374362,2
Atorney-at-Law,1,374362,2
Atorney-At-Law,1,374362,2
Atrorney at Law,1,374362,2
ATTONEY AT LAW,1,374362,2
Attoney-at-law,1,374362,2
ATTONREY-AT-LAW,1,374362,2
Attoreny At  Law,1,374362,2
ATTORENY AT LAW,1,374362,2
ATTOREY AT LAW,1,374362,2
Attorne at Law,1,374362,2
Attornet-At-Law,1,374362,2
Attorney  at Law,1,374362,2
Attorney - At - Law,1,374362,2
ATTORNEY -AT - LAW,1,374362,2
Attorney -At-Law,1,374362,2
Attorney a Law,1,374362,2
Attorney ar Law,1,374362,2
ATTORNEY AT ALW,1,374362,2
Attorney at aw,1,374362,2
Attorney at Lalw,1,374362,2
ATTORNEY at Law,1,374362,2
Attorney at Lawa,1,374362,2
Attorney at Lawg,1,374362,2
Attorney at-Law,1,374362,2
ATTORNEY IN LAW,1,374362,2
Attorney Law,1,374362,2
attorney law law,1,374362,2
Attorney of Law,1,374362,2
Attorney-at -Law,1,374362,2
ATTORNEY-AT LAW,1,374362,2
Attorney-at_law,1,374362,2
Attorney-at--Law,1,374362,2
attorney-At-Law,1,374362,2
Attorney-AT-Law,1,374362,2
Attorney-atLaw,1,374362,2
"Attorney, 3i Law",1,374362,2
Attorneya at Law,1,374362,2
Attorneyt at Law,1,374362,2
Attorny at law,1,374362,2
Attornye at Law,1,374362,2
Attoryney at law,1,374362,2
Attoryney-at-law,1,374362,2
Attrorney at Law,1,374362,2
Atttorney At Law,1,374362,2
Atttorney-at-Law,1,374362,2
ATTY-AT-LAW,1,374362,2
ATTY. AT LAW,1,374362,2
ACCOUNTANT,4,374362,3
Accounting Manager,1,374362,4
Accounts Receivable Manager,2,374362,5
ADMIN ADVISOR,1,374362,6
ADMINISTRATOR,2,374362,7
ADMIN.,1,374362,7
Administrator,1,374362,7
Admin. Manager,1,374362,8
ADMINISTRATIVE ASSISTANT,2,374362,9
ADMINISTRATIVE SECRETARY,6,374362,10
ADMINISTRATIVE SERVICES,3,374362,11
AGENT,1323,374362,12
agent,1069,374362,12
Agent,161,374362,12
agentt,1,374362,12
agetn,1,374362,12
"AGENT FOR AL-WADI RESTAURANT, LLC",1,374362,13
AGENT ON BEHALF OF ALTRA CONSULTING SERVICES LLC,6,374362,14
AGENT ON BEHALF OF ALTRA CONSULTING SERVICES LLC.,1,374362,14
AGENT ON BEHALF OF ATRA CONSULTING SERVICES LLC,1,374362,14
AGENT OR REPRESENTATIVE,1,374362,15
AGENT/ IMIMGRATION SPECIALIST,1,374362,16
AGENT/ATTORNEY,2,374362,17
ATTORNEY / AGENT,1,374362,17
ATTORNEY/ AGENT,1,374362,17
aholland@fragomen.com,1,374362,18
"Ajay K. Arora, Attorney-at-Law",1,374362,19
Alien Worker Applicant,1,374362,20
"Alston & Bird, LLP",2,374362,21
AMAZONIMMIGRATION@EBGLAW.COM,3,374362,22
An Attorney at Law of NJ,12,374362,23
Attorney for Employer,62,374362,24
ATTORNEY FOR EMPLOYER,21,374362,24
Attorney for employer,14,374362,24
Attorney for the Employer,11,374362,24
Attorney for the employer,5,374362,24
Attorneys for Employer,4,374362,24
An Attorney for Employer,3,374362,24
attorney for the employer,2,374362,24
Attorney For Employer,1,374362,24
Analyst,1,374362,25
Ansbach + Ghouse,1,374362,26
Antonia,1,374362,27
Asher,2,374362,28
Associate Attorney,10327,374362,29
ASSOCIATE ATTORNEY,408,374362,29
Assocaite Attorney,5,374362,29
Assoicate Attorney,4,374362,29
Associate Attoney,3,374362,29
Associate attorney,2,374362,29
ASSCOCIATE ATTORNEY,1,374362,29
Assiciate Attorney,1,374362,29
Associate  Attorney,1,374362,29
Associate Atorney,1,374362,29
Associate Attonrey,1,374362,29
Associate Attoreny,1,374362,29
Associate Attormey,1,374362,29
Associate Attroney,1,374362,29
Associtate Attorney,1,374362,29
Assosciate Attorney,1,374362,29
Asset Manager,1,374362,30
Assistant,18,374362,31
Assisstant,1,374362,31
Assistant - HR,105,374362,32
Assitant - HR,3,374362,32
Assistant  - HR,2,374362,32
