Category_Set,Category_Occurrences,Total_Examples,Entity_Number
Affenpinscher                                     ,4,82545,1
Affenpinscher                           ,2,82545,1
Affenpinscher,1,82545,1
Afghan                                  ,12,82545,2
Afghan,3,82545,2
Afghan Hound                                      ,10,82545,3
Airedale,1,82545,4
Airedale Terrier,38,82545,5
Airedale Terrier                        ,32,82545,5
Airedale Terrier                                  ,22,82545,5
AIREDALE TERRIER,4,82545,5
Airedale Terrier Cross,1,82545,6
Airedale Terrier X                                ,2,82545,7
Airedale Terrier X,1,82545,7
Akita,85,82545,8
Akita                                             ,55,82545,8
Akita                                   ,13,82545,8
Akita X,38,82545,9
Akita X                                           ,31,82545,9
Alaskan Malamute                                  ,153,82545,10
Alaskan Malamute,151,82545,10
Alaskan Malamute                        ,19,82545,10
Alaskan Malamute Cross,1,82545,11
Alaskan Malamute X,52,82545,12
Alaskan Malamute X                                ,43,82545,12
Alsatian,1,82545,13
Alsatian X,1,82545,14
Amer Staff Terrier                      ,56,82545,15
American  Pit Bull Terrier                        ,5,82545,16
American Pit Bull Terrier,2,82545,16
American Bulldog,50,82545,17
American Bull Dog,35,82545,17
American Bulldog                        ,15,82545,17
American Bull Mastiff,2,82545,18
American Bull Terrier,11,82545,19
American Bulldog X,18,82545,20
American Cocker Spaniel,4,82545,21
American Pit Bull,2,82545,22
American Spoodle,1,82545,23
American Staff X (listed as Am Pit Bull TerrierX) ,2,82545,24
American Staffordshire Bull Terrier,249,82545,25
American Staffordshire Bull Terrier X,127,82545,26
American Staffordshire Terrier                    ,571,82545,27
American Staffordshire Terrier,339,82545,27
AMERICAN STAFFORDSHIRE TERRIER,2,82545,27
American Staffordshire Terrier Cross,121,82545,28
American Staffordshire Terrier X                  ,245,82545,29
Anatolian Shepherd Dog,2,82545,30
Anatolian Shephard Dog,1,82545,30
Anatolian Shephard Dog Cross,1,82545,31
Anotolian Shepherd,2,82545,32
Anatolian Shepherd                                ,1,82545,32
Anatolian Shepherd Dog X,2,82545,33
Anatolian Shepherd X                              ,2,82545,34
Aust Bulldog,8,82545,35
AUST CATTLE DOG CROSS,1,82545,36
Aust Terrier Silky,5,82545,37
Australian Bulldog,29,82545,38
Australian Bulldog - Miniature,5,82545,39
Australian Cattle Dog                             ,470,82545,40
Australian Cattle Dog,368,82545,40
Australian Cattle Dog                   ,35,82545,40
AUSTRALIAN CATTLE DOG,13,82545,40
Australian Cattle Dog Cross,33,82545,41
Australian Cattle Dog X                           ,584,82545,42
Australian Cattle Dog X,289,82545,42
Australian Kelpie                                 ,631,82545,43
Australian Kelpie                       ,473,82545,43
Australian Kelpie,283,82545,43
AUSTRALIAN KELPIE,8,82545,43
Australian Kelpie Cross,90,82545,44
AUSTRALIAN KELPIE CROSS,11,82545,44
Australian Kelpie X                               ,1211,82545,45
Australian Kelpie X,389,82545,45
Australian Shepherd                               ,138,82545,46
Australian Shepherd,78,82545,46
Australian Shepherd                     ,43,82545,46
AUSTRALIAN SHEPHERD,3,82545,46
Australian Shepherd Cross,6,82545,47
Australian Shepherd X                             ,14,82545,48
Australian Shepherd X,7,82545,48
Australian Silky Terrier                          ,98,82545,49
Australian Silky Terrier,93,82545,49
Australian Silky Terrier                ,41,82545,49
AUSTRALIAN SILKY TERRIER,5,82545,49
