Category_Set,Category_Occurrences,Total_Examples,Entity_Number
Riots/Protests,47224,165808,1
Violence against civilians,45021,165808,2
Violence Against Civilians,21,165808,2
Battle-No change of territory,44005,165808,3
Battle-no change of territory,16,165808,3
Strategic development,10923,165808,4
Strategic Development,7,165808,4
Strategic development ,1,165808,4
Remote violence,10456,165808,5
Remote Violence,30,165808,5
Battle-Government regains territory,2632,165808,6
Non-violent transfer of territory,2566,165808,7
Battle-Non-state actor overtakes territory,2135,165808,8
Headquarters or base established,771,165808,9
