Category_Set,Category_Occurrences,Total_Examples,Entity_Number
Euro,25,263,1
U.S. dollar,15,263,2
U. S. dollar,1,263,2
West African CFA franc,8,263,3
Central African CFA franc,6,263,4
East Caribbean dollar,6,263,5
Australian dollar,4,263,6
Pound sterling,3,263,7
Danish krone,3,263,8
Swiss franc,2,263,9
CFP franc,2,263,10
Israeli new shekel,2,263,11
Netherlands Antillean guilder,2,263,12
Lao kip,1,263,13
New Zambian kwacha,1,263,14
Uruguayan peso,1,263,15
Iranian rial,1,263,16
Barbados dollar,1,263,17
Trinidad and Tobago dollar,1,263,18
Vanuatu vatu,1,263,19
Syrian pound,1,263,20
Jordanian dinar,1,263,21
Namibian dollar,1,263,22
Polish zloty,1,263,23
Albanian lek,1,263,24
Chilean peso,1,263,25
Hungarian forint,1,263,26
Ethiopian birr,1,263,27
Macao pataca,1,263,28
Lebanese pound,1,263,29
Rial Omani,1,263,30
Libyan dinar,1,263,31
Vietnamese dong,1,263,32
Philippine peso,1,263,33
Russian ruble,1,263,34
South Sudanese Pound,1,263,35
Venezuelan bolivar fuerte,1,263,36
Bangladeshi taka,1,263,37
Honduran lempira,1,263,38
Macedonian denar,1,263,39
Mongolian tugrik,1,263,40
Malagasy ariary,1,263,41
Mauritian rupee,1,263,42
Paraguayan guarani,1,263,43
Uzbek sum,1,263,44
Democratic People's Republic of Korean won,1,263,45
Samoan tala,1,263,46
Guatemalan quetzal,1,263,47
Gibraltar pound,1,263,48
Dominican peso,1,263,49
Kazakh tenge,1,263,50
Afghan afghani,1,263,51
Algerian dinar,1,263,52
Nicaraguan gold cordoba,1,263,53
Botswana pula,1,263,54
Cabo Verde escudo,1,263,55
Yemeni rial,1,263,56
Armenian dram,1,263,57
Czech koruna,1,263,58
New Turkmen manat,1,263,59
Indian rupee,1,263,60
Hong Kong dollar,1,263,61
Tanzanian shilling,1,263,62
Lesotho loti,1,263,63
Moldovan leu,1,263,64
Sierra Leonean leone,1,263,65
Gambian dalasi,1,263,66
Rwandan franc,1,263,67
Suriname dollar,1,263,68
Indonesian rupiah,1,263,69
Brazilian real,1,263,70
Congolese franc,1,263,71
Tongan pa'anga,1,263,72
Iceland krona,1,263,73
New Ghanaian cedi,1,263,74
Ukrainian hryvnia,1,263,75
Kenyan shilling,1,263,76
Panamanian balboa,1,263,77
New Serbian dinar,1,263,78
U.A.E. dirham,1,263,79
Comorian franc,1,263,80
New Romanian leu,1,263,81
Maldivian rufiyaa,1,263,82
Malawi kwacha,1,263,83
Thai baht,1,263,84
Tunisian dinar,1,263,85
Norwegian krone,1,263,86
Papua New Guinea kina,1,263,87
Egyptian pound,1,263,88
Belarusian rubel,1,263,89
Bosnia and Herzegovina convertible mark,1,263,90
New Azeri manat,1,263,91
Kuwaiti dinar,1,263,92
Saudi Arabian riyal,1,263,93
Cuban peso,1,263,94
Myanmar kyat,1,263,95
Mexican peso,1,263,96
Eritrean nakfa,1,263,97
Kyrgyz som,1,263,98
Iraqi dinar,1,263,99
Chinese yuan,1,263,100
Tajik somoni,1,263,101
New Zealand dollar,1,263,102
Jamaican dollar,1,263,103
Nigerian naira,1,263,104
Guinean franc,1,263,105
Sri Lankan rupee,1,263,106
Haitian gourde,1,263,107
Croatian kuna,1,263,108
Swedish krona,1,263,109
Brunei dollar,1,263,110
Aruban florin,1,263,111
Costa Rican colon,1,263,112
South African rand,1,263,113
Angolan kwanza,1,263,114
Korean won,1,263,115
Cambodian riel,1,263,116
Seychelles rupee,1,263,117
Djibouti franc,1,263,118
Burundi franc,1,263,119
Sudanese pound,1,263,120
Malaysian ringgit,1,263,121
Solomon Islands dollar,1,263,122
Swaziland lilangeni,1,263,123
Peruvian new sol,1,263,124
Cayman Islands dollar,1,263,125
Canadian dollar,1,263,126
Moroccan dirham,1,263,127
Bulgarian lev,1,263,128
Japanese yen,1,263,129
Nepalese rupee,1,263,130
Bahamian dollar,1,263,131
Ugandan shilling,1,263,132
Qatari riyal,1,263,133
Mauritanian ouguiya,1,263,134
Fijian dollar,1,263,135
Colombian peso,1,263,136
Bahraini dinar,1,263,137
Singapore dollar,1,263,138
Bermuda dollar,1,263,139
Bolivian Boliviano,1,263,140
Bhutanese ngultrum,1,263,141
Guyana dollar,1,263,142
Somali shilling,1,263,143
Argentine peso,1,263,144
New Turkish lira,1,263,145
São Tomé and Principe dobra,1,263,146
Pakistani rupee,1,263,147
Belize dollar,1,263,148
New Mozambican metical,1,263,149
Georgian lari,1,263,150
