Category_Set,Category_Occurrences,Total_Examples,Entity_Number
Somalia,1,152,1
Libya,1,152,2
Tanzania,1,152,3
Lebanon,1,152,4
Lithuania,1,152,5
Kazakhstan,1,152,6
United States,1,152,7
Montenegro,1,152,8
Kenya,1,152,9
Cameroon,1,152,10
North Korea,1,152,11
New Zealand,1,152,12
Norway,1,152,13
Barbados,1,152,14
Australia,1,152,15
American Samoa,1,152,16
Croatia,1,152,17
Cyprus,1,152,18
Finland,1,152,19
Myanmar,1,152,20
Nigeria,1,152,21
Curaçao,1,152,22
Russian Federation,1,152,23
Venezuela,1,152,24
Taiwan,1,152,25
Bolivia,1,152,26
Ethiopia,1,152,27
South Africa,1,152,28
Guam,1,152,29
Haiti,1,152,30
Tunisia,1,152,31
Argentina,1,152,32
Cote D'Ivoire,1,152,33
Uganda,1,152,34
Turkey,1,152,35
Togo,1,152,36
Jamaica,1,152,37
Cambodia,1,152,38
Afghanistan,1,152,39
Uruguay,1,152,40
Canada,1,152,41
Qatar,1,152,42
Albania,1,152,43
British Indian Ocean Territory,1,152,44
Slovenia,1,152,45
Sri Lanka,1,152,46
Czechia,1,152,47
Germany,1,152,48
Portugal,1,152,49
Republic of Moldova,1,152,50
France,1,152,51
Jordan,1,152,52
Azerbaijan,1,152,53
United Kingdom,1,152,54
Netherlands,1,152,55
Cuba,1,152,56
Paraguay,1,152,57
Iceland,1,152,58
Yemen,1,152,59
Bermuda,1,152,60
Guinea,1,152,61
Colombia,1,152,62
Andorra,1,152,63
Mongolia,1,152,64
El Salvador,1,152,65
Denmark,1,152,66
Honduras,1,152,67
Ecuador,1,152,68
Israel,1,152,69
Puerto Rico,1,152,70
Uzbekistan,1,152,71
Morocco,1,152,72
Ukraine,1,152,73
Ireland,1,152,74
Senegal,1,152,75
China,1,152,76
CN,1,152,76
Maldives,1,152,77
Swaziland,1,152,78
Hungary,1,152,79
Chennai,1,152,80
Belize,1,152,81
United Arab Emirates,1,152,82
Chile,1,152,83
Malta,1,152,84
Iraq,1,152,85
Estonia,1,152,86
Pakistan,1,152,87
Palestine,1,152,88
Ghana,1,152,89
Bosnia and Herzegovina,1,152,90
India,1,152,91
Costa Rica,1,152,92
Kuwait,1,152,93
Armenia,1,152,94
Saudi Arabia,1,152,95
Japan,1,152,96
Mauritius,1,152,97
Iran,1,152,98
Tajikistan,1,152,99
Luxembourg,1,152,100
Philippines,1,152,101
Italy,1,152,102
Sweden,1,152,103
Kosovo,1,152,104
Cayman Islands,1,152,105
Georgia,1,152,106
Panama,1,152,107
Brazil,1,152,108
Syrian Arab Republic,1,152,109
Egypt,1,152,110
Bulgaria,1,152,111
Zimbabwe,1,152,112
Belgium,1,152,113
Romania,1,152,114
Kyrgyzstan,1,152,115
Nepal,1,152,116
Europe,1,152,117
Austria,1,152,118
Oman,1,152,119
Asia/Pacific Region,1,152,120
Malaysia,1,152,121
Spain,1,152,122
Mexico,1,152,123
Bangladesh,1,152,124
Singapore,1,152,125
Namibia,1,152,126
Guatemala,1,152,127
Czech Republic,1,152,128
Indonesia,1,152,129
Algeria,1,152,130
Serbia,1,152,131
Angola,1,152,132
Vietnam,1,152,133
Moldova,1,152,134
Switzerland,1,152,135
Greece,1,152,136
Macedonia,1,152,137
South Korea,1,152,138
Poland,1,152,139
Hong Kong,1,152,140
Papua New Guinea,1,152,141
Thailand,1,152,142
Belarus,1,152,143
Madagascar,1,152,144
Latvia,1,152,145
Republic of Lithuania,1,152,146
Slovak Republic,1,152,147
Macao,1,152,148
Sudan,1,152,149
Dominican Republic,1,152,150
Peru,1,152,151
