Category_Set,Category_Occurrences,Total_Examples,Entity_Number
India,8088,25090,1
United States,4937,25090,2
Canada,642,25090,3
Brazil,502,25090,4
United Kingdom,443,25090,5
Indonesia,387,25090,6
Russian Federation,378,25090,7
Germany,258,25090,8
Turkey,250,25090,9
Poland,248,25090,10
Ukraine,187,25090,11
Singapore,183,25090,12
Mexico,181,25090,13
Romania,174,25090,14
Bangladesh,174,25090,15
Spain,166,25090,16
Australia,161,25090,17
France,152,25090,18
Sri Lanka,145,25090,19
Italy,143,25090,20
Pakistan,138,25090,21
Netherlands,128,25090,22
Egypt,119,25090,23
Hungary,116,25090,24
Portugal,113,25090,25
Vietnam,109,25090,26
Argentina,106,25090,27
Nigeria,102,25090,28
South Africa,96,25090,29
Philippines,93,25090,30
Bulgaria,91,25090,31
Sweden,87,25090,32
Malaysia,86,25090,33
Colombia,81,25090,34
Israel,78,25090,35
South Korea,73,25090,36
Greece,73,25090,37
Ireland,66,25090,38
Chile,62,25090,39
Czech Republic,59,25090,40
Belarus,58,25090,41
Taiwan,57,25090,42
Denmark,54,25090,43
Switzerland,52,25090,44
China,51,25090,45
CN,1,25090,45
Serbia,51,25090,46
Japan,49,25090,47
Hong Kong,44,25090,48
Croatia,41,25090,49
New Zealand,40,25090,50
Nepal,38,25090,51
Kazakhstan,36,25090,52
Kenya,36,25090,53
Slovak Republic,35,25090,54
Venezuela,29,25090,55
Austria,28,25090,56
Finland,28,25090,57
Belgium,27,25090,58
Thailand,26,25090,59
United Arab Emirates,24,25090,60
Morocco,24,25090,61
Peru,23,25090,62
Norway,23,25090,63
Estonia,23,25090,64
Iran,23,25090,65
Algeria,22,25090,66
Lithuania,20,25090,67
Macedonia,20,25090,68
Costa Rica,19,25090,69
Latvia,17,25090,70
Tunisia,17,25090,71
Azerbaijan,16,25090,72
Armenia,14,25090,73
Slovenia,13,25090,74
Georgia,12,25090,75
Czechia,12,25090,76
Uruguay,12,25090,77
Sudan,12,25090,78
Dominican Republic,11,25090,79
Bosnia and Herzegovina,11,25090,80
Cyprus,11,25090,81
Jamaica,11,25090,82
Ghana,11,25090,83
Mongolia,11,25090,84
Puerto Rico,10,25090,85
Jordan,10,25090,86
Palestine,10,25090,87
Bolivia,9,25090,88
Asia/Pacific Region,9,25090,89
Saudi Arabia,9,25090,90
Cuba,9,25090,91
Panama,8,25090,92
Albania,8,25090,93
Ecuador,8,25090,94
Europe,7,25090,95
Uzbekistan,7,25090,96
Uganda,7,25090,97
Cameroon,6,25090,98
Guatemala,6,25090,99
Mauritius,5,25090,100
Lebanon,5,25090,101
El Salvador,5,25090,102
Paraguay,5,25090,103
Republic of Lithuania,5,25090,104
Republic of Moldova,4,25090,105
Cambodia,4,25090,106
Moldova,4,25090,107
Zimbabwe,4,25090,108
Afghanistan,3,25090,109
Tanzania,3,25090,110
Malta,3,25090,111
Luxembourg,3,25090,112
Qatar,3,25090,113
Oman,3,25090,114
Senegal,3,25090,115
Ethiopia,3,25090,116
Honduras,2,25090,117
Madagascar,2,25090,118
Myanmar,2,25090,119
Guinea,2,25090,120
Maldives,2,25090,121
Tajikistan,2,25090,122
Kuwait,2,25090,123
Syrian Arab Republic,2,25090,124
Kosovo,1,25090,125
North Korea,1,25090,126
Bermuda,1,25090,127
Macao,1,25090,128
Iceland,1,25090,129
Yemen,1,25090,130
Montenegro,1,25090,131
Andorra,1,25090,132
Swaziland,1,25090,133
American Samoa,1,25090,134
British Indian Ocean Territory,1,25090,135
Haiti,1,25090,136
Somalia,1,25090,137
Togo,1,25090,138
Kyrgyzstan,1,25090,139
Angola,1,25090,140
Barbados,1,25090,141
Papua New Guinea,1,25090,142
Curaçao,1,25090,143
Chennai,1,25090,144
Belize,1,25090,145
Guam,1,25090,146
Iraq,1,25090,147
Namibia,1,25090,148
Cote D'Ivoire,1,25090,149
Libya,1,25090,150
Cayman Islands,1,25090,151
