Category_Set,Category_Occurrences,Total_Examples,Entity_Number
South East England,5667,50000,2
Lancashire,2375,50000,3
West Midlands,1934,50000,4
West Midlands (Region),441,50000,4
Surrey,1915,50000,5
West Yorkshire,1616,50000,6
Hampshire,1450,50000,7
Berkshire,1373,50000,8
Essex,1281,50000,9
Kent,1223,50000,10
Hertfordshire,1212,50000,11
Cheshire,1071,50000,12
Cambridgeshire,994,50000,13
Middlesex,990,50000,14
Buckinghamshire,971,50000,15
Avon,952,50000,16
Oxfordshire,780,50000,17
South Yorkshire,749,50000,18
West Sussex,666,50000,19
Northamptonshire,593,50000,20
Merseyside,592,50000,21
Wiltshire,579,50000,22
Lanarkshire,576,50000,23
Devon,575,50000,24
Leicestershire,571,50000,25
Nottinghamshire,561,50000,26
Dorset,505,50000,27
Bedfordshire,484,50000,28
Staffordshire,479,50000,29
Somerset,461,50000,30
Gloucestershire,454,50000,31
East Sussex,424,50000,33
Suffolk,420,50000,34
Midlothian,417,50000,35
Norfolk,414,50000,36
Warwickshire,407,50000,37
England,391,50000,38
North Yorkshire,387,50000,39
Tyne And Wear,386,50000,40
Tyne and Wear,147,50000,40
East Midlands,367,50000,41
Derbyshire,355,50000,42
Worcestershire,322,50000,43
South Glamorgan,299,50000,44
South West England,292,50000,45
North West England,253,50000,46
Lincolnshire,227,50000,47
Shropshire,226,50000,48
East Anglia,200,50000,49
County Durham,196,50000,50
Aberdeenshire,187,50000,51
Aberdeen,3,50000,51
North Humberside,183,50000,52
Cleveland,181,50000,53
Clwyd,179,50000,54
Yorkshire and Humberside,162,50000,55
Rest of the World,161,50000,56
Cornwall,149,50000,57
Gwent,128,50000,58
Cumbria,124,50000,59
County Antrim,108,50000,60
North East England,105,50000,61
Scotland,90,50000,62
South Humberside,88,50000,63
Ireland,87,50000,64
Stirlingshire,81,50000,65
Angus,78,50000,66
Mid Glamorgan,76,50000,67
Herefordshire,66,50000,68
West Glamorgan,61,50000,69
Central London,59,50000,70
Inverness-Shire,58,50000,71
Inverness-shire,22,50000,71
Fife,54,50000,72
Renfrewshire,52,50000,73
Gwynedd,43,50000,74
London,5900,50000,75
City of London,42,50000,75
Northern Ireland,41,50000,76
Northumberland,41,50000,77
Ayrshire,40,50000,78
Gibraltar,39,50000,79
Dyfed,39,50000,80
USA,37,50000,81
Germany,34,50000,82
West Lothian,34,50000,83
Other,33,50000,84
Perthshire,32,50000,85
Manchester,31,50000,86
Dumfriesshire,31,50000,87
Wales,30,50000,88
Powys,30,50000,89
Bristol,29,50000,90
South East London,29,50000,91
Channel Islands,28,50000,92
Ross-shire,26,50000,93
Ross-Shire,9,50000,93
Rutland,26,50000,94
Cardiff,24,50000,95
United Arab Emirates,24,50000,96
Malta,23,50000,97
Hungary,23,50000,98
North West London,21,50000,99
West London,21,50000,100
Dunbartonshire,20,50000,101
Argyll,19,50000,102
Abu Dhabi,19,50000,103
South West London,18,50000,104
County Derry,17,50000,105
Netherlands,17,50000,106
Singapore,16,50000,107
Isle of Orkney,15,50000,108
Switzerland,15,50000,109
Roxburghshire,15,50000,110
Belgium,15,50000,111
East Lothian,14,50000,112
Spain,13,50000,113
France,13,50000,114
North London,13,50000,115
Glasgow,12,50000,116
County Down,12,50000,117
Morayshire,11,50000,118
Edinburgh,11,50000,119
Selkirkshire,10,50000,120
Birmingham,10,50000,121
County Tyrone,9,50000,122
Norway,9,50000,123
Australia,9,50000,124
East London,8,50000,125
Czech Republic,8,50000,126
Saudi Arabia,7,50000,127
China,6,50000,128
County Armagh,6,50000,129
Caithness,6,50000,130
Banffshire,5,50000,131
Isle of Wight,5,50000,132
Isle Of Wight,2,50000,132
Dubai,5,50000,133
Bahrain,5,50000,134
Shetland Islands,5,50000,135
Berwickshire,5,50000,136
Portugal,4,50000,137
Clackmannanshire,4,50000,138
Denmark,4,50000,139
Italy,4,50000,140
Sutherland,3,50000,141
Sweden,3,50000,143
Poland,3,50000,144
Hong Kong,3,50000,145
Wigtownshire,3,50000,146
Wrexham,2,50000,147
Kincardineshire,2,50000,148
New Zealand,2,50000,149
Kirkcudbrightshire,2,50000,150
Afghanistan,2,50000,151
St. Vincent & The Grenadines,1,50000,152
Iraq,1,50000,153
Russian Federation,1,50000,154
Thailand,1,50000,155
Indonesia,1,50000,156
Greece,1,50000,157
Canada,1,50000,158
Taiwan,1,50000,159
Egypt,1,50000,160
Barbados,1,50000,161
Liberia,1,50000,162
Brazil,1,50000,163
