Category_Set,Category_Occurrences,Total_Examples,Entity_Number
ABERFOYLE PARK                                    ,2069,82545,1
Adelaide,360,82545,2
adelaide,3,82545,2
ALBERTON,318,82545,3
ALDINGA                                           ,89,82545,4
ALDINGA BEACH                                     ,2128,82545,5
ANDREWS FARM,1455,82545,6
ANGLE PARK,126,82545,7
ANGLE VALE,663,82545,8
AUBURN,1,82545,9
AULDANA,59,82545,10
BEAUMONT,377,82545,11
BEDFORD PARK                       ,105,82545,12
BELAIR                             ,756,82545,13
BELLEVUE HEIGHTS                   ,361,82545,14
BEULAH PARK,224,82545,15
BIBARINGA,66,82545,16
BIRKENHEAD,371,82545,17
BLACKWOOD                          ,686,82545,18
BLAIR ATHOL,462,82545,19
BLAKEVIEW,1185,82545,20
BLEWITT SPRINGS                                   ,79,82545,21
BROADVIEW,344,82545,22
BROWN HILL CREEK                   ,13,82545,23
BUCKLAND PARK,44,82545,24
BURNSIDE,348,82545,25
CHANDLERS HILL                                    ,180,82545,26
CHERRY GARDENS                                    ,185,82545,27
CHRISTIE DOWNS                                    ,988,82545,28
CHRISTIES BEACH                                   ,925,82545,29
CLAPHAM                            ,235,82545,30
CLARENCE GARDENS                   ,318,82545,31
CLARENDON                                         ,164,82545,32
CLEARVIEW,641,82545,33
COLLINSWOOD,48,82545,34
COLONEL LIGHT GARDENS              ,559,82545,35
COROMANDEL EAST                                   ,97,82545,36
COROMANDEL VALLEY                                 ,584,82545,37
COROMANDEL VALLEY                  ,241,82545,37
CRAFERS WEST                       ,20,82545,38
CRAIGBURN FARM                     ,376,82545,39
CRAIGMORE,2468,82545,40
CROYDON PARK,367,82545,41
CUMBERLAND PARK                    ,387,82545,42
DARLINGTON                                        ,83,82545,43
DAVOREN PARK,1286,82545,44
DAW PARK                           ,322,82545,45
DERNANCOURT,27,82545,46
DEVON PARK,135,82545,47
DORSET VALE                                       ,1,82545,48
DRY CREEK,30,82545,49
DUDLEY PARK,89,82545,50
DULWICH,236,82545,51
EAGLE ON THE HILL,13,82545,52
EASTWOOD,84,82545,53
EDEN HILLS                         ,517,82545,54
ELIZABETH,163,82545,55
ELIZABETH DOWNS,1057,82545,56
ELIZABETH EAST,872,82545,57
ELIZABETH GROVE,456,82545,58
ELIZABETH NORTH,654,82545,59
ELIZABETH PARK,701,82545,60
ELIZABETH SOUTH,552,82545,61
ELIZABETH VALE,623,82545,62
ENFIELD,565,82545,63
ERINDALE,174,82545,64
ETHELTON,263,82545,65
EVANSTON PARK,19,82545,66
EXETER,234,82545,67
FERRYDEN PARK,417,82545,68
FITZROY,32,82545,69
FLAGSTAFF HILL                                    ,1685,82545,70
FREWVILLE,97,82545,71
GEPPS CROSS,67,82545,72
GILLES PLAINS,217,82545,73
GILLMAN,23,82545,74
GLANVILLE,125,82545,75
GLEN OSMOND,265,82545,76
GLENALTA                           ,360,82545,77
GLENSIDE,160,82545,78
GLENUNGA,229,82545,79
GOULD CREEK,32,82545,80
GREENACRES,275,82545,81
HACKHAM                                           ,841,82545,82
HACKHAM WEST                                      ,733,82545,83
HAMPSTEAD GARDENS,138,82545,84
HAPPY VALLEY                                      ,2135,82545,85
HAWTHORN                           ,342,82545,86
HAWTHORNDENE                       ,631,82545,87
HAZELWOOD PARK,269,82545,88
HILLBANK,930,82545,89
HILLCREST,410,82545,90
HILLIER,11,82545,91
HOLDEN HILL,78,82545,92
HUMBUG SCRUB,51,82545,93
HUNTFIELD HEIGHTS                                 ,829,82545,94
IRONBANK                                          ,30,82545,95
KANGARILLA                                        ,268,82545,96
KENSINGTON GARDENS,226,82545,97
KENSINGTON PARK,291,82545,98
KILBURN,497,82545,99
KINGSWOOD                          ,325,82545,100
KLEMZIG,583,82545,101
KUITPO                                            ,21,82545,102
LARGS BAY,850,82545,103
LARGS NORTH,716,82545,104
LEABROOK,174,82545,105
LINDEN PARK,183,82545,106
LONSDALE                                          ,35,82545,107
LOWER MITCHAM                      ,350,82545,108
LYNTON                             ,42,82545,109
MACDONALD PARK,191,82545,110
MAGILL,263,82545,111
MANNINGHAM,172,82545,112
MANSFIELD PARK,318,82545,113
MASLIN BEACH                                      ,283,82545,114
MCLAREN FLAT                                      ,354,82545,115
MCLAREN VALE                                      ,754,82545,116
MEDINDIE GARDENS,17,82545,117
MELROSE PARK                       ,335,82545,118
MITCHAM                            ,276,82545,119
MOANA                                             ,564,82545,120
MORPHETT VALE                                     ,4653,82545,121
MOUNT OSMOND,88,82545,122
MUNNO PARA,528,82545,123
MUNNO PARA DOWNS,38,82545,124
MUNNO PARA WEST,831,82545,125
NAILSWORTH,88,82545,126
NETHERBY                           ,215,82545,127
NEWTOWN  VIC  3220,1,82545,128
NOARLUNGA CENTRE                                  ,10,82545,129
NOARLUNGA DOWNS                                   ,785,82545,130
North Adelaide,454,82545,131
NORTH HAVEN,1144,82545,132
NORTHFIELD,433,82545,133
NORTHGATE,391,82545,134
O'HALLORAN HILL                                   ,476,82545,135
O'SULLIVAN BEACH                                  ,445,82545,136
OAKDEN,480,82545,137
OLD NOARLUNGA                                     ,331,82545,138
OLD REYNELLA                                      ,649,82545,139
ONE TREE HILL,239,82545,140
ONKAPARINGA HILLS                                 ,651,82545,141
OSBORNE,416,82545,142
OTTOWAY,402,82545,143
OVINGHAM,7,82545,144
PANORAMA                           ,296,82545,145
PASADENA                           ,306,82545,146
PENFIELD,61,82545,147
PENFIELD GARDENS,46,82545,148
PETERHEAD,240,82545,149
PORT ADELAIDE,189,82545,150
PORT NOARLUNGA                                    ,627,82545,151
PORT NOARLUNGA SOUTH                              ,601,82545,152
PORT WILLUNGA                                     ,415,82545,153
PROSPECT,550,82545,154
QUEENSTOWN,302,82545,155
REYNELLA                                          ,944,82545,156
REYNELLA EAST                                     ,388,82545,157
ROSE PARK,177,82545,158
ROSEWATER,593,82545,159
ROSSLYN PARK,163,82545,160
SAMPSON FLAT,26,82545,161
SEAFORD                                           ,796,82545,162
SEAFORD HEIGHTS                                   ,9,82545,163
SEAFORD MEADOWS                                   ,561,82545,164
SEAFORD RISE                                      ,1188,82545,165
SEFTON PARK,114,82545,166
Sefton Park,10,82545,166
SELLICKS BEACH                                    ,684,82545,167
SELLICKS HILL                                     ,80,82545,168
SEMAPHORE,511,82545,169
SEMAPHORE SOUTH,183,82545,170
SKYE,36,82545,171
SMITHFIELD,393,82545,172
SMITHFIELD PLAINS,496,82545,173
SPRINGFIELD                        ,71,82545,174
ST GEORGES,173,82545,175
ST MARYS                           ,311,82545,176
STONYFELL,157,82545,177
TAPEROO,678,82545,178
TATACHILLA                                        ,74,82545,179
THE RANGE                                         ,31,82545,180
Thorngate,12,82545,181
TOORAK GARDENS,326,82545,182
TORRENS PARK                       ,340,82545,183
TUSMORE,176,82545,184
ULEYBURY,84,82545,185
UPPER STURT                        ,48,82545,186
URRBRAE                            ,133,82545,187
VALLEY VIEW,262,82545,188
VIRGINIA,248,82545,189
WALKLEY HEIGHTS,55,82545,190
WATERFALL GULLY,28,82545,191
WATERLOO CORNER,105,82545,192
WATTLE PARK,202,82545,193
WESTBOURNE PARK                    ,324,82545,194
WHITES VALLEY                                     ,78,82545,195
WILLUNGA                                          ,527,82545,196
WILLUNGA SOUTH                                    ,138,82545,197
WINDSOR GARDENS,617,82545,198
WINGFIELD,84,82545,199
WOODCROFT                                         ,2118,82545,200
WOODVILLE GARDENS,185,82545,201
YATTALUNGA,76,82545,202
