Category_Set,Category_Occurrences,Total_Examples,Entity_Number
SDN,128,6285,1
CYP,71,6285,2
MDA,61,6285,3
GEO,61,6285,4
BEL,58,6285,5
FIN,52,6285,6
ESP,52,6285,7
FRA,52,6285,8
LUX,50,6285,9
LTU,49,6285,10
DEU,49,6285,11
IRL,49,6285,12
GRC,49,6285,13
BGR,49,6285,14
ITA,49,6285,15
AUT,49,6285,16
PRT,49,6285,17
TKM,48,6285,18
ROU,48,6285,19
SVK,48,6285,20
TZA,48,6285,21
SWE,48,6285,22
GBR,48,6285,23
DNK,48,6285,24
SVN,48,6285,25
NLD,48,6285,26
LBN,48,6285,27
MLT,48,6285,28
SYR,47,6285,29
LVA,47,6285,30
POL,47,6285,31
HUN,47,6285,32
CZE,47,6285,33
EST,47,6285,34
ERI,46,6285,35
AFG,46,6285,36
LBY,46,6285,37
MAR,45,6285,38
SRB,43,6285,39
ARG,42,6285,40
AUS,42,6285,41
TLS,40,6285,42
AZE,38,6285,43
UZB,38,6285,44
SOM,37,6285,45
GUY,36,6285,46
ZWE,35,6285,47
CHN,35,6285,48
IRN,35,6285,49
PRI,35,6285,50
CMR,34,6285,51
MUS,34,6285,52
BEN,34,6285,53
GAB,34,6285,54
MRT,34,6285,55
NGA,33,6285,56
BOL,33,6285,57
BDI,33,6285,58
GNQ,33,6285,59
COM,33,6285,60
MNE,33,6285,61
GNB,33,6285,62
MMR,33,6285,63
IRQ,33,6285,64
AGO,33,6285,65
SMR,30,6285,66
MYS,30,6285,67
USA,28,6285,68
NOR,28,6285,69
IND,27,6285,70
PSE,27,6285,71
MKD,27,6285,72
RUS,26,6285,73
PHL,26,6285,74
TON,26,6285,75
JOR,25,6285,76
SSD,25,6285,77
BIH,25,6285,78
URY,25,6285,79
ARE,25,6285,80
SLV,25,6285,81
GIN,25,6285,82
LBR,25,6285,83
XKX,25,6285,84
HKG,25,6285,85
CAN,25,6285,86
KAZ,25,6285,87
VEN,25,6285,88
TJK,25,6285,89
DZA,24,6285,90
CIV,24,6285,91
EGY,24,6285,92
THA,24,6285,93
LKA,24,6285,94
ARM,24,6285,95
VNM,24,6285,96
MLI,24,6285,97
SAU,24,6285,98
WSM,24,6285,99
KEN,24,6285,100
VCT,24,6285,101
LAO,24,6285,102
SEN,24,6285,103
HRV,24,6285,104
KGZ,24,6285,105
COL,24,6285,106
GTM,24,6285,107
MOZ,24,6285,108
CHL,24,6285,109
TGO,24,6285,110
STP,24,6285,111
UKR,24,6285,112
ISL,24,6285,113
HTI,24,6285,114
BGD,24,6285,115
MAC,24,6285,116
ZAF,24,6285,117
YEM,24,6285,118
ALB,24,6285,119
PNG,24,6285,120
DJI,24,6285,121
BLR,24,6285,122
PAN,24,6285,123
ECU,24,6285,124
COG,23,6285,125
VUT,23,6285,126
BWA,23,6285,127
TUR,23,6285,128
NIC,23,6285,129
MNG,23,6285,130
TUN,23,6285,131
CUB,23,6285,132
FJI,23,6285,133
PER,23,6285,134
JAM,23,6285,135
CAF,23,6285,136
PAK,23,6285,137
GRD,23,6285,138
MDV,23,6285,139
DOM,23,6285,140
SLB,23,6285,141
BLZ,23,6285,142
MDG,23,6285,143
mdg,1,6285,143
SLE,23,6285,144
NAM,23,6285,145
SUR,23,6285,146
COD,23,6285,147
PRY,23,6285,148
RWA,23,6285,149
LSO,23,6285,150
MEX,23,6285,151
ETH,23,6285,152
CPV,23,6285,153
BTN,23,6285,154
UGA,23,6285,155
CRI,23,6285,156
PRK,23,6285,157
BRA,23,6285,158
GMB,23,6285,159
TCD,23,6285,160
BRN,23,6285,161
MWI,23,6285,162
NER,23,6285,163
LCA,23,6285,164
SGP,23,6285,165
KWT,23,6285,166
ZMB,23,6285,167
GHA,23,6285,168
ISR,23,6285,169
HND,23,6285,170
IDN,23,6285,171
NPL,23,6285,172
SWZ,23,6285,173
JPN,23,6285,174
KHM,23,6285,175
BFA,23,6285,176
NZL,23,6285,177
PYF,22,6285,178
KNA,22,6285,179
KOR,22,6285,180
ABW,22,6285,181
BHS,22,6285,182
QAT,22,6285,183
TTO,22,6285,184
SYC,22,6285,185
DMA,22,6285,186
CHE,22,6285,187
BRB,22,6285,188
ATG,22,6285,189
BHR,22,6285,190
OMN,22,6285,191
NCL,22,6285,192
KIR,21,6285,193
GUM,20,6285,194
FSM,19,6285,195
VIR,19,6285,196
CHI,19,6285,197
GRL,19,6285,198
BMU,19,6285,199
MHL,18,6285,200
FRO,17,6285,201
LIE,16,6285,202
CYM,16,6285,203
MCO,15,6285,204
GIB,14,6285,205
ASM,13,6285,206
PLW,12,6285,207
IMN,11,6285,208
MNP,11,6285,209
CUW,10,6285,210
TUV,10,6285,211
NRU,10,6285,212
SXM,8,6285,213
MAF,7,6285,214
TCA,7,6285,215
AND,7,6285,216
VGB,6,6285,217
