Category_Set,Category_Occurrences,Total_Examples,Entity_Number
0,66,374362,1
0,66,374362,1
0,3,374362,1
0,2,374362,1
0,2,374362,1
0,1,374362,1
1,83,374362,2
1,65,374362,2
2,23,374362,3
2,17,374362,3
3,30,374362,4
3,21,374362,4
4,17,374362,5
4,11,374362,5
5,11,374362,6
5,5,374362,6
6,2,374362,7
6,1,374362,7
7,5,374362,8
7,2,374362,8
8,3,374362,9
8,1,374362,9
9,1,374362,10
10,79,374362,11
10,50,374362,11
11,119,374362,12
11,81,374362,12
12,106,374362,13
12,95,374362,13
13,18,374362,14
13,9,374362,14
14,21,374362,15
14,13,374362,15
15,32,374362,16
15,13,374362,16
16,74,374362,17
16,63,374362,17
17,7,374362,18
17,6,374362,18
18,43,374362,19
18,29,374362,19
19,37,374362,20
19,22,374362,20
20,7,374362,21
20,4,374362,21
21,36,374362,22
21,18,374362,22
22,25,374362,23
22,16,374362,23
22,2,374362,23
23,8,374362,24
23,3,374362,24
24,24,374362,25
24,15,374362,25
25,17,374362,26
25,9,374362,26
26,4,374362,27
26,2,374362,27
27,7,374362,28
27,2,374362,28
28,4,374362,29
28,1,374362,29
30,5,374362,30
30,3,374362,30
31,2,374362,31
32,3,374362,32
32,1,374362,32
33,7,374362,33
33,2,374362,33
34,1,374362,34
34,1,374362,34
35,7,374362,35
35,2,374362,35
36,1,374362,36
37,1,374362,37
37,1,374362,37
38,1,374362,38
41,1,374362,39
44,1,374362,40
46,2,374362,41
46,2,374362,41
49,1,374362,42
51,26,374362,43
51,10,374362,43
60,1,374362,44
70,1,374362,45
77,1,374362,46
81,2,374362,47
91,1,374362,48
95,4,374362,49
95,1,374362,49
100,238,374362,50
100,179,374362,50
101,535,374362,51
101,380,374362,51
102,197,374362,52
102,141,374362,52
103,280,374362,53
103,207,374362,53
104,180,374362,54
104,132,374362,54
105,86,374362,55
105,79,374362,55
106,64,374362,56
106,58,374362,56
107,43,374362,57
107,36,374362,57
108,48,374362,58
108,38,374362,58
109,214,374362,59
109,154,374362,59
110,69,374362,60
110,55,374362,60
111,221,374362,61
111,206,374362,61
112,74,374362,62
112,66,374362,62
113,85,374362,63
113,35,374362,63
114,71,374362,64
114,29,374362,64
115,140,374362,65
115,98,374362,65
116,24,374362,66
116,16,374362,66
117,29,374362,67
117,19,374362,67
118,72,374362,68
118,45,374362,68
119,53,374362,69
119,39,374362,69
120,54,374362,70
120,38,374362,70
121,29,374362,71
121,16,374362,71
122,13,374362,72
122,10,374362,72
123,146,374362,73
123,120,374362,73
124,41,374362,74
124,30,374362,74
125,49,374362,75
125,21,374362,75
126,7,374362,76
126,7,374362,76
127,8,374362,77
127,6,374362,77
128,10,374362,78
128,3,374362,78
129,12,374362,79
129,9,374362,79
130,12,374362,80
130,10,374362,80
131,4,374362,81
131,4,374362,81
132,7,374362,82
132,3,374362,82
133,7,374362,83
133,4,374362,83
134,6,374362,84
135,4,374362,85
135,3,374362,85
136,9,374362,86
136,7,374362,86
137,2,374362,87
138,5,374362,88
138,5,374362,88
139,4,374362,89
139,3,374362,89
140,2,374362,90
140,2,374362,90
141,4,374362,91
141,4,374362,91
142,6,374362,92
142,6,374362,92
143,7,374362,93
143,2,374362,93
144,1,374362,94
145,3,374362,95
145,1,374362,95
146,3,374362,96
146,2,374362,96
147,3,374362,97
147,2,374362,97
148,5,374362,98
148,2,374362,98
149,1,374362,99
150,27,374362,100
150,24,374362,100
151,4,374362,101
151,4,374362,101
152,4,374362,102
152,3,374362,102
152,1,374362,102
153,8,374362,103
153,1,374362,103
154,2,374362,104
155,2,374362,105
155,1,374362,105
156,2,374362,106
156,1,374362,106
157,1,374362,107
158,5,374362,108
158,4,374362,108
160,1,374362,109
160,1,374362,109
161,1,374362,110
162,5,374362,111
162,1,374362,111
163,5,374362,112
163,1,374362,112
164,7,374362,113
164,2,374362,113
165,2,374362,114
165,1,374362,114
166,5,374362,115
166,2,374362,115
167,37,374362,116
167,18,374362,116
168,2,374362,117
169,1,374362,118
170,1,374362,119
170,1,374362,119
171,9,374362,120
171,6,374362,120
172,2,374362,121
175,1,374362,122
176,1,374362,123
177,2,374362,124
177,1,374362,124
180,32,374362,125
180,28,374362,125
181,7,374362,126
182,2,374362,127
182,2,374362,127
185,1,374362,128
186,2,374362,129
188,4,374362,130
188,2,374362,130
190,1,374362,131
191,2,374362,132
191,1,374362,132
195,1,374362,133
198,3,374362,134
198,2,374362,134
199,2,374362,135
199,1,374362,135
200,46,374362,136
200,23,374362,136
201,149,374362,137
201,91,374362,137
201,1,374362,137
202,139,374362,138
202,76,374362,138
203,118,374362,139
203,81,374362,139
204,112,374362,140
204,105,374362,140
205,25,374362,141
205,24,374362,141
206,20,374362,142
206,14,374362,142
207,52,374362,143
207,48,374362,143
208,17,374362,144
208,16,374362,144
209,12,374362,145
209,6,374362,145
210,138,374362,146
210,118,374362,146
211,24,374362,147
211,14,374362,147
212,36,374362,148
212,21,374362,148
213,9,374362,149
213,9,374362,149
214,15,374362,150
214,5,374362,150
215,15,374362,151
215,11,374362,151
216,10,374362,152
216,4,374362,152
217,14,374362,153
217,13,374362,153
218,19,374362,154
218,11,374362,154
219,4,374362,155
219,3,374362,155
220,25,374362,156
220,18,374362,156
221,17,374362,157
221,12,374362,157
222,72,374362,158
222,53,374362,158
223,39,374362,159
223,20,374362,159
224,32,374362,160
224,26,374362,160
225,41,374362,161
225,39,374362,161
226,90,374362,162
226,72,374362,162
227,17,374362,163
227,15,374362,163
228,17,374362,164
228,16,374362,164
229,9,374362,165
229,4,374362,165
230,22,374362,166
230,10,374362,166
231,7,374362,167
231,4,374362,167
232,22,374362,168
232,20,374362,168
233,27,374362,169
233,18,374362,169
234,25,374362,170
234,18,374362,170
235,12,374362,171
235,7,374362,171
236,10,374362,172
236,7,374362,172
237,4,374362,173
237,3,374362,173
238,11,374362,174
238,10,374362,174
239,21,374362,175
239,11,374362,175
240,13,374362,176
240,6,374362,176
241,9,374362,177
241,4,374362,177
242,10,374362,178
242,2,374362,178
243,5,374362,179
243,2,374362,179
244,18,374362,180
244,6,374362,180
245,7,374362,181
245,2,374362,181
246,10,374362,182
246,1,374362,182
247,5,374362,183
247,2,374362,183
248,2,374362,184
248,2,374362,184
249,3,374362,185
249,1,374362,185
250,5,374362,186
250,2,374362,186
251,27,374362,187
251,12,374362,187
252,4,374362,188
252,2,374362,188
253,2,374362,189
254,2,374362,190
254,1,374362,190
255,3,374362,191
255,1,374362,191
256,5,374362,192
257,3,374362,193
257,1,374362,193
258,2,374362,194
258,1,374362,194
259,8,374362,195
259,6,374362,195
260,5,374362,196
260,4,374362,196
262,2,374362,197
262,1,374362,197
264,6,374362,198
264,1,374362,198
265,1,374362,199
265,1,374362,199
266,1,374362,200
267,1,374362,201
268,3,374362,202
268,1,374362,202
270,198,374362,203
270,174,374362,203
271,2,374362,204
272,2,374362,205
272,1,374362,205
273,3,374362,206
273,2,374362,206
274,3,374362,207
274,1,374362,207
276,1,374362,208
277,4,374362,209
277,2,374362,209
278,4,374362,210
278,2,374362,210
280,2,374362,211
281,8,374362,212
281,5,374362,212
282,1,374362,213
282,1,374362,213
284,1,374362,214
285,2,374362,215
287,2,374362,216
288,6,374362,217
288,2,374362,217
290,1,374362,218
293,1,374362,219
294,2,374362,220
294,1,374362,220
295,24,374362,221
295,22,374362,221
296,1,374362,222
296,1,374362,222
297,2,374362,223
298,1,374362,224
300,32,374362,225
300,30,374362,225
301,96,374362,226
301,70,374362,226
302,32,374362,227
302,25,374362,227
303,49,374362,228
303,42,374362,228
304,46,374362,229
304,23,374362,229
305,19,374362,230
305,15,374362,230
306,98,374362,231
306,85,374362,231
307,5,374362,232
307,4,374362,232
308,10,374362,233
308,7,374362,233
309,13,374362,234
309,8,374362,234
310,22,374362,235
310,15,374362,235
311,8,374362,236
311,7,374362,236
312,47,374362,237
312,26,374362,237
313,3,374362,238
314,5,374362,239
314,2,374362,239
315,17,374362,240
315,4,374362,240
316,1,374362,241
317,4,374362,242
317,4,374362,242
318,8,374362,243
318,8,374362,243
319,3,374362,244
319,1,374362,244
320,4,374362,245
320,3,374362,245
