Category_Set,Category_Occurrences,Total_Examples,Entity_Number
Portland,17,558,1
Seattle,9,558,2
Boulder,9,558,3
Chicago,9,558,4
Austin,8,558,5
San Diego,8,558,6
Denver,8,558,7
Bend,6,558,8
San Francisco,5,558,9
Brooklyn,4,558,10
Indianapolis,4,558,11
Columbus,4,558,12
Cincinnati,4,558,13
Anchorage,4,558,14
Traverse City,3,558,15
Tampa,3,558,16
Santa Cruz,3,558,17
Edwards,3,558,18
San Antonio,3,558,19
Saint Louis,3,558,20
Cleveland,3,558,21
Jacksonville,3,558,22
Charlotte,3,558,23
Grand Rapids,3,558,24
Baltimore,3,558,25
Albuquerque,3,558,26
Aurora,3,558,27
Athens,3,558,28
Minneapolis,3,558,29
Stevens Point,3,558,30
Lexington,3,558,31
Lincoln,2,558,32
Bloomfield,2,558,33
Flagstaff,2,558,34
Garden City,2,558,35
Green Bay,2,558,36
Louisville,2,558,37
Birmingham,2,558,38
Philadelphia,2,558,39
Greenville,2,558,40
Durango,2,558,41
Milwaukee,2,558,42
Salt Lake City,2,558,43
Woodinville,2,558,44
Westerly,2,558,45
Durham,2,558,46
Richmond,2,558,47
Ashland,2,558,48
Fort Collins,2,558,49
Pottstown,2,558,50
Marquette,2,558,51
Temecula,2,558,52
Carlsbad,2,558,53
Bloomington,2,558,54
Jackson,2,558,55
Waterbury,2,558,56
Bellingham,2,558,57
Newport,2,558,58
Missoula,2,558,59
Lyons,2,558,60
Dallas,2,558,61
Oklahoma City,2,558,62
Silverton,2,558,63
Middlebury,2,558,64
Astoria,2,558,65
Springfield,2,558,66
Hayward,2,558,67
Sheridan,2,558,68
Charlottesville,2,558,69
Asheville,2,558,70
Eau Claire,2,558,71
Tucson,2,558,72
Lake Havasu City,2,558,73
Morganton,2,558,74
Atlanta,2,558,75
Boston,2,558,76
New York,2,558,77
Burlington,2,558,78
Rochester,2,558,79
Kalamazoo,2,558,80
Eugene,2,558,81
Tacoma,2,558,82
Houston,2,558,83
Fort Worth,2,558,84
Hilo,2,558,85
Ipswich,2,558,86
Cherry Hill,1,558,87
Boise,1,558,88
Mill Valley,1,558,89
Jacksonville Beach,1,558,90
Troutville,1,558,91
Boynton Beach,1,558,92
Port Clinton,1,558,93
Lake Barrington,1,558,94
St Petersburg,1,558,95
Ashburn,1,558,96
Lenoir,1,558,97
Baton Rouge,1,558,98
Des Moines,1,558,99
Hattiesburg,1,558,100
Brevard,1,558,101
Royal Oak,1,558,102
Roanoke,1,558,103
Spring Lake,1,558,104
Windsor,1,558,105
Avon,1,558,106
Santa Fe,1,558,107
Virginia Beach,1,558,108
Conroe,1,558,109
Lombard,1,558,110
East Fairfield,1,558,111
Centralia,1,558,112
Dolores,1,558,113
Pineland,1,558,114
Cambridge,1,558,115
Southampton,1,558,116
Helena,1,558,117
