Category_Set,Category_Occurrences,Total_Examples,Entity_Number
apricot,1,29421,1
black,7020,29421,2
black ,91,29421,2
black tiger,1,29421,3
blue,3053,29421,4
blue ,566,29421,4
blue cream,43,29421,5
Breed Specific,4058,29421,6
brown,4482,29421,7
brown ,2415,29421,7
brown merle,2,29421,8
brown tiger,6,29421,9
buff,11,29421,10
chocolate,77,29421,11
chocolate ,9,29421,11
cream,566,29421,12
cream ,238,29421,12
fawn,1,29421,13
flame,200,29421,14
flame ,5,29421,14
gray,293,29421,15
gray ,89,29421,15
lilac,77,29421,16
lilac ,6,29421,16
lynx,438,29421,17
lynx ,48,29421,17
orange,2296,29421,18
orange ,1110,29421,18
orange tiger,1,29421,19
pink,2,29421,20
sable,2,29421,21
seal,321,29421,22
seal ,50,29421,22
silver,69,29421,23
silver ,31,29421,23
silver lynx,12,29421,24
silver lynx ,2,29421,24
tan,5,29421,25
white,1716,29421,26
yellow,8,29421,27
