Category_Set,Category_Occurrences,Total_Examples,Entity_Number
black,7020,29421,1
black ,91,29421,1
brown,4482,29421,2
brown ,2415,29421,2
blue,3053,29421,3
blue ,566,29421,3
orange,2296,29421,4
orange ,1110,29421,4
white,1716,29421,5
tortie,1535,29421,6
calico,1479,29421,7
torbie,1035,29421,8
cream,566,29421,9
cream ,238,29421,9
lynx,438,29421,10
lynx ,48,29421,10
seal,321,29421,11
seal ,50,29421,11
gray,293,29421,12
gray ,89,29421,12
flame,200,29421,13
flame ,5,29421,13
chocolate,77,29421,14
chocolate ,9,29421,14
lilac,77,29421,15
lilac ,6,29421,15
silver,69,29421,16
silver ,31,29421,16
blue cream,43,29421,17
silver lynx,12,29421,18
silver lynx ,2,29421,18
buff,11,29421,19
yellow,8,29421,20
brown tiger,6,29421,21
agouti,6,29421,22
tan,5,29421,23
tricolor,3,29421,24
brown merle,2,29421,25
sable,2,29421,26
pink,2,29421,27
orange tiger,1,29421,28
black tiger,1,29421,29
fawn,1,29421,30
apricot,1,29421,31
