Category_Set,Category_Occurrences,Total_Examples,Entity_Number
California,44508,150930,1
Washington,9750,150930,2
Tuscany,7281,150930,3
Bordeaux,6111,150930,4
Northern Spain,4892,150930,5
Mendoza Province,4742,150930,6
Oregon,4589,150930,7
Burgundy,4308,150930,8
Piedmont,4093,150930,9
Veneto,3962,150930,10
South Australia,3004,150930,11
Sicily & Sardinia,2545,150930,12
New York,2428,150930,13
Northeastern Italy,1982,150930,14
Loire Valley,1786,150930,15
Alsace,1680,150930,16
Marlborough,1655,150930,17
Martinborough,261,150930,17
Southwest France,1601,150930,18
Central Italy,1530,150930,19
Southern Italy,1439,150930,20
Champagne,1370,150930,21
Catalonia,1352,150930,22
Rhône Valley,1318,150930,23
Colchagua Valley,1201,150930,24
Languedoc-Roussillon,1082,150930,25
Douro,1075,150930,26
Provence,1021,150930,27
Port,903,150930,28
Maipo Valley,895,150930,29
Other,889,150930,30
Alentejano,872,150930,31
Mosel,785,150930,32
Casablanca Valley,779,150930,33
Burgenland,764,150930,34
Central Spain,743,150930,35
Stellenbosch,691,150930,36
Victoria,613,150930,37
Lombardy,580,150930,38
Australia Other,553,150930,39
Galicia,548,150930,40
Beaujolais,532,150930,41
Maule Valley,531,150930,42
Central Valley,528,150930,43
Mosel-Saar-Ruwer,526,150930,44
Western Cape,516,150930,45
Virginia,515,150930,46
Western Australia,491,150930,47
Niederösterreich,491,150930,48
Levante,453,150930,49
Hawke's Bay,436,150930,50
Tejo,420,150930,51
Vinho Verde,396,150930,52
Rheingau,384,150930,53
Wachau,383,150930,54
Central Otago,355,150930,55
Central Otago-Marlborough,1,150930,55
Lisboa,337,150930,56
Galilee,332,150930,57
Kamptal,327,150930,58
Curicó Valley,325,150930,59
Kremstal,318,150930,60
France Other,289,150930,61
Coastal Region,281,150930,62
Dão,281,150930,63
Rheinhessen,277,150930,64
Pfalz,255,150930,66
Rapel Valley,249,150930,67
New South Wales,246,150930,68
Cachapoal Valley,217,150930,69
Limarí Valley,203,150930,70
Andalucia,200,150930,71
Aconcagua Valley,194,150930,72
Bairrada,173,150930,73
Leyda Valley,168,150930,74
Nelson,155,150930,75
Alentejo,148,150930,76
Alenteo,2,150930,76
Robertson,143,150930,77
Paarl,136,150930,78
Idaho,136,150930,79
Judean Hills,130,150930,80
Thermenregion,122,150930,81
Waipara,103,150930,82
Waipara Valley,26,150930,82
Wairarapa,25,150930,82
Peloponnese,102,150930,83
Estremadura,98,150930,84
Nemea,98,150930,85
Ontario,96,150930,86
British Columbia,96,150930,87
Península de Setúbal,96,150930,88
New Mexico,95,150930,89
Santorini,80,150930,90
Greece,79,150930,91
Wagram-Donauland,75,150930,92
Nahe,73,150930,93
Carnuntum,70,150930,95
Baden,68,150930,96
Swartland,64,150930,98
Simonsberg-Stellenbosch,62,150930,100
San Antonio,62,150930,101
Kumeu,61,150930,102
Gisborne,61,150930,103
Missouri,60,150930,104
Bío Bío Valley,60,150930,105
Peumo,59,150930,106
Südsteiermark,64,150930,107
Südoststeiermark,57,150930,107
Villány,57,150930,108
Drama,57,150930,109
Valle de Guadalupe,56,150930,110
Italy Other,56,150930,111
Lontué Valley,55,150930,112
Vienna,54,150930,113
Weinviertel,54,150930,114
Elqui Valley,53,150930,115
Elgin,53,150930,116
Beiras,53,150930,117
Franken,52,150930,118
Moldova,51,150930,119
Pennsylvania,50,150930,120
Dealu Mare,50,150930,121
Mittelburgenland,48,150930,122
Tasmania,47,150930,123
Setubal,45,150930,124
Spain Other,45,150930,125
Thracian Valley,44,150930,126
Upper Galilee,44,150930,127
Neusiedlersee-Hügelland,43,150930,128
Vinho Espumante de Qualidade,43,150930,129
Naoussa,41,150930,130
Texas,41,150930,131
Mantinia,39,150930,132
Arizona,39,150930,133
Franschhoek,37,150930,134
Neusiedlersee,36,150930,135
Constantia,35,150930,136
Crete,35,150930,137
Spanish Islands,35,150930,138
Durbanville,35,150930,139
Loncomilla Valley,34,150930,140
Wellington,34,150930,141
Ohio,34,150930,142
Bekaa Valley,34,150930,143
Walker Bay,33,150930,144
Minho,32,150930,145
Bucelas,30,150930,146
Canterbury,30,150930,147
Colorado,30,150930,148
Tokaji,71,150930,149
Tokaj,29,150930,149
Ribatejo,64,150930,150
Ribatejano,29,150930,150
Kakheti,29,150930,151
Istria,28,150930,152
Beira Interior,28,150930,153
Awatere Valley,28,150930,154
Shomron,28,150930,155
America,27,150930,156
Madeira,26,150930,158
Michigan,25,150930,159
Goriska Brda,25,150930,160
Duriense,25,150930,161
Lolol Valley,25,150930,162
Terras do Sado,25,150930,163
Galil,25,150930,164
New Jersey,24,150930,167
