Category_Set,Category_Occurrences,Total_Examples,Entity_Number
SP.DYN.IMRT.IN,10198,463231,1
SH.DTH.IMRT,10198,463231,2
SH.DTH.MORT,10197,463231,3
SH.DYN.MORT,10197,463231,4
IT.CEL.SETS,6696,463231,5
IT.MLT.MAIN,6580,463231,6
SH.DYN.NMRT,5356,463231,7
TX.VAL.MRCH.XD.WD,5164,463231,8
TM.VAL.MRCH.XD.WD,5163,463231,9
SH.MMR.RISK,5096,463231,10
SH.MMR.DTHS,5096,463231,11
SH.STA.MMRT,5096,463231,12
MS.MIL.XPND.CN,4400,463231,13
SL.UEM.TOTL.NE.ZS,4084,463231,14
SH.ANM.CHLD.ZS,4070,463231,15
sh.ANM.CHLD.ZS,1,463231,15
TX.QTY.MRCH.XD.WD,4012,463231,16
ST.INT.ARVL,3918,463231,17
ST.INT.RCPT.CD,3848,463231,18
TT.PRI.MRCH.XD.WD,3824,463231,19
TM.QTY.MRCH.XD.WD,3819,463231,20
IT.NET.USER.ZS,3737,463231,21
ST.INT.XPND.CD,3655,463231,22
SH.TBS.INCD,3641,463231,23
SL.TLF.CACT.NE.ZS,3609,463231,24
SL.UEM.TOTL.FE.NE.ZS,3584,463231,25
ST.INT.TVLR.CD,3581,463231,26
SL.UEM.TOTL.MA.NE.ZS,3581,463231,27
ST.INT.TVLX.CD,3550,463231,28
SL.TLF.CACT.MA.NE.ZS,3452,463231,29
SL.TLF.CACT.FE.NE.ZS,3452,463231,30
SH.TBS.DTEC.ZS,3447,463231,31
SL.AGR.EMPL.ZS,3391,463231,32
SL.SRV.EMPL.ZS,3387,463231,33
SL.IND.EMPL.ZS,3386,463231,34
SH.ANM.ALLW.ZS,3230,463231,35
SH.ANM.NPRG.ZS,3162,463231,36
SH.PRG.ANEM,3162,463231,37
ST.INT.TRNX.CD,2992,463231,38
SL.AGR.EMPL.MA.ZS,2968,463231,39
SL.SRV.EMPL.FE.ZS,2958,463231,40
SL.SRV.EMPL.MA.ZS,2958,463231,41
SL.IND.EMPL.FE.ZS,2957,463231,42
SL.IND.EMPL.MA.ZS,2957,463231,43
SL.AGR.EMPL.FE.ZS,2955,463231,44
SL.TLF.ACTI.1524.NE.ZS,2904,463231,45
SL.TLF.ACTI.1524.FE.NE.ZS,2859,463231,46
SL.TLF.ACTI.1524.MA.NE.ZS,2859,463231,47
SH.HIV.1524.MA.ZS,2782,463231,48
SH.HIV.INCD,2782,463231,49
SH.HIV.1524.FE.ZS,2782,463231,50
SH.DYN.AIDS.ZS,2782,463231,51
SH.HIV.INCD.TL,2782,463231,52
SH.HIV.INCD.ZS,2782,463231,53
ST.INT.TRNR.CD,2759,463231,54
SL.EMP.TOTL.SP.NE.ZS,2639,463231,55
SH.HIV.0014,2600,463231,56
SH.HIV.INCD.14,2600,463231,57
SL.EMP.TOTL.SP.MA.NE.ZS,2461,463231,58
SL.EMP.TOTL.SP.FE.NE.ZS,2461,463231,59
SH.STA.BRTC.ZS,2375,463231,60
IT.NET.BBND,2285,463231,61
SL.EMP.WORK.ZS,2278,463231,62
SL.UEM.1524.NE.ZS,2214,463231,63
SL.EMP.WORK.FE.ZS,2180,463231,64
SL.EMP.WORK.MA.ZS,2180,463231,65
SL.FAM.WORK.ZS,2166,463231,66
SL.UEM.1524.MA.NE.ZS,2160,463231,67
SL.UEM.1524.FE.NE.ZS,2158,463231,68
SL.EMP.MPYR.ZS,2096,463231,69
