Category_Set,Category_Occurrences,Total_Examples,Entity_Number
Healthcare Services,1919,22000,1
  •   Healthcare Services,3,22000,1
All,1158,22000,2
Retail,1081,22000,3
Other/Not Classified,1048,22000,4
Manufacturing - Other,885,22000,5
Computer/IT Services,822,22000,6
Legal Services,466,22000,7
Business Services - Other,410,22000,8
Business Services - OtherOther/Not Classified,6,22000,8
Restaurant/Food Services,384,22000,9
Transport and Storage - Materials,342,22000,10
Food and Beverage Production,341,22000,11
Insurance,338,22000,12
Construction - Industrial Facilities and Infrastructure,308,22000,13
Accounting and Auditing Services,298,22000,14
Biotechnology/Pharmaceuticals,256,22000,15
Education,244,22000,16
Real Estate/Property Management,227,22000,17
Staffing/Employment Agencies,221,22000,18
Banking,170,22000,19
Computer Software,163,22000,20
Construction - Residential & Commercial/Office,148,22000,21
Automotive and Parts Mfg,138,22000,22
Engineering Services,137,22000,23
Telecommunications Services,124,22000,24
Financial Services,124,22000,25
Energy and Utilities,121,22000,26
Hotels and Lodging,121,22000,27
Automotive Sales and Repair Services,121,22000,28
Aerospace and Defense,119,22000,29
Government and Military,111,22000,30
Nonprofit Charitable Organizations,110,22000,31
Healthcare Services Other/Not Classified,107,22000,32
Security and Surveillance,107,22000,33
Medical Devices and Supplies,101,22000,34
Advertising and PR Services;Staffing/Employment Agencies;Business Services - Other,96,22000,35
Management Consulting Services,95,22000,36
"Travel, Transportation and Tourism",80,22000,37
Advertising and PR Services,74,22000,38
Computer Hardware,61,22000,39
Healthcare Services Restaurant/Food Services Food and Beverage Production,54,22000,40
Healthcare Services;Restaurant/Food Services;Food and Beverage Production,1,22000,40
Printing and Publishing,52,22000,41
Consumer Packaged Goods Manufacturing,49,22000,42
"Electronics, Components, and Semiconductor Mfg",47,22000,43
Chemicals/Petro-Chemicals,44,22000,44
Internet Services,43,22000,45
RetailAdvertising and PR ServicesBusiness Services - Other,36,22000,46
Retail Advertising and PR Services Business Services - Other,8,22000,46
Retail;Advertising and PR Services;Business Services - Other,7,22000,46
Retail; Advertising and PR Services; Business Services - Other,1,22000,46
Architectural and Design Services,34,22000,47
Wholesale Trade/Import-Export,31,22000,48
"Travel, Transportation and TourismTransport and Storage - Materials",27,22000,49
Agriculture/Forestry/Fishing,26,22000,50
AllBusiness Services - Other,26,22000,51
RetailAdvertising and PR ServicesManagement Consulting Services,23,22000,52
Retail Advertising and PR Services Management Consulting Services,1,22000,52
Retail;Advertising and PR Services;Management Consulting Services,1,22000,52
"Computer Software, Computer/IT Services",22,22000,53
Computer SoftwareComputer/IT Services,16,22000,53
Computer Software Computer/IT Services,1,22000,53
Entertainment Venues and Theaters,20,22000,54
Computer HardwareComputer SoftwareComputer/IT Services,18,22000,55
Computer Hardware Computer Software Computer/IT Services,11,22000,55
Computer Hardware; Computer Software; Computer/IT Services,1,22000,55
Advertising and PR ServicesManagement Consulting ServicesBusiness Services - Other,18,22000,56
Advertising and PR Services Management Consulting Services Business Services - Other,17,22000,56
Construction - Industrial Facilities and InfrastructureConstruction - Residential & Commercial/Office,17,22000,57
Construction - Industrial Facilities and Infrastructure; Construction - Residential & Commercial/Office,1,22000,57
Personal and Household Services,16,22000,58
"Dallas, TX",16,22000,59
"Dallas, TX 75202",2,22000,59
"Dallas, TX 75201",1,22000,59
Healthcare Services Hotels and Lodging Restaurant/Food Services,16,22000,60
Waste Management,15,22000,61
RetailAdvertising and PR ServicesOther/Not Classified,15,22000,62
Retail Advertising and PR Services Other/Not Classified,5,22000,62
Biotechnology/PharmaceuticalsManufacturing - OtherMedical Devices and Supplies,14,22000,63
Biotechnology/Pharmaceuticals; Manufacturing - Other; Medical Devices and Supplies,1,22000,63
Metals and Minerals,14,22000,64
Sports and Physical Recreation,13,22000,65
Automotive and Parts MfgManufacturing - Other,12,22000,66
Automotive and Parts Mfg; Manufacturing - Other,1,22000,66
AllReal Estate/Property ManagementConstruction - Residential & Commercial/Office,12,22000,67
"AllAutomotive and Parts MfgTravel, Transportation and Tourism",11,22000,68
Real Estate/Property ManagementConstruction - Residential & Commercial/Office,11,22000,70
Telecommunications Services Advertising and PR Services Business Services - Other,11,22000,71
Telecommunications ServicesAdvertising and PR ServicesBusiness Services - Other,4,22000,71
"Broadcasting, Music, and Film",10,22000,72
AllComputer SoftwareComputer/IT Services,10,22000,73
Biotechnology/PharmaceuticalsHealthcare ServicesMedical Devices and Supplies,9,22000,74
Biotechnology/Pharmaceuticals; Healthcare Services; Medical Devices and Supplies,1,22000,74
Healthcare Services Business Services - Other Other/Not Classified,9,22000,75
Full Time Employee,9,22000,76
Advertising and PR ServicesBusiness Services - OtherOther/Not Classified,11,22000,77
Advertising and PR ServicesBusiness Services - Other,9,22000,77
Advertising and PR Services Business Services - Other,3,22000,77
Advertising and PR Services Business Services - Other Other/Not Classified,1,22000,77
RetailAutomotive Sales and Repair Services,9,22000,78
AllEnergy and UtilitiesBusiness Services - Other,8,22000,80
InsuranceFinancial Services,8,22000,81
Insurance; Financial Services,2,22000,81
Altec Industries,8,22000,82
Rental Services,8,22000,83
RetailRestaurant/Food ServicesFood and Beverage Production,8,22000,84
CNH Industrial,8,22000,85
"Houston, TX",7,22000,86
"Houston, TX 77055",2,22000,86
"Houston, TX 77002",1,22000,86
"Houston, TX 77236",1,22000,86
EducationHealthcare Services,7,22000,87
"Cincinnati, OH",7,22000,88
"Cincinnati, OH 45246",1,22000,88
BankingFinancial Services,7,22000,89
Construction - Industrial Facilities and Infrastructure; Engineering Services,7,22000,90
"Redmond, WA",6,22000,91
"Redmond, WA 98052",1,22000,91
"Redwood City, CA 94063",1,22000,91
AllComputer HardwareComputer Software,6,22000,92
RetailManagement Consulting ServicesBusiness Services - Other,6,22000,93
Retail Management Consulting Services Business Services - Other,1,22000,93
Retail;Management Consulting Services;Business Services - Other,1,22000,93
Marine Mfg & Services,6,22000,94
Healthcare Services Business Services - Other,5,22000,96
Biotechnology/PharmaceuticalsHealthcare ServicesStaffing/Employment Agencies,5,22000,97
"Plano, TX",5,22000,98
"Travel, Transportation and TourismTransport and Storage - Materials Automotive Sales and Repair Services",5,22000,99
RetailComputer/IT Services,5,22000,100
Healthcare Services Sports and Physical Recreation,5,22000,101
Restaurant/Food ServicesFood and Beverage Production,5,22000,102
Restaurant/Food Services Food and Beverage Production,3,22000,102
RetailAdvertising and PR Services,5,22000,103
Retail; Advertising and PR Services,1,22000,103
Healthcare ServicesNonprofit Charitable OrganizationsOther/Not Classified,5,22000,104
Healthcare Services; Nonprofit Charitable Organizations; Other/Not Classified,1,22000,104
Energy and Utilities Manufacturing - Other Business Services - Other,5,22000,105
Rental ServicesBusiness Services - OtherOther/Not Classified,5,22000,106
AllInsuranceOther/Not Classified,5,22000,107
Retail; Advertising and PR Services; Restaurant/Food Services,5,22000,108
RetailAdvertising and PR ServicesRestaurant/Food Services,3,22000,108
"San Jose, CA 95134",5,22000,109
InsuranceSecurity and Surveillance,5,22000,110
Industrial/Manufacturing Engineering,5,22000,111
Real Estate/Property ManagementRental ServicesConstruction - Residential & Commercial/Office,4,22000,112
RetailRental ServicesRestaurant/Food Services,4,22000,113
Retail; Rental Services; Restaurant/Food Services,1,22000,113
InsuranceHealthcare Services,4,22000,114
Insurance Healthcare Services,1,22000,114
AllAdvertising and PR ServicesBusiness Services - Other,4,22000,115
All;Advertising and PR Services;Business Services - Other,1,22000,115
Telecommunications ServicesBusiness Services - OtherOther/Not Classified,4,22000,116
Valmont Industries Inc.,4,22000,117
"Atlanta, GA",4,22000,118
"Atlanta, GA 30301",1,22000,118
"Atlanta/East Point, GA",1,22000,118
Healthcare ServicesMedical Devices and Supplies,4,22000,119
Automotive and Parts MfgManufacturing - OtherEngineering Services,4,22000,120
BankingAccounting and Auditing ServicesFinancial Services,4,22000,121
Biotechnology/Pharmaceuticals; Consumer Packaged Goods Manufacturing; Food and Beverage Production,4,22000,122
Internet ServicesTelecommunications ServicesBusiness Services - Other,4,22000,123
Hotels and Lodging Other/Not Classified,4,22000,124
Legal Services Government and Military,4,22000,125
Biotechnology/PharmaceuticalsHealthcare Services,4,22000,126
Advertising and PR ServicesManagement Consulting ServicesOther/Not Classified,4,22000,127
Advertising and PR Services Management Consulting Services Other/Not Classified,2,22000,127
"Abbott Park, IL 60064",4,22000,128
Wholesale Trade/Import-ExportAdvertising and PR ServicesBusiness Services - Other,3,22000,129
Clothing and Textile Manufacturing,3,22000,130
