Category_Set,Category_Occurrences,Total_Examples,Entity_Number
White,4584,82545,1
White                                             ,2985,82545,1
White                                   ,1723,82545,1
Black,3450,82545,2
Black                                             ,3133,82545,2
Black                                   ,2901,82545,2
Black /Tan,1277,82545,5
Tan,1765,82545,6
Tan                                               ,1397,82545,6
Tan                                     ,626,82545,6
Gold                                              ,1368,82545,8
Gold,1252,82545,8
Brown,1273,82545,9
Brown                                             ,805,82545,9
Brown                                   ,554,82545,9
Brindle,1217,82545,10
Brindle                                           ,1087,82545,10
Brindle                                 ,187,82545,10
Black/Tan                                         ,2186,82545,12
Black & Tan,937,82545,12
Tan/Black                                         ,314,82545,12
Tan & Black,112,82545,12
Tan/Black,95,82545,12
Red,808,82545,14
Red                                               ,647,82545,14
Red                                     ,362,82545,14
Golden                                  ,688,82545,15
Golden,58,82545,15
Tri-Colored                                       ,2657,82545,16
Tri-Colored,954,82545,16
Tri Colour,669,82545,16
Tri colour                              ,541,82545,16
Cream,572,82545,19
Cream                                             ,501,82545,19
Cream                                   ,270,82545,19
Tan/White                                         ,1183,82545,23
White/Tan                                         ,926,82545,23
Tan/White,914,82545,23
Tan & White,493,82545,23
White & Tan,488,82545,23
White/Tan,39,82545,23
Fawn,455,82545,24
Fawn                                              ,390,82545,24
Fawn                                    ,139,82545,24
Blue,414,82545,25
Blue                                              ,271,82545,25
Blue                                    ,155,82545,25
Chocolate                                         ,364,82545,26
Chocolate,346,82545,26
Chocolate                               ,155,82545,26
Apricot,325,82545,29
APRICOT                                           ,314,82545,29
Apricot                                 ,144,82545,29
Apricot                                           ,3,82545,29
Grey,300,82545,33
Grey                                    ,183,82545,33
Grey                                              ,182,82545,33
White/Brown                                       ,633,82545,34
Brown/White                                       ,621,82545,34
Brown/White,462,82545,34
White/Brown,360,82545,34
Brown & White,313,82545,34
White & Brown,281,82545,34
Black/White                                       ,3388,82545,36
Black/White,1759,82545,36
Black & White,1474,82545,36
White/Black                                       ,559,82545,36
White & Black,216,82545,36
White/Black,188,82545,36
Unknown,209,82545,37
Unknown                                           ,55,82545,37
Unknown                                 ,1,82545,37
Yellow                                            ,201,82545,38
Yellow                                  ,93,82545,38
Yellow,77,82545,38
BLACK/BRINDLE                                     ,194,82545,39
Sable,176,82545,41
Sable                                             ,160,82545,41
Sable                                   ,71,82545,41
BLENHEIM                                          ,174,82545,43
Blenheim,154,82545,43
Blenheim                                ,76,82545,43
Salt & Pepper                                     ,143,82545,46
Salt & Pepper,86,82545,46
Black/Grey                                        ,134,82545,49
Black/Grey,110,82545,49
Black & Grey,67,82545,49
Grey/Black                                        ,64,82545,49
Grey & Black,35,82545,49
Grey/Black,23,82545,49
Black/Brown                                       ,257,82545,51
Black/Brown,209,82545,51
Black & Brown,125,82545,51
Sandy,133,82545,52
Sandy                                             ,94,82545,52
Sandy                                   ,39,82545,52
Salt                                    ,99,82545,58
Salt,12,82545,58
Black/Brindle,93,82545,61
Brindle/Black                                     ,24,82545,61
Brindle/Black,13,82545,61
Beige,90,82545,63
Beige                                             ,67,82545,63
Beige                                   ,32,82545,63
Liver                                   ,90,82545,64
Liver,69,82545,64
Liver                                             ,42,82545,64
Red/Tan                                           ,85,82545,68
Red/Tan,37,82545,68
Chocolate Brown                                   ,82,82545,71
Chocolate Brown,2,82545,71
Black & Brindle,80,82545,72
Brown/Black                                       ,133,82545,73
Brown & Black,78,82545,73
Brown/Black,75,82545,73
Caramel,78,82545,74
Caramel                                           ,70,82545,74
Caramel                                 ,47,82545,74
Light Brown                                       ,77,82545,75
Light Brown,52,82545,75
Light Brown                             ,31,82545,75
Grey /White                                       ,189,82545,79
Grey/White,145,82545,79
White/Grey                                        ,145,82545,79
Grey & White,85,82545,79
White & Grey,67,82545,79
White/Grey,1,82545,79
White/Apricot                                     ,148,82545,86
White & Apricot,56,82545,86
APRICOT/WHITE                                     ,45,82545,86
Apricot & White,26,82545,86
White/Apricot,6,82545,86
Black & White & Brindle,55,82545,89
Brindle/White                                     ,333,82545,91
Brindle/White,189,82545,91
Brindle & White,141,82545,91
White/Brindle                                     ,123,82545,91
White/Brindle,62,82545,91
White & Brindle,54,82545,91
Ginger,51,82545,94
Ginger                                            ,28,82545,94
Ginger                                  ,20,82545,94
Gold/White                                        ,87,82545,95
White / Gold                                      ,50,82545,95
Gold & White,39,82545,95
Gold/White,1,82545,95
BLONDE                                            ,93,82545,96
Blonde,50,82545,96
Blonde                                  ,46,82545,96
Blond,3,82545,96
Bristle                                 ,50,82545,97
Ruby                                              ,50,82545,98
Ruby,27,82545,98
Ruby                                    ,19,82545,98
White/Cream                                       ,82,82545,100
White & Cream,49,82545,100
White/Cream,2,82545,100
Honey                                             ,49,82545,101
Honey,43,82545,101
Honey                                   ,30,82545,101
Silver                                  ,48,82545,102
Silver,47,82545,102
Silver                                            ,34,82545,102
Cream/White                                       ,47,82545,103
Cream/White,2,82545,103
Black & Tan & White,134,82545,104
Black/Tan/White,53,82545,104
White &  Black & Tan,47,82545,104
Tan & Black & White,19,82545,104
Blue/Roan                                         ,126,82545,105
Blue/Roan,75,82545,105
Blue Roan,46,82545,105
Blue Roan                               ,9,82545,105
Red/Wheaten                                       ,44,82545,108
Red/Wheaten,1,82545,108
Wolf Grey                                         ,44,82545,109
Wolf Grey,26,82545,109
Wolf Grey                               ,8,82545,109
Brown/Tan                                         ,100,82545,110
Tan & Brown                                       ,56,82545,110
Tan/Brown,45,82545,110
Brown & Tan,42,82545,110
Tan & Brown,37,82545,110
Brown/Tan,6,82545,110
Red Roan                                          ,42,82545,111
Red Roan,14,82545,111
Champagne,41,82545,113
Champagne                                         ,26,82545,113
Champagne                               ,18,82545,113
Fawn & White,39,82545,114
Wheaton,38,82545,116
Red & Tan,37,82545,119
BLACK/BLUE                                        ,35,82545,122
Wheaten                                           ,34,82545,124
Wheaten                                 ,16,82545,124
Wheaten,3,82545,124
BLUE BRINDLE                                      ,34,82545,125
Black/Silver                                      ,57,82545,127
Black & Silver,30,82545,127
Silver/Black,15,82545,127
Silver/Black                                      ,11,82545,127
Silver & Black,8,82545,127
Liver & White,30,82545,128
Brown/Brindle                                     ,30,82545,129
Brown/Brindle,17,82545,129
Brindle/Brown                                     ,11,82545,129
Blue/Grey                                         ,37,82545,130
Blue & Grey,28,82545,130
Dark Brown                                        ,28,82545,131
Dark Brown,8,82545,131
Dark Brown                              ,1,82545,131
Orange,27,82545,132
Orange                                  ,22,82545,132
Orange                                            ,19,82545,132
Cream/Gold                                        ,27,82545,133
Chocolate Tan                                     ,27,82545,134
Merle                                             ,27,82545,135
Merle                                   ,9,82545,135
Black/Gold                                        ,74,82545,136
Black/Gold,44,82545,136
Black & Gold,26,82545,136
Gold/Black                                        ,8,82545,136
Gold & Black,7,82545,136
Gold/Black,1,82545,136
Black/Roan                                        ,26,82545,137
Black/Roan,6,82545,137
Cream/Tan                                         ,26,82545,140
Cream/Tan,1,82545,140
Black & Brown & White,54,82545,141
White & Brown & Black,25,82545,141
White/Brown/Black,23,82545,141
White/Brown/Black                                 ,13,82545,141
BLUE/BLACK                                        ,38,82545,142
Black/Blue,25,82545,142
Blue & Black,16,82545,142
Fawn/White                                        ,74,82545,143
White/Fawn                                        ,60,82545,143
White & Fawn,25,82545,143
Fawn/White,4,82545,143
Red/Brindle                                       ,24,82545,145
Red/Brindle,1,82545,145
Tan & Sable,23,82545,148
Sable/Tan                                         ,9,82545,148
BLACK/CREAM                                       ,23,82545,150
Cream/Black                                       ,21,82545,150
Cream/Black,7,82545,150
Cream & Black,5,82545,150
Red/White                                         ,329,82545,151
Red & White,136,82545,151
White/Red,91,82545,151
White/Red                                         ,37,82545,151
White & Red,23,82545,151
Red/White,3,82545,151
Blue/Fawn                                         ,22,82545,154
Black/Tricolour                                   ,22,82545,155
Roan,21,82545,157
Roan                                              ,15,82545,157
Roan                                    ,14,82545,157
Light Tan                                         ,21,82545,159
Light Tan,1,82545,159
Tan/Red                                           ,20,82545,160
Cream/Apricot                                     ,20,82545,161
Red/Fawn                                          ,20,82545,162
Lemon/White                                       ,20,82545,163
Liver/White                                       ,98,82545,164
White/Liver                                       ,19,82545,164
White & Liver,7,82545,164
Liver/White,1,82545,164
White/Caramel                                     ,49,82545,165
Caramel/White                                     ,21,82545,165
White & Caramel,19,82545,165
Caramel & White,10,82545,165
Gold/Tan                                          ,19,82545,166
Gold/Tan,2,82545,166
Sandy/White                                       ,18,82545,169
Multi Coloured                                    ,18,82545,170
Multi Coloured,6,82545,170
Honey/White                                       ,38,82545,171
White/Honey                                       ,18,82545,171
Honey/White,1,82545,171
Tan Sable                                         ,17,82545,172
Tan Sable,1,82545,172
Biscuit,17,82545,173
Biscuit                                           ,5,82545,173
Biscuit                                 ,1,82545,173
Blue/Tan                                          ,51,82545,175
Blue & Tan,17,82545,175
Black & Tan & Brown,17,82545,177
Pepper/Salt                                       ,17,82545,179
Dark Brindle                                      ,16,82545,180
Dark Brindle                            ,2,82545,180
Dark Brindle,1,82545,180
White/Beige                                       ,33,82545,181
Beige/White                                       ,17,82545,181
White & Beige,16,82545,181
Beige & White,8,82545,181
Beige/White,1,82545,181
Silver/Grey                                       ,16,82545,182
White/Grey/Apricot,16,82545,183
Gold/Cream                                        ,16,82545,185
Apricot & Cream,15,82545,187
APRICOT/CREAM                                     ,13,82545,187
Russett                                 ,15,82545,188
Russett                                           ,7,82545,188
Red/Black                                         ,22,82545,189
Black/Red                                         ,15,82545,189
Red & Black,8,82545,189
Black/Red,1,82545,189
Black & Tan & Roan,14,82545,192
Grey & Tan,14,82545,194
Brown & Brindle,14,82545,195
Rusty,13,82545,197
Rusty                                   ,6,82545,197
Grey/Tan                                          ,13,82545,198
Grey/Tan,1,82545,198
White/Ginger                                      ,13,82545,199
Ginger/White                                      ,10,82545,199
Ginger & White,6,82545,199
Rust Gold                                         ,13,82545,200
Russett Gold,13,82545,201
Russett Gold                                      ,11,82545,201
Black & Grey & White,12,82545,203
Lemon & White,12,82545,204
Red Grizzled                                      ,12,82545,205
Russet & White,11,82545,206
Red & Brindle,11,82545,207
Cream & White,11,82545,208
Cream & Tan,11,82545,209
Fawn/Black                                        ,41,82545,210
Fawn/Black,23,82545,210
Fawn & Black,16,82545,210
Black/Fawn                                        ,11,82545,210
Pepper                                  ,11,82545,211
Honey & White,11,82545,212
Fawn/Brindle                                      ,11,82545,213
Red/Sable                                         ,11,82545,215
Tan & Sable & White,11,82545,216
Charcoal,10,82545,217
Charcoal                                          ,6,82545,217
Charcoal                                ,1,82545,217
BLENHIEM/WHITE                                    ,10,82545,218
Light Brindle                                     ,10,82545,219
Grey/Blue                                         ,10,82545,220
Grey/Blue,1,82545,220
Golden Shaded                                     ,10,82545,222
Sable/White                                       ,82,82545,223
Sable & White,56,82545,223
White/Sable                                       ,10,82545,223
Sable/White,3,82545,223
White/Sable,1,82545,223
Ruby/White                                        ,10,82545,225
Marle,10,82545,226
BLUE/RED                                          ,10,82545,227
Tan/Grey                                          ,10,82545,228
Fawn/Tan                                          ,9,82545,229
Fawn/Tan,1,82545,229
Cream/Caramel                                     ,9,82545,231
Cream/Caramel,1,82545,231
