Category_Set,Category_Occurrences,Total_Examples,Entity_Number
"Software Developers, Applications",114841,374362,1
Computer Systems Analysts,36700,374362,2
"Software Developers, Systems Software",21356,374362,3
"Electronics Engineers, Except Computer",13192,374362,4
Computer and Information Systems Managers,9631,374362,5
"Computer Software Engineers, Applications",6345,374362,6
Accountants and Auditors,6122,374362,7
Network and Computer Systems Administrators*,5986,374362,8
"Meat, Poultry, and Fish Cutters and Trimmers",5330,374362,9
Mechanical Engineers,5260,374362,10
Marketing Managers,4440,374362,11
"Internists, General",4311,374362,12
Management Analysts,4281,374362,13
Database Administrators,4155,374362,14
Financial Analysts,4074,374362,15
Electrical Engineers,3886,374362,16
Market Research Analysts and Marketing Specialists*,3668,374362,17
Statisticians,3427,374362,18
Financial Managers,3146,374362,19
Industrial Engineers,3093,374362,20
Sales Engineers,2677,374362,21
Materials Engineers,2560,374362,22
Architectural and Engineering Managers,2491,374362,23
Computer Programmers,2490,374362,24
"Cooks, Restaurant",2310,374362,25
Civil Engineers,2144,374362,26
"Physicians and Surgeons, All Other",2120,374362,27
Chefs and Head Cooks,1563,374362,28
"Computer Occupations, All Other",1554,374362,29
"Computer Occupations, All Other*",66,374362,29
Operations Research Analysts,1543,374362,30
"Business Teachers, Postsecondary",1524,374362,31
"Computer Software Engineers, Systems Software",1513,374362,32
"Elementary School Teachers, Except Special Education",1479,374362,33
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",1418,374362,34
General and Operations Managers,1307,374362,35
"Secondary School Teachers, Except Special and Career/Technical Education",1118,374362,36
"Engineering Teachers, Postsecondary",1097,374362,37
Sales Managers,1080,374362,38
Home Health Aides,1076,374362,39
"Transportation, Storage, and Distribution Managers",1065,374362,40
Lawyers,1054,374362,41
"Information Security Analysts, Web Developers, and Computer Network Architects",1004,374362,42
"Combined Food Preparation and Serving Workers, Including Fast Food",998,374362,43
Pharmacists,995,374362,44
Chemists,980,374362,45
Logisticians,941,374362,46
Graphic Designers,931,374362,47
"Dentists, General",889,374362,48
Medical and Clinical Laboratory Technologists,884,374362,49
Occupational Therapists,861,374362,50
Butchers and Meat Cutters,846,374362,51
Biochemists and Biophysicists,835,374362,52
Chemical Engineers,832,374362,53
Economists,823,374362,54
Industrial Production Managers,802,374362,55
"Architects, Except Landscape and Naval",783,374362,56
"Cooks, Fast Food",767,374362,57
Instructional Coordinators,766,374362,58
"Health Specialties Teachers, Postsecondary",764,374362,59
"Mathematical Science Teachers, Postsecondary",763,374362,60
Slaughterers and Meat Packers,746,374362,61
"Foreign Language and Literature Teachers, Postsecondary",743,374362,62
Medical and Health Services Managers,728,374362,63
"Packers and Packagers, Hand",705,374362,64
Biomedical Engineers,698,374362,65
Computer Network Architects,682,374362,66
"Bookkeeping, Accounting, and Auditing Clerks",677,374362,67
Chief Executives,631,374362,68
"Securities, Commodities, and Financial Services Sales Agents",631,374362,69
Multimedia Artists and Animators,627,374362,70
Purchasing Managers,624,374362,71
Helpers--Production Workers,611,374362,72
"Medical Scientists, Except Epidemiologists",607,374362,73
Family and General Practitioners,602,374362,74
"Economics Teachers, Postsecondary",598,374362,75
Computer and Information Research Scientists,590,374362,76
Commercial and Industrial Designers,587,374362,77
Information Security Analysts,580,374362,78
Computer Hardware Engineers,567,374362,79
"Computer Science Teachers, Postsecondary",565,374362,80
Clergy,547,374362,81
"Pediatricians, General",524,374362,82
Actuaries,518,374362,83
Aerospace Engineers,485,374362,84
Construction Managers,484,374362,85
"Software Developers, Applications, Non R & D (ACWIA Only)",484,374362,86
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",484,374362,87
Food Service Managers,483,374362,88
Network and Computer Systems Administrators,476,374362,89
Credit Analysts,467,374362,90
Public Relations Specialists,447,374362,91
Cost Estimators,447,374362,92
Natural Sciences Managers,440,374362,93
"Tailors, Dressmakers, and Custom Sewers",437,374362,94
"Middle School Teachers, Except Special and Career/Technical Education",437,374362,95
Psychiatrists,416,374362,96
"Special Education Teachers, Secondary School",411,374362,97
First-Line Supervisors of Retail Sales Workers,383,374362,98
"Health Diagnosing and Treating Practitioners, All Other",381,374362,99
Food Scientists and Technologists,378,374362,100
Engineering Managers,368,374362,101
Training and Development Specialists,363,374362,102
Coaches and Scouts,357,374362,103
Fashion Designers,357,374362,104
Compliance Officers,354,374362,105
"Geoscientists, Except Hydrologists and Geographers",350,374362,106
Surgeons,343,374362,107
Budget Analysts,340,374362,108
"Art, Drama, and Music Teachers, Postsecondary",338,374362,109
Veterinarians,338,374362,110
"Biological Science Teachers, Postsecondary",337,374362,111
Market Research Analysts,333,374362,112
Art Directors,333,374362,113
Maids and Housekeeping Cleaners,326,374362,114
Environmental Engineers,325,374362,115
Speech-Language Pathologists,314,374362,116
Petroleum Engineers,313,374362,117
