Category_Set,Category_Occurrences,Total_Examples,Entity_Number
157 E. 74th Street,1,21607,1
23rd Regiment Armory,1,21607,2
32 Old Slip,1,21607,3
4 World Trade Center,2,21607,4
9/11 Memorial Museum,1,21607,5
"Aaron Davis Hall, City College of New York",1,21607,6
Abyssinian Baptist Church,6,21607,7
Academy of Music,253,21607,8
Acik Hava Tiyatrosu,2,21607,9
Acros Fukuoka,1,21607,10
Act City Concert Hall,1,21607,11
Adlai Stevenson High School,2,21607,12
Adrienne Arsht Center for the Performing Arts (Knight Concert Hall),1,21607,13
Aeolian Hall,301,21607,14
Ahmed Adnan Saygun Arts Centre,1,21607,15
Ak-Sar-Ben Coliseum,1,21607,16
Al Jahili Fort,1,21607,17
Albee Theatre,1,21607,18
Alexander Hall,21,21607,19
Alice Tully Hall,17,21607,20
Alte Oper,11,21607,21
Alumni Memorial Auditorium,3,21607,22
American Legion Auditorium,2,21607,23
Amphitheater at the Elinor Bunin Munroe Film Center,1,21607,24
Anderson Center for the Arts,2,21607,25
Andrew Jackson Hall,1,21607,26
Angel Orensanz Foundation,1,21607,27
Anhangabau,1,21607,28
Apollo Rooms,33,21607,29
Apollo Saloon,1,21607,30
Apollo Theater,2,21607,31
Arcadia Auditorium,3,21607,32
Arena Theater,1,21607,33
Arie Crown Theater,2,21607,34
The Armory,6,21607,35
Armory,2,21607,35
Armory Auditorium,1,21607,35
Art Museum,1,21607,37
Artemus W. Ham Concert Hall,2,21607,38
Artpark,5,21607,39
Asia Society,10,21607,40
Assembly Hall,1,21607,41
"Assembly Rooms, Chinese Buildings",2,21607,42
Atatuerk Culture Center,2,21607,43
Athenaeum,2,21607,44
Athens Concert Hall,3,21607,45
Auditorio Alfredo Kraus,2,21607,46
Auditorio de Galicia,1,21607,47
Auditorio Nacional,1,21607,48
Auditorio Nacional de Musica,9,21607,49
Auditorio y Palacio de Congresos,2,21607,50
Auditorio Palacio de Congresos Principe Felipe,1,21607,50
Auditorium,10,21607,52
The Auditorium,2,21607,52
Auditorium Arena,1,21607,53
Auditorium Theatre,3,21607,54
Auditorium Hall,1,21607,54
Auditorium Parco della Musica,3,21607,55
Auditorium Parco della Musica - Santa Cecilia Hall,1,21607,55
Augusteo,4,21607,58
Aula Magna,2,21607,59
Avery Fisher Hall,6210,21607,60
Aycock Auditorium,1,21607,61
Bailey Hall,4,21607,62
Baita at Eataly,1,21607,63
Baker Hall,2,21607,64
Balboa Park Bowl,1,21607,65
Bank of New York,1,21607,66
Baptist Church,2,21607,67
Barbican Centre,15,21607,68
Baseball Stadium,1,21607,69
Battery Park,2,21607,70
Beethovenhalle,7,21607,71
Beethoven-Saal,1,21607,71
Belasco Theatre,1,21607,73
"Bell House, The",1,21607,74
Berkeley Community Theatre,1,21607,75
Bethany College Auditorium,1,21607,76
Bethel Woods Center for the Arts,7,21607,77
Bijou Theater,2,21607,78
Biltmore Hotel,2,21607,79
Binyanei Ha'ooma,1,21607,80
Blockbuster-Sony Music Entertainment Center,1,21607,81
Blossom Music Center,1,21607,82
Blumenthal Performing Arts Center,1,21607,83
Bob Carr Performing Arts Centre,1,21607,84
Boettcher Concert Hall,2,21607,85
Bolshoi Hall,13,21607,86
Bolshoi Theatre,4,21607,86
Bolshoi Zal,4,21607,86
Boyd's Theatre,2,21607,89
Brick Church,1,21607,90
Broad Street Theatre,1,21607,91
Broadway Tabernacle,3,21607,92
Brookhaven Amphitheater,3,21607,93
Brooklyn Academy of Music,144,21607,94
"Brooklyn Center for the Performing Arts, Whitman Hall",4,21607,95
Brooklyn Institute of Arts and Sciences,3,21607,96
Brucknerhaus,1,21607,97
Bruno Walter Auditorium,3,21607,98
Bryant Park,1,21607,99
Buckfire residence,1,21607,100
Buckingham Hall,3,21607,101
Bunka Kaikan,10,21607,102
Bunka Kaikan (Chiba-ken),1,21607,103
Burns Theater,1,21607,104
Burtis Auditorium,1,21607,105
Bush-Brown Concert Theater,7,21607,106
Bushnell Auditorium,33,21607,107
Byrnes Auditorium,1,21607,108
C.Y. Stephens Auditorium,6,21607,109
Calderone Theater,2,21607,110
Cam-Plex Heritage Center,1,21607,111
Cambria Theater,1,21607,112
Cameron Indoor Stadium,1,21607,113
Camp Dix,1,21607,114
Camp Kilmer,3,21607,115
Cankarjev dom (Gallus Hall),2,21607,116
Capitol Theatre,2,21607,117
Caramoor Venetian Theater,2,21607,118
Carnegie Hall,6029,21607,119
Carnegie Chamber Music Hall at Carnegie Hall,1,21607,119
Carnegie Music Hall,1,21607,119
Carnegie Lyceum,2,21607,121
