Category_Set,Category_Occurrences,Total_Examples,Entity_Number
ðncash,1,2772,1
ðquateur,1,2772,2
Abia,1,2772,3
Abyan,1,2772,4
Aceh,1,2772,5
Acre,1,2772,6
Adamaoua,1,2772,7
Adamawa,1,2772,8
Addis Ababa,1,2772,9
Aden,1,2772,10
Adrar,1,2772,11
Affar,1,2772,12
Agadez,1,2772,13
Ahuachapan,1,2772,14
Aileu,1,2772,15
Ainaro,1,2772,16
Aire Mðtropolitaine/Reste-Ouest,1,2772,17
Akwa Ibom,1,2772,18
Al-Anbar,1,2772,19
Al-Baidha,1,2772,20
Al-Hodiedah,1,2772,21
Al-Jawf,1,2772,22
Al-Mhrah,1,2772,23
Al-Mhweit,1,2772,24
Al-Muthanna,1,2772,25
Al-Najaf,1,2772,26
Al-Qadisiya,1,2772,27
Alagoas,1,2772,28
Alaotra Mangoro,1,2772,29
Aldhalae,1,2772,30
Alexandria,1,2772,31
Alibori,1,2772,32
Alta Verapaz,1,2772,33
Amapð,1,2772,34
Amazon,1,2772,35
Amazonas,2,2772,36
Amhara,1,2772,37
Amran,1,2772,38
Analamanga,1,2772,39
Analanjirofo,1,2772,40
Anambra,1,2772,41
Anamoroni'i Mania,1,2772,42
Androy,1,2772,43
Anosy,1,2772,44
Antioquia Sin Medellin,1,2772,45
Apurðmac,1,2772,46
Arequipa,1,2772,47
Armm,1,2772,48
Artibonite,1,2772,49
As-swidaa,1,2772,50
Ashanti,1,2772,51
Assaba,1,2772,52
Assuit,1,2772,53
Aswan,1,2772,54
Atacora,1,2772,55
Atlðntida,1,2772,56
"Atlantico, San Andres, Bolivar Norte",1,2772,57
Atlantique,1,2772,58
Atsimo Andrefana,1,2772,59
Atsimo Atsinanana,1,2772,60
Atsinanana,1,2772,61
Attapeu,1,2772,62
Ayacucho,1,2772,63
Ayeyarwaddy,1,2772,64
Babil,1,2772,65
Badakhshan,1,2772,66
Badghis,1,2772,67
Bafata,1,2772,68
Baghdad,1,2772,69
Baghlan,1,2772,70
Bago,1,2772,71
Bahia,1,2772,72
Baja Verapaz,1,2772,73
Balaka,1,2772,74
Bali,1,2772,75
Balkh,1,2772,76
Balochistan,1,2772,77
Bamako,1,2772,78
Bamingui-Bangoran,1,2772,79
Bamyan,1,2772,80
Bandundu,1,2772,81
Bangka Belitung,1,2772,82
Bangui,1,2772,83
Banjul,1,2772,84
Banteay Mean Chey,1,2772,85
Banten,1,2772,86
Barh El Gazal,1,2772,87
Barima-Waini,1,2772,88
Barisal,1,2772,89
Barranquilla A. M.,1,2772,90
Bas-Congo,1,2772,91
Basrah,1,2772,92
Basse,1,2772,93
Basse-Kotto,1,2772,94
Batha,1,2772,95
Battambang & Pailin,1,2772,96
Baucau,1,2772,97
Bauchi,1,2772,98
Bayelsa,1,2772,99
Behera,1,2772,100
Belize (excluding Belize City South Side),1,2772,101
Belize City South Side,1,2772,102
Bengkulu,1,2772,103
Beni,1,2772,104
Beni Suef,1,2772,105
Benishangul-Gumuz,1,2772,106
Benue,1,2772,107
Berea,1,2772,108
Betsiboka,1,2772,109
Bicol Region,1,2772,110
Biombo,1,2772,111
Blantyre City,1,2772,112
Blantyre Rural,1,2772,113
Blue Nile,1,2772,114
Bo,1,2772,115
Boaco,1,2772,116
Bobonaro,1,2772,117
Boeny,1,2772,118
Bogota,1,2772,119
Bokð,1,2772,120
Bokeo,1,2772,121
Bolama,1,2772,122
"Bolivar Sur, Sucre, Cordoba",1,2772,123
Bombali,1,2772,124
Bomi,1,2772,125
Bong,1,2772,126
Bongolava,1,2772,127
Bonthe,1,2772,128
Borgou,1,2772,129
Borikhamxay,1,2772,130
Borkou/Tibesti,1,2772,131
Borno,1,2772,132
Botha-Bothe,1,2772,133
Boucle de mouhoun,1,2772,134
Bouenza,1,2772,135
"Boyaca, Cmarca, Meta",1,2772,136
Brakna,1,2772,137
Brazzaville,1,2772,138
Brikama,1,2772,139
Brokopondo,1,2772,140
Brong Ahafo,1,2772,141
Bujumbura Mairie,1,2772,142
Bulawayo,1,2772,143
Bumthang,1,2772,144
Cabanas,1,2772,145
Cabo Delgado,1,2772,146
Cacheu,1,2772,147
Cagayan Valley,1,2772,148
Cairo,1,2772,149
Cajamarca,1,2772,150
Calabarzon,1,2772,151
"Caldas, Risaralda, Quindio",1,2772,152
Cali A.M.,1,2772,153
Callao,1,2772,154
Caprivi,1,2772,155
CARAGA,1,2772,156
