Category_Set,Category_Occurrences,Total_Examples,Entity_Number
Euro,12319,68023,1
euro,394,68023,1
Australian dollar,2461,68023,2
pound sterling,2449,68023,3
1999 FRF euro / euro,2314,68023,4
Singapore dollar,1944,68023,5
US dollar,1911,68023,6
US dollar                               ,397,68023,6
US dollars,319,68023,6
1999 BEF euro / euro,1624,68023,7
Dinar,1435,68023,8
Hong Kong dollar,1190,68023,9
New Romanian Leu,1177,68023,10
Swedish Krona,1119,68023,11
kuna,1095,68023,12
Metical,1044,68023,13
Malawi kwacha,988,68023,14
Korean won,982,68023,15
Danish krone,965,68023,16
Norwegian krone    ,909,68023,17
Norwegian krone,351,68023,17
1999 NLG Euro / Euro     ,908,68023,18
yen,891,68023,19
New Zealand dollar,854,68023,20
New Zealand dollar                      ,66,68023,20
Costa Rican colon,833,68023,21
Rwanda franc,829,68023,22
Lilangeni,828,68023,23
Tanzania shilling,780,68023,24
Tanzanian Shilling,384,68023,25
Czech koruna,770,68023,26
Forint,755,68023,27
Swiss franc,754,68023,28
1999 PTE euro / euro,726,68023,29
Mexican new peso,701,68023,30
litas,681,68023,31
Saudi Arabian riyal,658,68023,32
1999 FIM euro / euro,639,68023,33
1999 ATS euro / euro,626,68023,34
New Turkish lira,610,68023,35
Lebanese Pound,606,68023,36
lev,587,68023,37
Philippine peso,580,68023,38
Togrog,559,68023,39
1999 LUF Euro / Euro     ,534,68023,40
dong,502,68023,41
Mauritian rupee,491,68023,42
1999 ITL euro / euro,484,68023,43
1999 DEM euro / euro,468,68023,44
new sheqel,462,68023,45
lek,448,68023,46
Icelandic króna       ,433,68023,47
Icelandic króna,228,68023,47
1999 IEP euro / euro      ,415,68023,48
new sol,410,68023,49
Zloty                 ,399,68023,50
Zloty,340,68023,50
hryvnia,392,68023,51
Bahamian dollar,390,68023,52
TFYR Macedonian Denar,387,68023,53
Seychelles rupee,360,68023,54
lats,359,68023,55
Pakistan Rupee,352,68023,56
Kenya Shillings,352,68023,57
1999 ESP euro / euro,336,68023,58
convertible marks,330,68023,59
Cayman Islands dollar,320,68023,60
Azerbaijan new manat,313,68023,61
Canadian dollar,307,68023,62
Cedi (Third),300,68023,63
Colombian peso,286,68023,64
vatu,272,68023,65
loti,270,68023,66
real,270,68023,67
dram,270,68023,68
2001 GRD euro / euro,269,68023,69
Uganda shilling,248,68023,70
escudo,240,68023,71
tenge,226,68023,72
Chilean peso,204,68023,73
naira,203,68023,74
Brunei dollar,203,68023,75
lev (re-denom. 1:1000),198,68023,76
Sri Lanka rupee,196,68023,77
Indonesian Rupiah,182,68023,78
Zambian Kwacha,180,68023,79
Kyrgyz som                              ,174,68023,80
ringgit,174,68023,81
Belarussian rouble (re-denom. 1:1000),140,68023,82
Fiji dollar,135,68023,83
Indian rupee,132,68023,84
kip,130,68023,85
Moldovan leu,60,68023,86
Belarussian rouble (re-denom. 1:10000),29,68023,87
South Sudanese Pound,11,68023,88
