Category_Set,Category_Occurrences,Total_Examples,Entity_Number
20's & 30's Social,230,31212,1
20's Social,30,31212,2
3-D Paper Crafts,1,31212,3
80's Dancing,3,31212,4
90's Music,2,31212,5
A Spiritual Path to Higher Creativity,5,31212,6
Acting and Writing,10,31212,7
Active Parents,14,31212,8
"Acustical Music, Music Jam Sessions, Vinyl Records",7,31212,9
Adaptive Technology,2,31212,10
Adoptive Parents,1,31212,11
Adult Education,1,31212,12
Adult Entertainment Industry,5,31212,13
Adult Paper Craft Classes,2,31212,14
Adventure sports,1,31212,15
Aerial Performance Art,1,31212,16
African American Literature,1,31212,17
African Art,1,31212,18
African Dance,12,31212,19
African-American Art,2,31212,20
African-American Women in Technology,2,31212,21
Afro-Cuban Music,1,31212,22
Aging Parents,1,31212,23
Altered Art,2,31212,24
Alternative Health and Wellness,5,31212,25
Alternative Music,1,31212,26
Alternative Photography,1,31212,27
Alternative Sports,1,31212,28
Amateur Photography,6,31212,29
American Sign Language,9,31212,30
American Sign Language Classes,3,31212,30
ASL Sign Languages,1,31212,30
Animal Lovers and Pets,1,31212,32
Any Activities both Indoor and Outdoor,5,31212,33
Apple/Macintosh technology,3,31212,34
Applied Spirituality,1,31212,35
Appreciate and Enjoy Music Concerts,2,31212,36
Appropriate Technology,1,31212,37
"Argentine Tango literature, Music, Lyrics",2,31212,38
Argentine Tango Movies and Video,1,31212,39
Art,329,31212,40
Art Classes,5,31212,40
Arts Education,2,31212,40
Art and art marketing,4,31212,41
Art and Culture,7,31212,42
Art and Fashion,1,31212,43
Art and Performing Arts,4,31212,44
Art Creating Art and Perfecting Our Art,6,31212,46
"Art Deco, Art Noveau",1,31212,47
Art Exhibit,14,31212,48
Art for Arts sake,1,31212,49
Art Galleries,74,31212,50
Art History,6,31212,51
Art Journaling,3,31212,52
Art Museums,53,31212,53
Art Photography,2,31212,54
Art Quilting,1,31212,55
Art Therapy,3,31212,56
Art Walks and Tours,22,31212,57
Arts & Crafts - Show & Sale Fairs,2,31212,58
Arts & Crafts for Adults,1,31212,59
Arts & Crafts for Kids,2,31212,60
Arts & Entertainment,63,31212,61
Arts & Entertainment - Day & Night Group Trips,2,31212,62
Arts and Craft,3,31212,63
Arts and Literature,1,31212,64
Arts and Social Arts,6,31212,65
Asian Fashion,1,31212,67
Asian Movies,1,31212,68
Attachment Parenting,13,31212,70
Audio Visual Technology,2,31212,71
Australian Culture,6,31212,72
B-Movies,10,31212,73
B2B Networking,53,31212,74
Baby Sign Language,1,31212,75
Balance Sports,1,31212,76
Ballroom Dancing,47,31212,77
Baroque Music,1,31212,78
Baseball at a sports bar,9,31212,79
Bay Area Business Network,2,31212,80
Beach Sports,2,31212,81
Beauty Industry,60,31212,82
Belly Dance,8,31212,83
Belly Dance Lessons,2,31212,83
Belly dance performance,1,31212,83
Bellydance Dance Belly Dancing,1,31212,83
Biology Technological Developments Aging Life,2,31212,87
Biotechnology Industry Organization,5,31212,88
Black and White Photography,3,31212,89
Black Business Network,3,31212,90
Black Culture,15,31212,91
Blues Dancing,3,31212,92
Board Games,132,31212,93
Body Language,1,31212,94
Bollywood Movies,6,31212,95
Book Arts,1,31212,96
"Book Club, Movies",7,31212,97
Book writing,31,31212,98
Books and Literature,1,31212,99
Boomer Wellness and Well-Being,1,31212,100
Brazilian Music,11,31212,101
British Movies,1,31212,102
"Brunch, Lunch, Coffee, Tea, Dinner & Movies",8,31212,103
Business and Spirituality,2,31212,104
Business Education,8,31212,105
Business Networking for Women,7,31212,106
Business Networking International (BNI),8,31212,107
Business Referral Networking,427,31212,108
Business Technology,1,31212,109
Business to Business Network Marketing,9,31212,110
Canasta Card Game,3,31212,111
"Candy & Ice Cream Lovers, Games & Parents",1,31212,112
Card Games,98,31212,113
Care and Healthcare Professionals Networking,3,31212,114
Career & Professional Networking,17,31212,115
Caribbean Art,1,31212,116
Cash Flow Game,5,31212,117
Casino Gaming,2,31212,118
Casual Games,3,31212,119
Casual Sports,5,31212,120
Catholic prayer and spirituality,1,31212,121
Celtic Culture,8,31212,122
Centers for Spiritual Living,2,31212,123
Ceramic Arts,4,31212,124
"Chair Dance, Lap Dance",2,31212,125
Chamber Music,24,31212,126
Chicago Parents,1,31212,127
Chief Technology Officer,5,31212,128
Childbirth Education,3,31212,129
Childrens Art Education,1,31212,130
Chinese language,77,31212,131
Chinese Tea Culture,4,31212,132
christian business networking,1,31212,133
Christians in the Fashion Industry,1,31212,134
Classic literature,2,31212,135
Clothing and Fashion Designers,51,31212,136
Clothing Optional Recreation,16,31212,137
Coffee and Tea Socials,47,31212,138
Collaborative Photo Shoots,1,31212,139
College Sports,1,31212,140
Commercial Photography Workshop,1,31212,141
"Communication, Social Skills",7,31212,142
Comparative Literature,1,31212,143
Computer Gaming,18,31212,144
Concept Art,1,31212,145
Console Gaming,22,31212,146
Contemporary Art,25,31212,147
Continuing Education,4,31212,148
Corporate Social Responsibility,13,31212,149
Country Dancing,6,31212,150
Country Music,3,31212,151
Country Western Dancing,2,31212,152
Country Western Music,2,31212,153
"Cover Letters, Resume Writing, Practice Interviews",1,31212,154
Craft Bartenders,3,31212,155
Craft Beer,38,31212,156
Crafts,92,31212,157
Craft Classes,1,31212,157
creative spiritual practice,1,31212,159
Creative Writing,156,31212,160
Creativity Acting Writing Directing,3,31212,160
Creativity Art,2,31212,162
Credit Score Education and Awareness,3,31212,163
Cribbage Card Game,1,31212,164
Crochet Knit and other Portable Hand Crafts,1,31212,165
Cult Movies,5,31212,166
Cultural Activities,67,31212,167
Cultural Outings,1,31212,167
Cultural Diversity,23,31212,168
Culture,122,31212,170
Culture Exchange,245,31212,171
Cyborg Culture and Technology,3,31212,172
Dallas Cowboys Meetup Group for Games,1,31212,173
"Dance - Ballroom, Latin & Salsa",3,31212,174
Dancing,477,31212,175
Dance Dance Dance,4,31212,175
Dance Class Lets Dance,3,31212,175
Dance Dance Dance and Burn Up The Floor!,6,31212,177
Dance Fitness,35,31212,178
Dance Lessons,169,31212,179
dance music,5,31212,180
Dance Parties,20,31212,181
Dance: African Dance and Drumming,3,31212,182
Dancing & Nightlife,5,31212,184
Daytime Women's Social,2,31212,185
Deaf Culture Sign Languages,5,31212,186
Deaf Education,1,31212,187
deep house music,5,31212,188
Dental Technology,1,31212,189
Desi Culture,9,31212,190
Desi Music/Karaoke,1,31212,191
Designer Fashion Clothing Show,5,31212,192
Dice Games,1,31212,193
Digital Art,19,31212,194
Digital Photography,161,31212,195
Dinner and a Movie,52,31212,196
Disney Movies,2,31212,197
Divorced Parents,16,31212,198
Documentary Photography,1,31212,199
dog sports,1,31212,200
Dramatic Arts Theatre,12,31212,201
