Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
Student,10351,25090,0.4125548027102432,-1
Senior developer,5763,25090,0.2296931048226385,-1
Level 1 developer (junior),4535,25090,0.1807493025109604,-1
New grad,912,25090,0.0363491430848943,-1
Principal engineer,677,25090,0.0269828616978876,-1
Architect,518,25090,0.0206456755679553,-1
Freelancer,486,25090,0.0193702670386608,-1
Engineering manager,428,25090,0.0170585890793144,-1
Founder / CEO / CTO,323,25090,0.0128736548425667,-1
Director / VP of Engineering,140,25090,0.0055799123156636,-1
