Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
Wireless (cell phone/other mobile device),368110,943111,0.3903146077184976,-1
Wired,203162,943111,0.215416849130166,-1
Cable,135630,943111,0.1438112799023656,-1
Internet (VOIP),48397,943111,0.051316334980718,-1
Wireless,45699,943111,0.0484555900630996,-1
Broadcast,29544,943111,0.0313261111364409,-1
DSL,26715,943111,0.0283264642231932,-1
Satellite,24233,943111,0.0256947485502766,-1
Fiber,16311,943111,0.0172948889367211,-1
Amateur Radio,2346,943111,0.0024875120744005,-1
