Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
Basketball Court,1704,5494,0.3101565344011649,-1
Restroom,1036,5494,0.1885693483800509,-1
Ball Field,934,5494,0.1700036403349108,-1
Clubhouse,674,5494,0.1226792864943574,-1
Activity Center,150,5494,0.0273025118310884,-1
Maintenance Facility,94,5494,0.0171095740808154,-1
Dog Play Area,33,5494,0.0060065526028394,-1
Fieldhouse,32,5494,0.0058245358572988,-1
Picnic Area,31,5494,0.0056425191117582,-1
Concession,31,5494,0.0056425191117582,-1
