Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
Neutered Male Kitten,4696,29421,0.1596138812412902,-1
Spayed Female Cat,4630,29421,0.1573705856361102,-1
Spayed Female Kitten,4151,29421,0.1410896978348798,-1
Neutered Male Cat,4062,29421,0.138064647700622,-1
Intact Male Kitten,3401,29421,0.115597702321471,-1
Intact Female Kitten,3180,29421,0.1080860609768532,-1
Unknown Kitten,1972,29421,0.0670269535365895,-1
Intact Female Cat,1706,29421,0.0579857924611672,-1
Intact Male Cat,1067,29421,0.0362666122837429,-1
Unknown Cat,556,29421,0.0188980660072737,-1
