Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
NGA,37,2772,0.0133477633477633,-1
AFG,34,2772,0.0122655122655122,-1
IDN,33,2772,0.0119047619047619,-1
MWI,32,2772,0.0115440115440115,-1
BRA,27,2772,0.0097402597402597,-1
EGY,25,2772,0.009018759018759,-1
PER,25,2772,0.009018759018759,-1
GTM,23,2772,0.0082972582972582,-1
MDG,22,2772,0.0079365079365079,-1
TCD,21,2772,0.0075757575757575,-1
YEM,21,2772,0.0075757575757575,-1
BTN,19,2772,0.0068542568542568,-1
KHM,19,2772,0.0068542568542568,-1
SDN,18,2772,0.0064935064935064,-1
HND,18,2772,0.0064935064935064,-1
IRQ,18,2772,0.0064935064935064,-1
LAO,17,2772,0.0061327561327561,-1
NIC,17,2772,0.0061327561327561,-1
PHL,17,2772,0.0061327561327561,-1
COL,16,2772,0.0057720057720057,-1
CAF,16,2772,0.0057720057720057,-1
MMR,15,2772,0.0054112554112554,-1
LBR,15,2772,0.0054112554112554,-1
NPL,15,2772,0.0054112554112554,-1
MAR,14,2772,0.005050505050505,-1
SYR,14,2772,0.005050505050505,-1
JAM,14,2772,0.005050505050505,-1
SLV,14,2772,0.005050505050505,-1
SLE,14,2772,0.005050505050505,-1
TLS,13,2772,0.0046897546897546,-1
BFA,13,2772,0.0046897546897546,-1
NAM,13,2772,0.0046897546897546,-1
COG,12,2772,0.0043290043290043,-1
CMR,12,2772,0.0043290043290043,-1
BEN,12,2772,0.0043290043290043,-1
MRT,12,2772,0.0043290043290043,-1
CIV,11,2772,0.0039682539682539,-1
MOZ,11,2772,0.0039682539682539,-1
COD,11,2772,0.0039682539682539,-1
ETH,11,2772,0.0039682539682539,-1
SUR,10,2772,0.0036075036075036,-1
LSO,10,2772,0.0036075036075036,-1
DOM,10,2772,0.0036075036075036,-1
HTI,10,2772,0.0036075036075036,-1
GHA,10,2772,0.0036075036075036,-1
UGA,10,2772,0.0036075036075036,-1
ZWE,10,2772,0.0036075036075036,-1
GAB,10,2772,0.0036075036075036,-1
ZMB,10,2772,0.0036075036075036,-1
TZA,9,2772,0.0032467532467532,-1
SSD,9,2772,0.0032467532467532,-1
BOL,9,2772,0.0032467532467532,-1
GNB,9,2772,0.0032467532467532,-1
GUY,9,2772,0.0032467532467532,-1
GMB,8,2772,0.0028860028860028,-1
NER,8,2772,0.0028860028860028,-1
KEN,8,2772,0.0028860028860028,-1
GIN,8,2772,0.0028860028860028,-1
BGD,7,2772,0.0025252525252525,-1
BLZ,7,2772,0.0025252525252525,-1
PAK,6,2772,0.0021645021645021,-1
VNM,6,2772,0.0021645021645021,-1
UZB,6,2772,0.0021645021645021,-1
TGO,6,2772,0.0021645021645021,-1
MLI,6,2772,0.0021645021645021,-1
MNG,5,2772,0.0018037518037518,-1
RWA,5,2772,0.0018037518037518,-1
TJK,5,2772,0.0018037518037518,-1
BDI,5,2772,0.0018037518037518,-1
TTO,5,2772,0.0018037518037518,-1
SWZ,4,2772,0.0014430014430014,-1
ECU,4,2772,0.0014430014430014,-1
STP,4,2772,0.0014430014430014,-1
SEN,4,2772,0.0014430014430014,-1
JOR,3,2772,0.001082251082251,-1
COM,3,2772,0.001082251082251,-1
CHN,3,2772,0.001082251082251,-1
DJI,2,2772,0.0007215007215007,-1
ARM,1,2772,0.0003607503607503,-1
VUT,1,2772,0.0003607503607503,-1
TUN,1,2772,0.0003607503607503,-1
THA,1,2772,0.0003607503607503,-1
SOM,1,2772,0.0003607503607503,-1
BRB,1,2772,0.0003607503607503,-1
TKM,1,2772,0.0003607503607503,-1
MNE,1,2772,0.0003607503607503,-1
DZA,1,2772,0.0003607503607503,-1
IND,1,2772,0.0003607503607503,-1
PSE,1,2772,0.0003607503607503,-1
LCA,1,2772,0.0003607503607503,-1
KAZ,1,2772,0.0003607503607503,-1
SRB,1,2772,0.0003607503607503,-1
UKR,1,2772,0.0003607503607503,-1
MDA,1,2772,0.0003607503607503,-1
MKD,1,2772,0.0003607503607503,-1
MDV,1,2772,0.0003607503607503,-1
AZE,1,2772,0.0003607503607503,-1
BIH,1,2772,0.0003607503607503,-1
MEX,1,2772,0.0003607503607503,-1
ZAF,1,2772,0.0003607503607503,-1
KGZ,1,2772,0.0003607503607503,-1
ALB,1,2772,0.0003607503607503,-1
