Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
001,10114,198900,0.0508496732026143,-1
007,5317,198900,0.0267320261437908,-1
002,5183,198900,0.0260583207642031,-1
003,5042,198900,0.02534942182001,-1
006,4835,198900,0.0243086978381096,-1
008,4773,198900,0.0239969834087481,-1
009,4590,198900,0.023076923076923,-1
005,4549,198900,0.0228707893413775,-1
004,4384,198900,0.0220412267471091,-1
011,4238,198900,0.0213071895424836,-1
010,4159,198900,0.020910005027652,-1
012,4111,198900,0.0206686777275012,-1
021,4090,198900,0.0205630970336852,-1
014,4048,198900,0.0203519356460532,-1
013,4033,198900,0.0202765208647561,-1
016,3980,198900,0.0200100553041729,-1
017,3912,198900,0.0196681749622926,-1
020,3901,198900,0.0196128707893413,-1
019,3864,198900,0.0194268476621417,-1
018,3814,198900,0.019175465057818,-1
015,3740,198900,0.0188034188034188,-1
022,3479,198900,0.0174912016088486,-1
023,3390,198900,0.0170437405731523,-1
026,3264,198900,0.0164102564102564,-1
025,3125,198900,0.0157114127702363,-1
028,2986,198900,0.0150125691302161,-1
024,2937,198900,0.0147662141779788,-1
032,2734,198900,0.0137456008044243,-1
029,2659,198900,0.0133685268979386,-1
027,2650,198900,0.0133232780291603,-1
031,2616,198900,0.0131523378582202,-1
030,2429,198900,0.0122121669180492,-1
034,2121,198900,0.0106636500754147,-1
033,2037,198900,0.0102413273001508,-1
035,1848,198900,0.0092911010558069,-1
037,1819,198900,0.0091452991452991,-1
039,1815,198900,0.0091251885369532,-1
040,1793,198900,0.0090145801910507,-1
036,1753,198900,0.0088134741075917,-1
041,1658,198900,0.0083358471593765,-1
042,1559,198900,0.0078381096028154,-1
038,1530,198900,0.0076923076923076,-1
043,1437,198900,0.0072247360482654,-1
044,1404,198900,0.0070588235294117,-1
045,1207,198900,0.006068376068376,-1
046,1160,198900,0.0058320764203117,-1
048,1126,198900,0.0056611362493715,-1
051,1022,198900,0.005138260432378,-1
047,1006,198900,0.0050578179989944,-1
050,975,198900,0.0049019607843137,-1
049,967,198900,0.0048617395676219,-1
062,936,198900,0.0047058823529411,-1
052,869,198900,0.0043690296631473,-1
001A,821,198900,0.0041277023629964,-1
056,743,198900,0.0037355455002513,-1
053,739,198900,0.0037154348919054,-1
059,728,198900,0.0036601307189542,-1
054,724,198900,0.0036400201106083,-1
055,659,198900,0.0033132227249874,-1
063,653,198900,0.0032830568124685,-1
058,634,198900,0.0031875314228255,-1
057,634,198900,0.0031875314228255,-1
061,607,198900,0.0030517848164906,-1
060,516,198900,0.0025942684766214,-1
065,512,198900,0.0025741578682755,-1
002A,496,198900,0.0024937154348919,-1
067,464,198900,0.0023328305681246,-1
001B,460,198900,0.0023127199597787,-1
064,455,198900,0.0022875816993464,-1
066,451,198900,0.0022674710910005,-1
068,393,198900,0.0019758672699849,-1
069,390,198900,0.0019607843137254,-1
071,390,198900,0.0019607843137254,-1
076,387,198900,0.001945701357466,-1
070,374,198900,0.0018803418803418,-1
080,366,198900,0.00184012066365,-1
078,356,198900,0.0017898441427853,-1
073,344,198900,0.0017295123177476,-1
072,340,198900,0.0017094017094017,-1
004A,331,198900,0.0016641528406234,-1
006A,328,198900,0.001649069884364,-1
008A,317,198900,0.0015937657114127,-1
079,293,198900,0.0014731020613373,-1
001C,289,198900,0.0014529914529914,-1
003A,287,198900,0.0014429361488185,-1
091,281,198900,0.0014127702362996,-1
096,275,198900,0.0013826043237807,-1
015A,264,198900,0.0013273001508295,-1
014A,260,198900,0.0013071895424836,-1
087,259,198900,0.0013021618903971,-1
074,256,198900,0.0012870789341377,-1
083,252,198900,0.0012669683257918,-1
095,251,198900,0.0012619406737053,-1
009A,250,198900,0.0012569130216189,-1
013A,246,198900,0.001236802413273,-1
017A,245,198900,0.0012317747611865,-1
018A,243,198900,0.0012217194570135,-1
103,239,198900,0.0012016088486676,-1
005A,236,198900,0.0011865258924082,-1
001D,236,198900,0.0011865258924082,-1
075,236,198900,0.0011865258924082,-1
007A,235,198900,0.0011814982403217,-1
077,235,198900,0.0011814982403217,-1
016A,234,198900,0.0011764705882352,-1
089,233,198900,0.0011714429361488,-1
002B,230,198900,0.0011563599798893,-1
011A,219,198900,0.0011010558069381,-1
120,210,198900,0.0010558069381598,-1
020A,207,198900,0.0010407239819004,-1
102,204,198900,0.001025641025641,-1
098,202,198900,0.001015585721468,-1
012A,194,198900,0.0009753645047762,-1
122,192,198900,0.0009653092006033,-1
086,191,198900,0.0009602815485168,-1
010A,187,198900,0.0009401709401709,-1
081,187,198900,0.0009401709401709,-1
084,187,198900,0.0009401709401709,-1
022A,180,198900,0.0009049773755656,-1
019A,178,198900,0.0008949220713926,-1
157,176,198900,0.0008848667672197,-1
093,174,198900,0.0008748114630467,-1
082,174,198900,0.0008748114630467,-1
003B,173,198900,0.0008697838109602,-1
021A,169,198900,0.0008496732026143,-1
092,165,198900,0.0008295625942684,-1
094,154,198900,0.0007742584213172,-1
002C,153,198900,0.0007692307692307,-1
006B,152,198900,0.0007642031171442,-1
085,151,198900,0.0007591754650578,-1
088,151,198900,0.0007591754650578,-1
001E,148,198900,0.0007440925087983,-1
105,148,198900,0.0007440925087983,-1
113,146,198900,0.0007340372046254,-1
101,144,198900,0.0007239819004524,-1
026A,143,198900,0.000718954248366,-1
090,131,198900,0.0006586224233283,-1
001F,131,198900,0.0006586224233283,-1
108,130,198900,0.0006535947712418,-1
109,128,198900,0.0006435394670688,-1
114,127,198900,0.0006385118149824,-1
110,127,198900,0.0006385118149824,-1
024A,124,198900,0.0006234288587229,-1
001G,122,198900,0.00061337355455,-1
097,121,198900,0.0006083459024635,-1
025A,117,198900,0.0005882352941176,-1
183,116,198900,0.0005832076420311,-1
100,115,198900,0.0005781799899446,-1
111,114,198900,0.0005731523378582,-1
013B,112,198900,0.0005630970336852,-1
009B,112,198900,0.0005630970336852,-1
002D,110,198900,0.0005530417295123,-1
023A,106,198900,0.0005329311211664,-1
099,106,198900,0.0005329311211664,-1
004B,106,198900,0.0005329311211664,-1
011B,106,198900,0.0005329311211664,-1
014B,104,198900,0.0005228758169934,-1
117,103,198900,0.0005178481649069,-1
119,102,198900,0.0005128205128205,-1
107,102,198900,0.0005128205128205,-1
019B,101,198900,0.000507792860734,-1
115,100,198900,0.0005027652086475,-1
002E,98,198900,0.0004927099044746,-1
112,96,198900,0.0004826546003016,-1
018B,96,198900,0.0004826546003016,-1
008B,95,198900,0.0004776269482151,-1
106,95,198900,0.0004776269482151,-1
104,91,198900,0.0004575163398692,-1
116,89,198900,0.0004474610356963,-1
005B,88,198900,0.0004424333836098,-1
005C,87,198900,0.0004374057315233,-1
001H,85,198900,0.0004273504273504,-1
003C,84,198900,0.0004223227752639,-1
123,84,198900,0.0004223227752639,-1
020B,83,198900,0.0004172951231774,-1
029A,82,198900,0.000412267471091,-1
016B,80,198900,0.000402212166918,-1
027A,80,198900,0.000402212166918,-1
132,78,198900,0.000392156862745,-1
012B,77,198900,0.0003871292106586,-1
277,76,198900,0.0003821015585721,-1
134,76,198900,0.0003821015585721,-1
028A,76,198900,0.0003821015585721,-1
001I,75,198900,0.0003770739064856,-1
124,73,198900,0.0003670186023127,-1
035A,71,198900,0.0003569632981397,-1
024B,71,198900,0.0003569632981397,-1
136,67,198900,0.0003368526897938,-1
022B,65,198900,0.0003267973856209,-1
001J,64,198900,0.0003217697335344,-1
009C,62,198900,0.0003117144293614,-1
032A,61,198900,0.000306686777275,-1
