Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
830,3252,73590,0.0441907867916836,-1
941,2406,73590,0.0326946596004891,-1
842,2187,73590,0.029718711781492,-1
822,2073,73590,0.0281695882592743,-1
690,1970,73590,0.0267699415681478,-1
850,1724,73590,0.0234270960728359,-1
951,1639,73590,0.0222720478325859,-1
971,1551,73590,0.0210762331838565,-1
962,1433,73590,0.0194727544503329,-1
711,1423,73590,0.0193368664220682,-1
530,1385,73590,0.0188204919146623,-1
730,1383,73590,0.0187933143090093,-1
952,1374,73590,0.0186710150835711,-1
902,1373,73590,0.0186574262807446,-1
972,1366,73590,0.0185623046609593,-1
741,1363,73590,0.0185215382524799,-1
680,1355,73590,0.0184128278298681,-1
810,1350,73590,0.0183448838157358,-1
932,1325,73590,0.018005163745074,-1
550,1300,73590,0.0176654436744122,-1
670,1295,73590,0.0175974996602799,-1
610,1288,73590,0.0175023780404946,-1
901,1273,73590,0.0172985459980975,-1
942,1263,73590,0.0171626579698328,-1
590,1245,73590,0.0169180595189563,-1
540,1237,73590,0.0168093490963446,-1
642,1233,73590,0.0167549938850387,-1
651,1226,73590,0.0166598722652534,-1
560,1222,73590,0.0166055170539475,-1
990,1217,73590,0.0165375730398151,-1
580,1208,73590,0.0164152738143769,-1
961,1195,73590,0.0162386193776328,-1
520,1180,73590,0.0160347873352357,-1
660,1134,73590,0.0154097024052181,-1
510,1131,73590,0.0153689359967386,-1
641,1079,73590,0.0146623182497621,-1
911,1076,73590,0.0146215518412827,-1
652,1062,73590,0.0144313086017121,-1
720,1048,73590,0.0142410653621415,-1
922,1044,73590,0.0141867101508357,-1
712,1037,73590,0.0140915885310504,-1
630,1030,73590,0.0139964669112651,-1
570,1011,73590,0.0137382796575621,-1
921,1006,73590,0.0136703356434298,-1
981,1004,73590,0.0136431580377768,-1
742,993,73590,0.0134936812066856,-1
912,993,73590,0.0134936812066856,-1
982,946,73590,0.0128550074738415,-1
931,940,73590,0.0127734746568827,-1
923,937,73590,0.0127327082484033,-1
620,854,73590,0.0116048376138062,-1
882,820,73590,0.0111428183177062,-1
821,752,73590,0.0102187797255061,-1
881,740,73590,0.0100557140915885,-1
890,726,73590,0.0098654708520179,-1
800,646,73590,0.0087783666259002,-1
871,570,73590,0.0077456176110884,-1
860,520,73590,0.0070661774697649,-1
841,379,73590,0.0051501562712325,-1
872,354,73590,0.0048104362005707,-1
162,99,73590,0.0013452914798206,-1
OP,52,73590,0.0007066177469764,-1
161,44,73590,0.0005979073243647,-1
110,19,73590,0.0002581872537029,-1
30,17,73590,0.00023100964805,-1
151,15,73590,0.000203832042397,-1
W30,14,73590,0.0001902432395705,-1
300,13,73590,0.0001766544367441,-1
141,13,73590,0.0001766544367441,-1
3,12,73590,0.0001630656339176,-1
130,10,73590,0.0001358880282647,-1
120,9,73590,0.0001222992254382,-1
PDX,9,73590,0.0001222992254382,-1
20,8,73590,0.0001087104226117,-1
10,6,73590,8.153281695882591e-05,-1
25,5,73590,6.794401413235494e-05,-1
W20,5,73590,6.794401413235494e-05,-1
152,4,73590,5.435521130588395e-05,-1
GL2,4,73590,5.435521130588395e-05,-1
40,3,73590,4.076640847941296e-05,-1
2,3,73590,4.076640847941296e-05,-1
W21,3,73590,4.076640847941296e-05,-1
4,3,73590,4.076640847941296e-05,-1
201,3,73590,4.076640847941296e-05,-1
HP4,3,73590,4.076640847941296e-05,-1
204,3,73590,4.076640847941296e-05,-1
WL1,2,73590,2.717760565294197e-05,-1
361,2,73590,2.717760565294197e-05,-1
TU,2,73590,2.717760565294197e-05,-1
HP5,2,73590,2.717760565294197e-05,-1
203,2,73590,2.717760565294197e-05,-1
50,2,73590,2.717760565294197e-05,-1
W31,2,73590,2.717760565294197e-05,-1
21,2,73590,2.717760565294197e-05,-1
LO2,2,73590,2.717760565294197e-05,-1
351,1,73590,1.3588802826470989e-05,-1
116,1,73590,1.3588802826470989e-05,-1
W61,1,73590,1.3588802826470989e-05,-1
W60,1,73590,1.3588802826470989e-05,-1
352,1,73590,1.3588802826470989e-05,-1
362,1,73590,1.3588802826470989e-05,-1
364,1,73590,1.3588802826470989e-05,-1
HP3,1,73590,1.3588802826470989e-05,-1
363,1,73590,1.3588802826470989e-05,-1
WL2,1,73590,1.3588802826470989e-05,-1
142,1,73590,1.3588802826470989e-05,-1
640,1,73590,1.3588802826470989e-05,-1
