Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
3.0,28649,198900,0.1440372046254399,-1
8.0,26760,198900,0.1345399698340874,-1
2.0,25483,198900,0.1281196581196581,-1
6.0,24797,198900,0.1246706887883358,-1
5.0,19045,198900,0.0957516339869281,-1
9.0,16362,198900,0.082262443438914,-1
7.0,14365,198900,0.0722222222222222,-1
1.0,13038,198900,0.065550527903469,-1
10.0,12152,198900,0.0610960281548516,-1
4.0,9592,198900,0.048225238813474,-1
11.0,6940,198900,0.0348919054801407,-1
