Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
2013,85913,403984,0.2126643629450672,-1
2012,75796,403984,0.1876212919323536,-1
2014,75524,403984,0.1869479979405125,-1
2011,74593,403984,0.1846434512257911,-1
2015,64046,403984,0.1585359816230346,-1
2010,24965,403984,0.0617970018614598,-1
2009,2771,403984,0.0068591825418828,-1
2016,109,403984,0.0002698126658481,-1
2008,108,403984,0.0002673373202899,-1
2001,104,403984,0.0002574359380569,-1
2007,55,403984,0.0001361440057031,-1
