Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
"Own use, faucet, community water system",16093,41544,0.3873724244174851,-1
"Shared, tubed/piped deep well",6242,41544,0.1502503369921047,-1
"Shared, faucet, community water system",4614,41544,0.1110629693818602,-1
"Own use, tubed/piped deep well",4587,41544,0.1104130560369728,-1
Dug well,3876,41544,0.0932986712882726,-1
"Protected spring, river, stream, etc",2657,41544,0.0639562873098401,-1
Tubed/piped shallow well,1394,41544,0.0335547852878875,-1
Peddler,851,41544,0.0204843057962642,-1
"Unprotected spring, river, stream, etc",607,41544,0.0146110148276526,-1
"Lake, river, rain and others",496,41544,0.0119391488542268,-1
Others,127,41544,0.003056999807433,-1
