Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
Level Percent Closed,868,2720,0.3191176470588235,-1
Level Percent Open,824,2720,0.3029411764705882,-1
Level Dollar Closed,286,2720,0.1051470588235294,-1
Level Dollar Open,196,2720,0.0720588235294117,-1
Level Percent ,116,2720,0.0426470588235294,-1
Level Dollar ,71,2720,0.0261029411764705,-1
Level Percent Fixed,46,2720,0.0169117647058823,-1
Level Dollar Fixed,24,2720,0.0088235294117647,-1
Open,6,2720,0.0022058823529411,-1
"Level $ and Level %, open",3,2720,0.0011029411764705,-1
Level DollarClosed,1,2720,0.0003676470588235,-1
