Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
"Academy of Science Fiction, Fantasy & Horror Films, USA",15,331,0.0453172205438066,-1
PGA Awards,14,331,0.0422960725075528,-1
BAFTA Awards,14,331,0.0422960725075528,-1
"Academy Awards, USA",13,331,0.039274924471299,-1
"Golden Globes, USA",12,331,0.0362537764350453,-1
Daytime Emmy Awards,12,331,0.0362537764350453,-1
"Directors Guild of America, USA",12,331,0.0362537764350453,-1
Primetime Emmy Awards,10,331,0.0302114803625377,-1
David di Donatello Awards,9,331,0.0271903323262839,-1
Heartland Film,9,331,0.0271903323262839,-1
Kinema Junpo Awards,7,331,0.0211480362537764,-1
Hugo Awards,7,331,0.0211480362537764,-1
Online Film & Television Association,7,331,0.0211480362537764,-1
Awards Circuit Community Awards,7,331,0.0211480362537764,-1
"César Awards, France",6,331,0.0181268882175226,-1
Broadcast Film Critics Association Awards,6,331,0.0181268882175226,-1
Kansas City Film Critics Circle Awards,6,331,0.0181268882175226,-1
"Empire Awards, UK",5,331,0.0151057401812688,-1
New York Film Critics Circle Awards,5,331,0.0151057401812688,-1
Satellite Awards,5,331,0.0151057401812688,-1
Christopher Awards,5,331,0.0151057401812688,-1
Jupiter Award,5,331,0.0151057401812688,-1
Online Film Critics Society Awards,4,331,0.0120845921450151,-1
Boston Society of Film Critics Awards,4,331,0.0120845921450151,-1
Chicago Film Critics Association Awards,4,331,0.0120845921450151,-1
"National Society of Film Critics Awards, USA",4,331,0.0120845921450151,-1
"ShoWest Convention, USA",3,331,0.0090634441087613,-1
Cinema for Peace Awards,3,331,0.0090634441087613,-1
"Cinema Writers Circle Awards, Spain",3,331,0.0090634441087613,-1
Italian Online Movie Awards (IOMA),3,331,0.0090634441087613,-1
Blue Ribbon Awards,3,331,0.0090634441087613,-1
Dallas-Fort Worth Film Critics Association Awards,3,331,0.0090634441087613,-1
Mainichi Film Concours,3,331,0.0090634441087613,-1
AARP Movies for Grownups Awards,3,331,0.0090634441087613,-1
Italian National Syndicate of Film Journalists,3,331,0.0090634441087613,-1
Rondo Hatton Classic Horror Awards,2,331,0.0060422960725075,-1
European Film Awards,2,331,0.0060422960725075,-1
Washington DC Area Film Critics Association Awards,2,331,0.0060422960725075,-1
Venice Film Festival,2,331,0.0060422960725075,-1
Gold Derby Awards,2,331,0.0060422960725075,-1
Alliance of Women Film Journalists,2,331,0.0060422960725075,-1
