Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
00926-0000,16,1351,0.0118430792005921,-1
00956-0000,8,1351,0.005921539600296,-1
00717-0000,8,1351,0.005921539600296,-1
00792-0859,8,1351,0.005921539600296,-1
00725-0000,8,1351,0.005921539600296,-1
00918-0000,7,1351,0.005181347150259,-1
00961-0000,6,1351,0.004441154700222,-1
00778-0000,6,1351,0.004441154700222,-1
00907-0000,6,1351,0.004441154700222,-1
00968-0000,6,1351,0.004441154700222,-1
00612-0000,6,1351,0.004441154700222,-1
00917-0000,6,1351,0.004441154700222,-1
00969-0000,6,1351,0.004441154700222,-1
00966-0000,6,1351,0.004441154700222,-1
00680-0000,5,1351,0.003700962250185,-1
00791-0000,5,1351,0.003700962250185,-1
00646-0000,5,1351,0.003700962250185,-1
00745-6600,4,1351,0.002960769800148,-1
00927-0000,4,1351,0.002960769800148,-1
00623-0000,4,1351,0.002960769800148,-1
00921-0000,4,1351,0.002960769800148,-1
00674-0000,4,1351,0.002960769800148,-1
00925-0000,4,1351,0.002960769800148,-1
00923-0000,4,1351,0.002960769800148,-1
00682-0000,4,1351,0.002960769800148,-1
00920-0000,4,1351,0.002960769800148,-1
00984-0000,4,1351,0.002960769800148,-1
00660-0000,3,1351,0.002220577350111,-1
00730-0000,3,1351,0.002220577350111,-1
00959-0000,3,1351,0.002220577350111,-1
00681-0000,3,1351,0.002220577350111,-1
00924-0000,3,1351,0.002220577350111,-1
00613-1800,3,1351,0.002220577350111,-1
00624-0000,3,1351,0.002220577350111,-1
00936-8425,3,1351,0.002220577350111,-1
00735-0000,3,1351,0.002220577350111,-1
00738-0000,3,1351,0.002220577350111,-1
00681-9000,3,1351,0.002220577350111,-1
00662-0000,3,1351,0.002220577350111,-1
00913-0000,3,1351,0.002220577350111,-1
00716-0000,3,1351,0.002220577350111,-1
00922-0563,3,1351,0.002220577350111,-1
00960-7071,3,1351,0.002220577350111,-1
00729-0000,3,1351,0.002220577350111,-1
00957-0000,3,1351,0.002220577350111,-1
00907-1400,3,1351,0.002220577350111,-1
00683-0000,3,1351,0.002220577350111,-1
00987-0000,3,1351,0.002220577350111,-1
00979-0000,3,1351,0.002220577350111,-1
00725-8900,3,1351,0.002220577350111,-1
00949-0000,2,1351,0.001480384900074,-1
00978-0902,2,1351,0.001480384900074,-1
00771-0000,2,1351,0.001480384900074,-1
00646-0674,2,1351,0.001480384900074,-1
00773-0000,2,1351,0.001480384900074,-1
00660-5332,2,1351,0.001480384900074,-1
00705-1390,2,1351,0.001480384900074,-1
00698-0000,2,1351,0.001480384900074,-1
00966-2715,2,1351,0.001480384900074,-1
00919-1227,2,1351,0.001480384900074,-1
00729-0868,2,1351,0.001480384900074,-1
00963-2008,2,1351,0.001480384900074,-1
00646-0694,2,1351,0.001480384900074,-1
00907-3329,2,1351,0.001480384900074,-1
00918-1921,2,1351,0.001480384900074,-1
00976-0000,2,1351,0.001480384900074,-1
00936-2708,2,1351,0.001480384900074,-1
00978-0775,2,1351,0.001480384900074,-1
00775-0938,2,1351,0.001480384900074,-1
00970-7891,2,1351,0.001480384900074,-1
00901-0000,2,1351,0.001480384900074,-1
00983-0000,2,1351,0.001480384900074,-1
00927-5131,2,1351,0.001480384900074,-1
00771-9758,2,1351,0.001480384900074,-1
00681-7154,2,1351,0.001480384900074,-1
00745-1089,2,1351,0.001480384900074,-1
00953-0000,2,1351,0.001480384900074,-1
00925-2207,2,1351,0.001480384900074,-1
00728-0000,2,1351,0.001480384900074,-1
00772-0482,2,1351,0.001480384900074,-1
00683-1836,2,1351,0.001480384900074,-1
00602-0000,2,1351,0.001480384900074,-1
00909-0000,2,1351,0.001480384900074,-1
00739-0000,2,1351,0.001480384900074,-1
00914-8505,2,1351,0.001480384900074,-1
00902-0000,2,1351,0.001480384900074,-1
00637-0427,2,1351,0.001480384900074,-1
00907-1408,2,1351,0.001480384900074,-1
00912-0000,2,1351,0.001480384900074,-1
00729-0014,2,1351,0.001480384900074,-1
00929-0598,2,1351,0.001480384900074,-1
00909-1951,2,1351,0.001480384900074,-1
00969-4466,2,1351,0.001480384900074,-1
00795-0000,2,1351,0.001480384900074,-1
00936-3475,2,1351,0.001480384900074,-1
00733-4432,2,1351,0.001480384900074,-1
00910-0000,2,1351,0.001480384900074,-1
00983-1983,2,1351,0.001480384900074,-1
00681-3202,2,1351,0.001480384900074,-1
00733-0000,2,1351,0.001480384900074,-1
00791-3225,2,1351,0.001480384900074,-1
00690-0000,2,1351,0.001480384900074,-1
00936-2095,2,1351,0.001480384900074,-1
00936-3845,2,1351,0.001480384900074,-1
00732-7234,2,1351,0.001480384900074,-1
00979-7421,2,1351,0.001480384900074,-1
00936-8177,2,1351,0.001480384900074,-1
00745-0000,2,1351,0.001480384900074,-1
00926-9612,2,1351,0.001480384900074,-1
00921-2613,2,1351,0.001480384900074,-1
00791-6252,2,1351,0.001480384900074,-1
00617-0000,2,1351,0.001480384900074,-1
00902-3554,2,1351,0.001480384900074,-1
00984-5017,1,1351,0.000740192450037,-1
00920-4704,1,1351,0.000740192450037,-1
00736-0000,1,1351,0.000740192450037,-1
00694-1781,1,1351,0.000740192450037,-1
00669-1725,1,1351,0.000740192450037,-1
00919-3348,1,1351,0.000740192450037,-1
00637-0474,1,1351,0.000740192450037,-1
00602-1017,1,1351,0.000740192450037,-1
00927-4124,1,1351,0.000740192450037,-1
00960-9024,1,1351,0.000740192450037,-1
00603-0000,1,1351,0.000740192450037,-1
00766-6004,1,1351,0.000740192450037,-1
00754-9479,1,1351,0.000740192450037,-1
00613-2830,1,1351,0.000740192450037,-1
00959-6531,1,1351,0.000740192450037,-1
00720-1347,1,1351,0.000740192450037,-1
00931-3349,1,1351,0.000740192450037,-1
00732-0479,1,1351,0.000740192450037,-1
00726-6841,1,1351,0.000740192450037,-1
00914-6607,1,1351,0.000740192450037,-1
00905-0000,1,1351,0.000740192450037,-1
00694-4196,1,1351,0.000740192450037,-1
00612-5479,1,1351,0.000740192450037,-1
00683-1358,1,1351,0.000740192450037,-1
00685-0000,1,1351,0.000740192450037,-1
00988-6022,1,1351,0.000740192450037,-1
00725-8915,1,1351,0.000740192450037,-1
00960-0745,1,1351,0.000740192450037,-1
