Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
France,2365,61626,0.0383766592022847,-1
Singapore,1944,61626,0.0315451270567617,-1
Latvia,1462,61626,0.0237237529614123,-1
Slovenia,1316,61626,0.0213546230487132,-1
Romania,1266,61626,0.0205432771881997,-1
Cyprus,1251,61626,0.0202998734300457,-1
Malta,1185,61626,0.019228896894168,-1
Estonia,1152,61626,0.0186934086262291,-1
Serbia,1126,61626,0.0182715087787622,-1
Croatia,1099,61626,0.0178333820140849,-1
Mozambique,1085,61626,0.0176062051731412,-1
Lithuania,1080,61626,0.0175250705870898,-1
Portugal,1078,61626,0.0174926167526693,-1
Netherlands,1071,61626,0.0173790283321974,-1
Norway,1055,61626,0.0171193976568331,-1
Australia,1053,61626,0.0170869438224126,-1
New Zealand,1048,61626,0.0170058092363612,-1
Luxembourg,1045,61626,0.0169571284847304,-1
Republic of Korea,1024,61626,0.0166163632233148,-1
Finland,991,61626,0.0160808749553759,-1
Austria,977,61626,0.0158536981144322,-1
Sweden,945,61626,0.0153344367637036,-1
Iceland,856,61626,0.0138902411319897,-1
Japan,849,61626,0.0137766527115178,-1
Italy,835,61626,0.0135494758705741,-1
Costa Rica,833,61626,0.0135170220361535,-1
Swaziland,828,61626,0.0134358874501022,-1
Denmark,828,61626,0.0134358874501022,-1
Bulgaria,819,61626,0.0132898451952098,-1
United Kingdom,815,61626,0.0132249375263687,-1
Ecuador,810,61626,0.0131438029403173,-1
Zanzibar,806,61626,0.0130788952714763,-1
Belgium,797,61626,0.0129328530165839,-1
Switzerland,750,61626,0.0121701879077012,-1
Spain,725,61626,0.0117645149774445,-1
Germany,719,61626,0.0116671534741829,-1
Ireland,714,61626,0.0115860188881316,-1
Mexico,701,61626,0.0113750689643981,-1
Czech Republic,675,61626,0.0109531691169311,-1
Poland,668,61626,0.0108395806964592,-1
Hungary,665,61626,0.0107908999448284,-1
Saudi Arabia,658,61626,0.0106773115243566,-1
Greece,620,61626,0.0100606886703664,-1
Slovakia,618,61626,0.0100282348359458,-1
Turkey,610,61626,0.0098984194982637,-1
Lebanon,606,61626,0.0098335118294226,-1
Mongolia,601,61626,0.0097523772433713,-1
"China, Hong Kong Special Administrative Region",593,61626,0.0096225619056891,-1
Philippines,580,61626,0.0094116119819556,-1
Peru,564,61626,0.0091519813065913,-1
The former Yugoslav Republic of Macedonia,554,61626,0.0089897121344886,-1
Mauritius,546,61626,0.0088598967968065,-1
Palau,544,61626,0.008827442962386,-1
Rwanda,522,61626,0.0084704507837601,-1
United States,513,61626,0.0083244085288676,-1
Viet Nam,500,61626,0.0081134586051341,-1
Malawi,485,61626,0.0078700548469801,-1
Israel,465,61626,0.0075455165027748,-1
Dominican Republic,462,61626,0.0074968357511439,-1
Albania,448,61626,0.0072696589102002,-1
Ukraine,405,61626,0.0065719014701586,-1
Canada,394,61626,0.0063934053808457,-1
Bahamas,390,61626,0.0063284977120046,-1
Tanzania - Mainland,384,61626,0.006231136208743,-1
State of Palestine,364,61626,0.0059065978645376,-1
Seychelles,360,61626,0.0058416901956966,-1
Bosnia and Herzegovina,360,61626,0.0058416901956966,-1
Pakistan,352,61626,0.0057118748580144,-1
Kenya,352,61626,0.0057118748580144,-1
Azerbaijan,341,61626,0.0055333787687015,-1
Armenia,330,61626,0.0053548826793885,-1
Cayman Islands,320,61626,0.0051926135072858,-1
Timor-Leste,319,61626,0.0051763865900756,-1
Ghana,300,61626,0.0048680751630805,-1
Colombia,297,61626,0.0048193944114497,-1
Montenegro,292,61626,0.0047382598253983,-1
Lesotho,292,61626,0.0047382598253983,-1
Brazil,277,61626,0.0044948560672443,-1
Vanuatu,272,61626,0.004413721481193,-1
Uganda,248,61626,0.0040242754681465,-1
Cabo Verde,232,61626,0.0037646447927822,-1
Kazakhstan,231,61626,0.003748417875572,-1
Nigeria,215,61626,0.0034887872002077,-1
Chile,204,61626,0.0033102911108947,-1
Brunei Darussalam,203,61626,0.0032940641936844,-1
Belarus,203,61626,0.0032940641936844,-1
Kyrgyzstan,203,61626,0.0032940641936844,-1
Sri Lanka,200,61626,0.0032453834420536,-1
Indonesia,182,61626,0.0029532989322688,-1
Zambia,180,61626,0.0029208450978483,-1
Malaysia,174,61626,0.0028234835945867,-1
Fiji,145,61626,0.0023529029954889,-1
British Virgin Islands,135,61626,0.0021906338233862,-1
India,132,61626,0.0021419530717554,-1
Lao People's Democratic Republic,130,61626,0.0021094992373348,-1
Monaco,68,61626,0.0011034303702982,-1
Republic of Moldova,60,61626,0.0009736150326161,-1
San Marino,50,61626,0.0008113458605134,-1
footnote_SeqID,32,61626,0.0005192613507285,-1
1,32,61626,0.0005192613507285,-1
3,30,61626,0.000486807516308,-1
2,30,61626,0.000486807516308,-1
4,23,61626,0.0003732190958361,-1
South Sudan,22,61626,0.0003569921786259,-1
5,17,61626,0.0002758575925745,-1
6,13,61626,0.0002109499237334,-1
7,7,61626,0.0001135884204718,-1
8,5,61626,8.113458605134195e-05,-1
9,4,61626,6.490766884107357e-05,-1
13,3,61626,4.8680751630805184e-05,-1
12,3,61626,4.8680751630805184e-05,-1
10,3,61626,4.8680751630805184e-05,-1
11,3,61626,4.8680751630805184e-05,-1
16,1,61626,1.6226917210268393e-05,-1
15,1,61626,1.6226917210268393e-05,-1
14,1,61626,1.6226917210268393e-05,-1
