Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
DOWNTOWN,5394,61497,0.0877115956875945,-1
HAZELWOOD,3727,61497,0.0606045823373497,-1
CHINA/OLD TOWN,3243,61497,0.052734279720962,-1
LENTS,2513,61497,0.0408637819731043,-1
POWELHST-GILBRT,2437,61497,0.0396279493308616,-1
CENTENNIAL,2076,61497,0.0337577442802087,-1
NORTHWEST,2047,61497,0.0332861765614582,-1
PEARL,1549,61497,0.0251882205636047,-1
LLOYD,1542,61497,0.0250743938728718,-1
MONTAVILLA,1374,61497,0.0223425532952826,-1
BUCKMAN-WEST,1318,61497,0.0214319397694196,-1
ST JOHNS,1281,61497,0.0208302844041172,-1
CULLY,1149,61497,0.0186838382360115,-1
RICHMOND,1035,61497,0.0168300892726474,-1
PARKROSE,1013,61497,0.0164723482446298,-1
ELIOT,933,61497,0.0151714717791111,-1
HOSFRD-ABRNETHY,878,61497,0.0142771192090671,-1
BRENTWD-DARLNGT,831,61497,0.0135128542855749,-1
KERNS,822,61497,0.013366505683204,-1
MILL PARK,817,61497,0.0132852009041091,-1
PORTSMOUTH,737,61497,0.0119843244385905,-1
OVERLOOK,708,61497,0.0115127567198399,-1
FOSTER-POWELL,695,61497,0.0113013642941932,-1
GOOSE HOLLOW,681,61497,0.0110737109127274,-1
KENTON,667,61497,0.0108460575312616,-1
SELLWD-MORELAND,658,61497,0.0106997089288908,-1
KING,656,61497,0.0106671870172528,-1
CRSTN-KENILWTH,655,61497,0.0106509260614338,-1
SUNNYSIDE,635,61497,0.0103257069450542,-1
HAYDEN ISLAND,633,61497,0.0102931850334162,-1
MADISON SOUTH,629,61497,0.0102281412101403,-1
BUCKMAN-EAST,629,61497,0.0102281412101403,-1
ARBOR LODGE,623,61497,0.0101305754752264,-1
MT SCOTT-ARLETA,614,61497,0.0099842268728555,-1
WOODSTOCK,600,61497,0.0097565734913898,-1
CONCORDIA,577,61497,0.0093825715075532,-1
ARGAY,553,61497,0.0089923085678976,-1
E COLUMBIA,531,61497,0.0086345675398799,-1
HUMBOLDT,526,61497,0.008553262760785,-1
WILKES,494,61497,0.0080329121745776,-1
SULLIVANS GULCH,493,61497,0.0080166512187586,-1
SOUTH PORTLAND,477,61497,0.0077564759256549,-1
BOISE,475,61497,0.0077239540140169,-1
IRVINGTON,469,61497,0.007626388279103,-1
HOLLYWOOD,466,61497,0.007577605411646,-1
GLENFAIR,460,61497,0.0074800396767321,-1
PARKROSE HGTS,419,61497,0.0068133404881538,-1
NORTH TABOR,407,61497,0.006618209018326,-1
SOUTH TABOR,402,61497,0.0065369042392311,-1
PIEDMONT,401,61497,0.0065206432834122,-1
MT TABOR,391,61497,0.0063580337252223,-1
PLEASANT VALLEY,370,61497,0.0060165536530237,-1
HOMESTEAD,367,61497,0.0059677707855667,-1
RUSSELL,359,61497,0.0058376831390149,-1
ROSE CITY PARK,357,61497,0.0058051612273769,-1
WOODLAWN,349,61497,0.005675073580825,-1
UNIVERSITY PARK,339,61497,0.0055124640226352,-1
ROSEWAY,332,61497,0.0053986373319023,-1
MULTNOMAH,292,61497,0.004748199099143,-1
BROOKLYN,258,61497,0.0041953266012976,-1
CATHEDRAL PARK,242,61497,0.0039351513081938,-1
SUMNER,235,61497,0.003821324617461,-1
HILLSDALE,229,61497,0.0037237588825471,-1
GRANT PARK,218,61497,0.0035448883685383,-1
