Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
en,57374,85881,0.6680639489526204,-1
de,3998,85881,0.0465527881603614,-1
es,3872,85881,0.0450856417601099,-1
fr,3344,85881,0.0389375997019131,-1
pt,2289,85881,0.0266531596045691,-1
ja,1809,85881,0.0210640304607538,-1
it,1672,85881,0.0194687998509565,-1
ru,1302,85881,0.0151605128025989,-1
ko,861,85881,0.0100255004017186,-1
zh,785,85881,0.0091405549539479,-1
ta,525,85881,0.0061131100010479,-1
nl,520,85881,0.0060548899057998,-1
hi,492,85881,0.0057288573724106,-1
cn,468,85881,0.0054494009152198,-1
ml,440,85881,0.0051233683818306,-1
da,428,85881,0.0049836401532352,-1
tr,424,85881,0.0049370640770368,-1
sv,418,85881,0.0048671999627391,-1
cs,389,85881,0.0045295234103003,-1
pl,376,85881,0.0043781511626553,-1
th,336,85881,0.0039123904006706,-1
ar,320,85881,0.0037260860958768,-1
el,301,85881,0.0035048497339341,-1
hu,269,85881,0.0031322411243464,-1
sr,203,85881,0.0023637358670718,-1
fi,176,85881,0.0020493473527322,-1
fa,164,85881,0.0019096191241368,-1
id,164,85881,0.0019096191241368,-1
no,160,85881,0.0018630430479384,-1
te,158,85881,0.0018397550098391,-1
hr,141,85881,0.0016418066859957,-1
he,129,85881,0.0015020784574003,-1
tl,106,85881,0.0012342660192592,-1
ro,92,85881,0.0010712497525645,-1
uk,82,85881,0.0009548095620684,-1
vi,80,85881,0.0009315215239692,-1
bg,79,85881,0.0009198775049195,-1
xx,74,85881,0.0008616574096715,-1
bn,74,85881,0.0008616574096715,-1
sl,74,85881,0.0008616574096715,-1
lv,61,85881,0.0007102851620265,-1
mk,57,85881,0.000663709085828,-1
sk,54,85881,0.0006287770286792,-1
sq,52,85881,0.0006054889905799,-1
bs,52,85881,0.0006054889905799,-1
ca,49,85881,0.0005705569334311,-1
et,49,85881,0.0005705569334311,-1
af,44,85881,0.000512336838183,-1
kn,43,85881,0.0005006928191334,-1
ab,35,85881,0.0004075406667365,-1
is,33,85881,0.0003842526286373,-1
lt,30,85881,0.0003493205714884,-1
ka,29,85881,0.0003376765524388,-1
mr,28,85881,0.0003260325333892,-1
ms,24,85881,0.0002794564571907,-1
ur,21,85881,0.0002445244000419,-1
pa,18,85881,0.000209592342893,-1
nb,17,85881,0.0001979483238434,-1
sh,15,85881,0.0001746602857442,-1
az,14,85881,0.0001630162666946,-1
ne,12,85881,0.0001397282285953,-1
hy,11,85881,0.0001280842095457,-1
eu,9,85881,0.0001047961714465,-1
kk,8,85881,9.315215239692131e-05,-1
ky,8,85881,9.315215239692131e-05,-1
si,8,85881,9.315215239692131e-05,-1
gu,8,85881,9.315215239692131e-05,-1
ht,7,85881,8.150813334730616e-05,-1
lb,6,85881,6.986411429769099e-05,-1
km,5,85881,5.822009524807583e-05,-1
mn,5,85881,5.822009524807583e-05,-1
mt,4,85881,4.657607619846066e-05,-1
tg,4,85881,4.657607619846066e-05,-1
ku,4,85881,4.657607619846066e-05,-1
be,4,85881,4.657607619846066e-05,-1
cy,4,85881,4.657607619846066e-05,-1
my,4,85881,4.657607619846066e-05,-1
as,4,85881,4.657607619846066e-05,-1
gl,4,85881,4.657607619846066e-05,-1
sw,3,85881,3.493205714884549e-05,-1
sm,3,85881,3.493205714884549e-05,-1
tk,3,85881,3.493205714884549e-05,-1
so,3,85881,3.493205714884549e-05,-1
ga,3,85881,3.493205714884549e-05,-1
uz,3,85881,3.493205714884549e-05,-1
bo,3,85881,3.493205714884549e-05,-1
mg,3,85881,3.493205714884549e-05,-1
se,3,85881,3.493205714884549e-05,-1
lo,3,85881,3.493205714884549e-05,-1
fo,2,85881,2.328803809923033e-05,-1
ps,2,85881,2.328803809923033e-05,-1
wo,2,85881,2.328803809923033e-05,-1
gd,2,85881,2.328803809923033e-05,-1
mi,2,85881,2.328803809923033e-05,-1
ig,2,85881,2.328803809923033e-05,-1
xh,2,85881,2.328803809923033e-05,-1
eo,2,85881,2.328803809923033e-05,-1
am,2,85881,2.328803809923033e-05,-1
dv,2,85881,2.328803809923033e-05,-1
kl,2,85881,2.328803809923033e-05,-1
sn,1,85881,1.1644019049615166e-05,-1
bm,1,85881,1.1644019049615166e-05,-1
or,1,85881,1.1644019049615166e-05,-1
su,1,85881,1.1644019049615166e-05,-1
ha,1,85881,1.1644019049615166e-05,-1
sg,1,85881,1.1644019049615166e-05,-1
rw,1,85881,1.1644019049615166e-05,-1
cr,1,85881,1.1644019049615166e-05,-1
dz,1,85881,1.1644019049615166e-05,-1
oj,1,85881,1.1644019049615166e-05,-1
ie,1,85881,1.1644019049615166e-05,-1
co,1,85881,1.1644019049615166e-05,-1
zu,1,85881,1.1644019049615166e-05,-1
gn,1,85881,1.1644019049615166e-05,-1
st,1,85881,1.1644019049615166e-05,-1
sa,1,85881,1.1644019049615166e-05,-1
aa,1,85881,1.1644019049615166e-05,-1
