Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
3.0,112002,649231,0.172514867589502,-1
10.0,69925,649231,0.1077043456027207,-1
5.0,69572,649231,0.1071606254168393,-1
4.0,53419,649231,0.0822804209903716,-1
7.0,46933,649231,0.0722901401812298,-1
6.0,44084,649231,0.0679018715988608,-1
1.0,43761,649231,0.0674043599273602,-1
9.0,42746,649231,0.0658409718574744,-1
2.0,42032,649231,0.06474120921521,-1
8.0,38036,649231,0.0585862350996794,-1
11.0,37182,649231,0.0572708327236376,-1
12.0,18787,649231,0.0289373119891071,-1
