Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
4,4987,29421,0.1695047755004928,-1
5,3759,29421,0.1277658815132048,-1
8,3169,29421,0.1077121783759899,-1
7,2885,29421,0.0980592094082458,-1
6,2742,29421,0.0931987355970225,-1
3,2701,29421,0.0918051731756228,-1
9,2612,29421,0.088780123041365,-1
10,1951,29421,0.066313177662214,-1
11,1245,29421,0.0423167125522585,-1
2,1155,29421,0.0392576730906495,-1
1,1121,29421,0.0381020359607083,-1
12,1094,29421,0.0371843241222256,-1
