Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
7,3603,29421,0.1224635464464158,-1
6,3261,29421,0.1108391964923014,-1
8,3093,29421,0.1051289894972978,-1
10,3042,29421,0.103395533802386,-1
9,2750,29421,0.0934706502158322,-1
11,2577,29421,0.0875904965840726,-1
5,2574,29421,0.0874885286020189,-1
12,2445,29421,0.0831039053737126,-1
1,1879,29421,0.0638659460929268,-1
4,1771,29421,0.0601950987389959,-1
3,1284,29421,0.0436422963189558,-1
2,1142,29421,0.0388158118350837,-1
