Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
Local_03,90,439,0.20501138952164,-1
Local_05,59,439,0.1343963553530751,-1
Local_06,58,439,0.1321184510250569,-1
Local_01,57,439,0.1298405466970387,-1
Local_04,56,439,0.1275626423690205,-1
Local_10,44,439,0.1002277904328018,-1
Local_08,29,439,0.0660592255125284,-1
Local_02,24,439,0.0546697038724373,-1
Local_07,14,439,0.0318906605922551,-1
Local_12,4,439,0.0091116173120728,-1
Local_09,2,439,0.0045558086560364,-1
Local_11,2,439,0.0045558086560364,-1
