Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
Napa Valley,4480,129971,0.0344692277508059,-1
Columbia Valley (WA),4124,129971,0.0317301551884651,-1
Russian River Valley,3091,129971,0.0237822283432458,-1
California,2629,129971,0.0202275892314439,-1
Paso Robles,2350,129971,0.01808095652107,-1
Mendoza,2301,129971,0.0177039493425456,-1
Willamette Valley,2301,129971,0.0177039493425456,-1
Alsace,2163,129971,0.016642174023436,-1
Champagne,1613,129971,0.0124104607951004,-1
Barolo,1599,129971,0.0123027444583791,-1
Finger Lakes,1565,129971,0.0120411476406275,-1
Sonoma Coast,1474,129971,0.0113409914519392,-1
Brunello di Montalcino,1470,129971,0.0113102153557332,-1
Rioja,1469,129971,0.0113025213316816,-1
Sonoma County,1246,129971,0.0095867539681929,-1
Toscana,1197,129971,0.0092097467896684,-1
Walla Walla Valley (WA),1066,129971,0.0082018296389194,-1
Chianti Classico,1062,129971,0.0081710535427133,-1
Santa Barbara County,1000,129971,0.0076940240515191,-1
Carneros,999,129971,0.0076863300274676,-1
Yakima Valley,997,129971,0.0076709419793646,-1
Sta. Rita Hills,975,129971,0.0075016734502312,-1
Dry Creek Valley,939,129971,0.0072246885843765,-1
Sicilia,925,129971,0.0071169722476552,-1
Côtes de Provence,859,129971,0.0066091666602549,-1
Santa Ynez Valley,812,129971,0.0062475475298335,-1
Santa Lucia Highlands,806,129971,0.0062013833855244,-1
Lodi,803,129971,0.0061783013133699,-1
Barbaresco,794,129971,0.0061090550969062,-1
Alexander Valley,784,129971,0.006032114856391,-1
Central Coast,749,129971,0.0057628240145878,-1
Ribera del Duero,724,129971,0.0055704734132998,-1
Red Mountain,723,129971,0.0055627793892483,-1
Santa Maria Valley,704,129971,0.0054165929322695,-1
Alto Adige,694,129971,0.0053396526917543,-1
Sonoma Valley,661,129971,0.0050857498980541,-1
Anderson Valley,646,129971,0.0049703395372813,-1
North Fork of Long Island,599,129971,0.0046087204068599,-1
Saint-Émilion,561,129971,0.0043163474929022,-1
Horse Heaven Hills,559,129971,0.0043009594447992,-1
Chablis,559,129971,0.0043009594447992,-1
Virginia,556,129971,0.0042778773726446,-1
Sancerre,554,129971,0.0042624893245416,-1
Dundee Hills,554,129971,0.0042624893245416,-1
Santa Cruz Mountains,548,129971,0.0042163251802325,-1
Bordeaux,518,129971,0.0039855044586869,-1
Cava,497,129971,0.003823929953605,-1
Cahors,493,129971,0.0037931538573989,-1
Bordeaux Blanc,491,129971,0.0037777658092959,-1
Oregon,460,129971,0.0035392510636988,-1
Bordeaux Supérieur,454,129971,0.0034930869193897,-1
Livermore Valley,449,129971,0.0034546167991321,-1
Washington,440,129971,0.0033853705826684,-1
Amarone della Valpolicella Classico,420,129971,0.003231490101638,-1
Rutherford,411,129971,0.0031622438851743,-1
Edna Valley,410,129971,0.0031545498611228,-1
Sierra Foothills,399,129971,0.0030699155965561,-1
Amador County,397,129971,0.0030545275484531,-1
Pessac-Léognan,396,129971,0.0030468335244015,-1
Mendocino County,391,129971,0.003008363404144,-1
Rogue Valley,384,129971,0.0029545052357833,-1
Collio,379,129971,0.0029160351155257,-1
Haut-Médoc,373,129971,0.0028698709712166,-1
Mendocino,365,129971,0.0028083187788045,-1
North Coast,356,129971,0.0027390725623408,-1
Wahluke Slope,348,129971,0.0026775203699286,-1
Monterey,347,129971,0.0026698263458771,-1
McLaren Vale,347,129971,0.0026698263458771,-1
Rías Baixas,345,129971,0.0026544382977741,-1
Monterey County,342,129971,0.0026313562256195,-1
Blaye Côtes de Bordeaux,341,129971,0.002623662201568,-1
Rosso di Montalcino,338,129971,0.0026005801294134,-1
Chehalem Mountains,334,129971,0.0025698040332074,-1
Pouilly-Fuissé,310,129971,0.0023851474559709,-1
El Dorado,310,129971,0.0023851474559709,-1
Médoc,305,129971,0.0023466773357133,-1
Rueda,302,129971,0.0023235952635587,-1
Oakville,288,129971,0.0022158789268375,-1
Vin de France,288,129971,0.0022158789268375,-1
Lake County,278,129971,0.0021389386863223,-1
Crémant d'Alsace,277,129971,0.0021312446622708,-1
Eola-Amity Hills,276,129971,0.0021235506382192,-1
Uco Valley,273,129971,0.0021004685660647,-1
Etna,268,129971,0.0020619984458071,-1
Margaux,264,129971,0.002031222349601,-1
Franciacorta,256,129971,0.0019696701571889,-1
Priorat,256,129971,0.0019696701571889,-1
Côtes du Rhône,254,129971,0.0019542821090858,-1
Vino Nobile di Montepulciano,252,129971,0.0019388940609828,-1
Conegliano Valdobbiadene Prosecco Superiore,251,129971,0.0019312000369313,-1
Bourgogne,241,129971,0.0018542597964161,-1
Muscadet Sèvre et Maine,237,129971,0.00182348370021,-1
Umpqua Valley,232,129971,0.0017850135799524,-1
St. Helena,232,129971,0.0017850135799524,-1
Beaujolais-Villages,224,129971,0.0017234613875402,-1
Navarra,223,129971,0.0017157673634887,-1
Colli Orientali del Friuli,217,129971,0.0016696032191796,-1
Pauillac,214,129971,0.0016465211470251,-1
Bolgheri,214,129971,0.0016465211470251,-1
Terre Siciliane,213,129971,0.0016388271229735,-1
Arroyo Seco,211,129971,0.0016234390748705,-1
Toro,209,129971,0.0016080510267675,-1
South Eastern Australia,207,129971,0.0015926629786644,-1
Vino de la Tierra de Castilla,205,129971,0.0015772749305614,-1
Saint-Estèphe,205,129971,0.0015772749305614,-1
Green Valley,205,129971,0.0015772749305614,-1
Côtes de Gascogne,198,129971,0.0015234167622007,-1
Tupungato,197,129971,0.0015157227381492,-1
Bordeaux Rosé,196,129971,0.0015080287140977,-1
Jumilla,191,129971,0.0014695585938401,-1
Morellino di Scansano,190,129971,0.0014618645697886,-1
Amarone della Valpolicella,185,129971,0.001423394449531,-1
Châteauneuf-du-Pape,184,129971,0.0014157004254795,-1
