Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
Industrial Conglomerates,21,505,0.0415841584158415,-1
Internet Software & Services,20,505,0.0396039603960396,-1
Oil & Gas Exploration & Production,18,505,0.0356435643564356,-1
Health Care Equipment,17,505,0.0336633663366336,-1
REITs,16,505,0.0316831683168316,-1
Banks,13,505,0.0257425742574257,-1
Semiconductors,13,505,0.0257425742574257,-1
MultiUtilities,13,505,0.0257425742574257,-1
Electric Utilities,12,505,0.0237623762376237,-1
Packaged Foods & Meats,12,505,0.0237623762376237,-1
"Apparel, Accessories & Luxury Goods",10,505,0.0198019801980198,-1
Diversified Financial Services,10,505,0.0198019801980198,-1
Pharmaceuticals,10,505,0.0198019801980198,-1
Specialty Stores,9,505,0.0178217821782178,-1
Property & Casualty Insurance,8,505,0.0158415841584158,-1
Health Care Distributors,7,505,0.0138613861386138,-1
Biotechnology,7,505,0.0138613861386138,-1
Aerospace & Defense,7,505,0.0138613861386138,-1
Oil & Gas Refining & Marketing & Transportation,6,505,0.0118811881188118,-1
Diversified Chemicals,6,505,0.0118811881188118,-1
Consumer Finance,6,505,0.0118811881188118,-1
Asset Management & Custody Banks,6,505,0.0118811881188118,-1
Managed Health Care,6,505,0.0118811881188118,-1
Apparel Retail,6,505,0.0118811881188118,-1
Industrial Machinery,6,505,0.0118811881188118,-1
Broadcasting & Cable TV,5,505,0.0099009900990099,-1
Application Software,5,505,0.0099009900990099,-1
Health Care Facilities,5,505,0.0099009900990099,-1
IT Consulting & Other Services,5,505,0.0099009900990099,-1
Airlines,5,505,0.0099009900990099,-1
Oil & Gas Equipment & Services,5,505,0.0099009900990099,-1
Publishing,5,505,0.0099009900990099,-1
Integrated Oil & Gas,5,505,0.0099009900990099,-1
Building Products,5,505,0.0099009900990099,-1
Restaurants,5,505,0.0099009900990099,-1
Specialty Chemicals,4,505,0.0079207920792079,-1
Investment Banking & Brokerage,4,505,0.0079207920792079,-1
Household Products,4,505,0.0079207920792079,-1
Insurance Brokers,4,505,0.0079207920792079,-1
Railroads,4,505,0.0079207920792079,-1
Soft Drinks,4,505,0.0079207920792079,-1
Integrated Telecommunications Services,4,505,0.0079207920792079,-1
Air Freight & Logistics,4,505,0.0079207920792079,-1
Paper Packaging,4,505,0.0079207920792079,-1
Residential REITs,4,505,0.0079207920792079,-1
Retail REITs,4,505,0.0079207920792079,-1
General Merchandise Stores,4,505,0.0079207920792079,-1
Research & Consulting Services,4,505,0.0079207920792079,-1
"Hotels, Resorts & Cruise Lines",4,505,0.0079207920792079,-1
Cable & Satellite,4,505,0.0079207920792079,-1
Internet & Direct Marketing Retail,4,505,0.0079207920792079,-1
Regional Banks,3,505,0.0059405940594059,-1
Household Appliances,3,505,0.0059405940594059,-1
Personal Products,3,505,0.0059405940594059,-1
Semiconductor Equipment,3,505,0.0059405940594059,-1
Health Care Supplies,3,505,0.0059405940594059,-1
Construction & Farm Machinery & Heavy Trucks,3,505,0.0059405940594059,-1
Data Processing & Outsourced Services,3,505,0.0059405940594059,-1
Life & Health Insurance,3,505,0.0059405940594059,-1
Systems Software,3,505,0.0059405940594059,-1
Fertilizers & Agricultural Chemicals,3,505,0.0059405940594059,-1
Networking Equipment,3,505,0.0059405940594059,-1
Specialized REITs,3,505,0.0059405940594059,-1
Homebuilding,3,505,0.0059405940594059,-1
Multi-Sector Holdings,3,505,0.0059405940594059,-1
Tobacco,3,505,0.0059405940594059,-1
Advertising,2,505,0.0039603960396039,-1
Drug Retail,2,505,0.0039603960396039,-1
Home Entertainment Software,2,505,0.0039603960396039,-1
Distillers & Vintners,2,505,0.0039603960396039,-1
Construction Materials,2,505,0.0039603960396039,-1
Department Stores,2,505,0.0039603960396039,-1
Consumer Electronics,2,505,0.0039603960396039,-1
Electronic Components,2,505,0.0039603960396039,-1
Life Sciences Tools & Services,2,505,0.0039603960396039,-1
Computer Storage & Peripherals,2,505,0.0039603960396039,-1
Leisure Products,2,505,0.0039603960396039,-1
Hypermarkets & Super Centers,2,505,0.0039603960396039,-1
Telecommunications Equipment,2,505,0.0039603960396039,-1
Oil & Gas Drilling,2,505,0.0039603960396039,-1
Computer Hardware,2,505,0.0039603960396039,-1
Auto Parts & Equipment,2,505,0.0039603960396039,-1
Automobile Manufacturers,2,505,0.0039603960396039,-1
Independent Power Producers & Energy Traders,2,505,0.0039603960396039,-1
Multi-line Insurance,2,505,0.0039603960396039,-1
Food Retail,2,505,0.0039603960396039,-1
Home Improvement Retail,2,505,0.0039603960396039,-1
Industrial Gases,2,505,0.0039603960396039,-1
Electrical Components & Equipment,2,505,0.0039603960396039,-1
Office REITs,1,505,0.0019801980198019,-1
Steel,1,505,0.0019801980198019,-1
Environmental Services,1,505,0.0019801980198019,-1
Automotive Retail,1,505,0.0019801980198019,-1
Diversified Commercial Services,1,505,0.0019801980198019,-1
Specialty Retail,1,505,0.0019801980198019,-1
Home Furnishings,1,505,0.0019801980198019,-1
Trucking,1,505,0.0019801980198019,-1
Food Distributors,1,505,0.0019801980198019,-1
"Technology, Hardware, Software and Supplies",1,505,0.0019801980198019,-1
Human Resource & Employment Services,1,505,0.0019801980198019,-1
Tires & Rubber,1,505,0.0019801980198019,-1
Electronic Manufacturing Services,1,505,0.0019801980198019,-1
Distributors,1,505,0.0019801980198019,-1
Agricultural Products,1,505,0.0019801980198019,-1
Casinos & Gaming,1,505,0.0019801980198019,-1
Industrial Materials,1,505,0.0019801980198019,-1
Health Care Technology,1,505,0.0019801980198019,-1
