Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
60415,1,13,0.0769230769230769,-1
95712,1,13,0.0769230769230769,-1
60411,1,13,0.0769230769230769,-1
60185,1,13,0.0769230769230769,-1
56567,1,13,0.0769230769230769,-1
7093,1,13,0.0769230769230769,-1
94080,1,13,0.0769230769230769,-1
10001,1,13,0.0769230769230769,-1
94101,1,13,0.0769230769230769,-1
13417,1,13,0.0769230769230769,-1
46312,1,13,0.0769230769230769,-1
60290,1,13,0.0769230769230769,-1
60064,1,13,0.0769230769230769,-1
