Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
3,1663,1973,0.8428788646730867,-1
6,79,1973,0.0400405473897617,-1
4,64,1973,0.0324379118094272,-1
19,42,1973,0.0212873796249366,-1
7,35,1973,0.0177394830207805,-1
5,23,1973,0.0116573745565129,-1
8,22,1973,0.0111505321844906,-1
15,16,1973,0.0081094779523568,-1
10,11,1973,0.0055752660922453,-1
9,8,1973,0.0040547389761784,-1
92,5,1973,0.0025342118601115,-1
13,3,1973,0.0015205271160669,-1
2,2,1973,0.0010136847440446,-1
