Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
genus,174179,513373,0.3392835228966073,-1
species,172147,513373,0.3353253871941064,-1
phylum,77066,513373,0.1501169714807752,-1
order,40059,513373,0.07803098332012,-1
family,30086,513373,0.0586045623747255,-1
class,13798,513373,0.0268771439090096,-1
subfamily,3720,513373,0.0072461933136335,-1
subspecies,1096,513373,0.0021348999655221,-1
subgenus,542,513373,0.0010557625741906,-1
suborder,279,513373,0.0005434644985225,-1
variety,253,513373,0.0004928190613842,-1
subclass,132,513373,0.0002571229885482,-1
forma,7,513373,1.3635309998772822e-05,-1
