Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
Quito,31875,90287,0.3530408585953681,-1
Monterrey,11149,90287,0.1234840010189728,-1
Aguascalientes,10326,90287,0.1143686244974359,-1
México DF Taxi Libre,7504,90287,0.083112740483126,-1
México DF Taxi de Sitio,3506,90287,0.0388317254975799,-1
Manta,2853,90287,0.0315992335552183,-1
Bogotá,2577,90287,0.028542315061969,-1
México DF Radio Taxi,1975,90287,0.02187468849336,-1
Ecuador,1781,90287,0.0197259849147717,-1
Medellín,1586,90287,0.0175662055445412,-1
Riobamba,1002,90287,0.011097943225492,-1
Guadalajara Easy Taxi,784,90287,0.0086834206474907,-1
Panamá Uber,707,90287,0.0078305846910407,-1
Guadalajara,624,90287,0.0069112939847375,-1
Default Fare,583,90287,0.006457186527407,-1
Ant Ecuador,525,90287,0.005814790612159,-1
Cali,517,90287,0.0057261842790213,-1
Cuenca,506,90287,0.005604350570957,-1
Houston UberBlack,471,90287,0.0052166978634797,-1
Monterrey UberX,440,90287,0.0048733483225713,-1
Rumiñahui,421,90287,0.0046629082813694,-1
Quito Cabify Lite,400,90287,0.004430316656883,-1
Santa Fe,359,90287,0.0039762091995525,-1
Ibarra,346,90287,0.0038322239082038,-1
St. Domingo,339,90287,0.0037546933667083,-1
Uruguay,339,90287,0.0037546933667083,-1
Monterrey Easy Taxi,303,90287,0.0033559648675889,-1
Cuenca +7km,293,90287,0.0032452069511668,-1
México DF UberX,281,90287,0.0031122974514603,-1
Guayaquil Cabify Lite,274,90287,0.0030347669099648,-1
Panamá UberX,273,90287,0.0030236911183226,-1
Medellín UberBlack,253,90287,0.0028021752854785,-1
Aguascalientes UberX,247,90287,0.0027357205356252,-1
Bogota UberBlack,246,90287,0.002724644743983,-1
Santiago,240,90287,0.0026581899941298,-1
Bogotá UberX,219,90287,0.0024255983696434,-1
Ambato,214,90287,0.0023702194114324,-1
Cali Uber,195,90287,0.0021597793702304,-1
Lima UberX,185,90287,0.0020490214538084,-1
Portoviejo,172,90287,0.0019050361624597,-1
Esmeraldas,163,90287,0.0018053540376798,-1
Monterrey UberXL,151,90287,0.0016724445379733,-1
Guayaquil Cabify Guayaco,149,90287,0.0016502929546889,-1
Guadalajara UberX,141,90287,0.0015616866215512,-1
Guadalajara UberXL,127,90287,0.0014066255385603,-1
Panamá UberSUV,122,90287,0.0013512465803493,-1
Machala,119,90287,0.0013180192054227,-1
Bucaramanga,119,90287,0.0013180192054227,-1
Pereira,118,90287,0.0013069434137805,-1
Medellín UberX,112,90287,0.0012404886639272,-1
Buenos Aires,109,90287,0.0012072612890006,-1
Montevideo,99,90287,0.0010965033725785,-1
Cali UberX,90,90287,0.0009968212477986,-1
Barranquilla UberBlack,88,90287,0.0009746696645142,-1
Quito Cabify Executive,88,90287,0.0009746696645142,-1
Brasilia,86,90287,0.0009525180812298,-1
México DF UberXL,84,90287,0.0009303664979454,-1
Puebla Easy Taxi,82,90287,0.000908214914661,-1
São Paulo,80,90287,0.0008860633313766,-1
Rosario,78,90287,0.0008639117480921,-1
México DF UberSUV,61,90287,0.0006756232901746,-1
Bogotá UberVan,55,90287,0.0006091685403214,-1
Rio de Janeiro,53,90287,0.000587016957037,-1
Puebla UberX,53,90287,0.000587016957037,-1
Barranquilla,49,90287,0.0005427137904681,-1
Tijuana UberX,42,90287,0.0004651832489727,-1
Costa Rica Taxi Sedán,40,90287,0.0004430316656883,-1
Monterrey Socio Conde,37,90287,0.0004098042907616,-1
Monterrey UberBLACK,36,90287,0.0003987284991194,-1
Guadalajara UberBLACK,35,90287,0.0003876527074772,-1
Bucaramanga UberX,35,90287,0.0003876527074772,-1
