Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
complete,97077,198900,0.4880693815987934,-1
issued,83559,198900,0.420105580693816,-1
filed,12043,198900,0.0605480140774258,-1
withdrawn,1754,198900,0.0088185017596782,-1
cancelled,1536,198900,0.0077224736048265,-1
expired,1370,198900,0.0068878833584715,-1
approved,733,198900,0.0036852689793866,-1
reinstated,563,198900,0.0028305681246857,-1
suspend,193,198900,0.0009703368526897,-1
revoked,50,198900,0.0002513826043237,-1
plancheck,16,198900,8.044243338360987e-05,-1
appeal,2,198900,1.0055304172951234e-05,-1
disapproved,2,198900,1.0055304172951234e-05,-1
incomplete,2,198900,1.0055304172951234e-05,-1
