Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
1000.0,9601,48269,0.198906130228511,-1
100.0,7773,48269,0.1610350328368103,-1
200.0,7282,48269,0.1508628726511839,-1
300.0,6665,48269,0.1380803414199589,-1
20.0,5282,48269,0.1094284116099359,-1
10.0,4369,48269,0.0905135801446062,-1
30.0,3378,48269,0.0699828046986678,-1
400.0,1648,48269,0.0341419958979883,-1
40.0,1119,48269,0.0231825809525782,-1
500.0,608,48269,0.0125960761565393,-1
600.0,171,48269,0.0035426464190267,-1
1100.0,158,48269,0.0032733224222585,-1
95.0,50,48269,0.0010358615260312,-1
150.0,42,48269,0.0008701236818662,-1
