Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
2016.0,28932,49999,0.5786515730314606,-1
2017.0,18273,49999,0.3654673093461869,-1
2015.0,147,49999,0.002940058801176,-1
2014.0,7,49999,0.000140002800056,-1
2013.0,3,49999,6.000120002400048e-05,-1
2011.0,2,49999,4.000080001600032e-05,-1
2004.0,2,49999,4.000080001600032e-05,-1
2012.0,1,49999,2.000040000800016e-05,-1
2010.0,1,49999,2.000040000800016e-05,-1
2009.0,1,49999,2.000040000800016e-05,-1
2008.0,1,49999,2.000040000800016e-05,-1
2007.0,1,49999,2.000040000800016e-05,-1
2005.0,1,49999,2.000040000800016e-05,-1
2003.0,1,49999,2.000040000800016e-05,-1
