Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
INDIA,10547,374362,0.0281732654489504,-1
SOUTH KOREA,1147,374362,0.0030638793467285,-1
CHINA,1106,374362,0.0029543596839422,-1
CANADA,1028,374362,0.0027460052035195,-1
PHILIPPINES,748,374362,0.0019980660430278,-1
MEXICO,677,374362,0.0018084100416174,-1
UNITED KINGDOM,322,374362,0.0008601300345654,-1
PAKISTAN,282,374362,0.0007532815830666,-1
TAIWAN,272,374362,0.0007265694701919,-1
JAPAN,235,374362,0.0006277346525555,-1
TURKEY,223,374362,0.0005956801171059,-1
BRAZIL,175,374362,0.0004674619753073,-1
FRANCE,173,374362,0.0004621195527323,-1
VENEZUELA,169,374362,0.0004514347075825,-1
GERMANY,162,374362,0.0004327362285702,-1
NEPAL,160,374362,0.0004273938059952,-1
COLOMBIA,151,374362,0.000403352904408,-1
RUSSIA,123,374362,0.0003285589883588,-1
ISRAEL,113,374362,0.0003018468754841,-1
ECUADOR,109,374362,0.0002911620303342,-1
POLAND,107,374362,0.0002858196077593,-1
ITALY,101,374362,0.0002697923400345,-1
AUSTRALIA,84,374362,0.0002243817481475,-1
SPAIN,82,374362,0.0002190393255725,-1
NIGERIA,80,374362,0.0002136969029976,-1
INDONESIA,78,374362,0.0002083544804226,-1
PERU,78,374362,0.0002083544804226,-1
ARGENTINA,77,374362,0.0002056832691352,-1
ROMANIA,76,374362,0.0002030120578477,-1
IRAN,73,374362,0.0001949984239853,-1
MALAYSIA,64,374362,0.0001709575223981,-1
EGYPT,62,374362,0.0001656150998231,-1
SINGAPORE,59,374362,0.0001576014659607,-1
BULGARIA,58,374362,0.0001549302546732,-1
SOUTH AFRICA,56,374362,0.0001495878320983,-1
JAMAICA,56,374362,0.0001495878320983,-1
BANGLADESH,55,374362,0.0001469166208108,-1
THAILAND,52,374362,0.0001389029869484,-1
LEBANON,50,374362,0.0001335605643735,-1
KENYA,49,374362,0.000130889353086,-1
IRELAND,48,374362,0.0001282181417985,-1
UKRAINE,48,374362,0.0001282181417985,-1
HONG KONG,45,374362,0.0001202045079361,-1
TRINIDAD AND TOBAGO,44,374362,0.0001175332966486,-1
SRI LANKA,43,374362,0.0001148620853612,-1
GHANA,43,374362,0.0001148620853612,-1
VIETNAM,41,374362,0.0001095196627862,-1
NETHERLANDS,39,374362,0.0001041772402113,-1
MONGOLIA,36,374362,9.6163606348935e-05,-1
EL SALVADOR,36,374362,9.6163606348935e-05,-1
JORDAN,35,374362,9.349239506146456e-05,-1
CHILE,35,374362,9.349239506146456e-05,-1
GUATEMALA,34,374362,9.082118377399415e-05,-1
UNITED STATES OF AMERICA,33,374362,8.814997248652375e-05,-1
GREECE,31,374362,8.280754991158291e-05,-1
DOMINICAN REPUBLIC,29,374362,7.746512733664208e-05,-1
SWEDEN,29,374362,7.746512733664208e-05,-1
PORTUGAL,28,374362,7.479391604917166e-05,-1
SYRIA,25,374362,6.67802821867604e-05,-1
NEW ZEALAND,22,374362,5.876664832434916e-05,-1
AUSTRIA,19,374362,5.075301446193792e-05,-1
SWITZERLAND,19,374362,5.075301446193792e-05,-1
BELGIUM,19,374362,5.075301446193792e-05,-1
BELARUS,19,374362,5.075301446193792e-05,-1
CZECH REPUBLIC,18,374362,4.80818031744675e-05,-1
BOLIVIA,17,374362,4.541059188699709e-05,-1
SERBIA AND MONTENEGRO,17,374362,4.541059188699709e-05,-1
HONDURAS,17,374362,4.541059188699709e-05,-1
HUNGARY,15,374362,4.006816931205625e-05,-1
SLOVAKIA,14,374362,3.739695802458583e-05,-1
GEORGIA,14,374362,3.739695802458583e-05,-1
FINLAND,13,374362,3.472574673711541e-05,-1
MOROCCO,13,374362,3.472574673711541e-05,-1
ALBANIA,12,374362,3.2054535449645e-05,-1
COSTA RICA,12,374362,3.2054535449645e-05,-1
PANAMA,11,374362,2.938332416217457e-05,-1
DENMARK,11,374362,2.938332416217457e-05,-1
ZIMBABWE,10,374362,2.671211287470417e-05,-1
ETHIOPIA,10,374362,2.671211287470417e-05,-1
LITHUANIA,10,374362,2.671211287470417e-05,-1
PARAGUAY,9,374362,2.404090158723375e-05,-1
ZAMBIA,9,374362,2.404090158723375e-05,-1
CYPRUS,8,374362,2.136969029976333e-05,-1
ARMENIA,8,374362,2.136969029976333e-05,-1
CAMEROON,8,374362,2.136969029976333e-05,-1
MOLDOVA,8,374362,2.136969029976333e-05,-1
CROATIA,7,374362,1.8698479012292914e-05,-1
NICARAGUA,7,374362,1.8698479012292914e-05,-1
URUGUAY,7,374362,1.8698479012292914e-05,-1
NORWAY,7,374362,1.8698479012292914e-05,-1
UZBEKISTAN,7,374362,1.8698479012292914e-05,-1
AZERBAIJAN,7,374362,1.8698479012292914e-05,-1
BARBADOS,7,374362,1.8698479012292914e-05,-1
TANZANIA,6,374362,1.60272677248225e-05,-1
DOMINICA,6,374362,1.60272677248225e-05,-1
SENEGAL,6,374362,1.60272677248225e-05,-1
KYRGYZSTAN,6,374362,1.60272677248225e-05,-1
BURMA (MYANMAR),5,374362,1.335605643735208e-05,-1
ICELAND,5,374362,1.335605643735208e-05,-1
GUYANA,5,374362,1.335605643735208e-05,-1
