Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
Somalia,1,155,0.0064516129032258,-1
Armenia,1,155,0.0064516129032258,-1
United States,1,155,0.0064516129032258,-1
Bahrain,1,155,0.0064516129032258,-1
Kenya,1,155,0.0064516129032258,-1
Slovenia,1,155,0.0064516129032258,-1
Paraguay,1,155,0.0064516129032258,-1
New Zealand,1,155,0.0064516129032258,-1
Congo (Brazzaville),1,155,0.0064516129032258,-1
Ukraine,1,155,0.0064516129032258,-1
Montenegro,1,155,0.0064516129032258,-1
Zambia,1,155,0.0064516129032258,-1
Croatia,1,155,0.0064516129032258,-1
Cyprus,1,155,0.0064516129032258,-1
Syria,1,155,0.0064516129032258,-1
Cambodia,1,155,0.0064516129032258,-1
Afghanistan,1,155,0.0064516129032258,-1
Uruguay,1,155,0.0064516129032258,-1
Denmark,1,155,0.0064516129032258,-1
Lithuania,1,155,0.0064516129032258,-1
Trinidad and Tobago,1,155,0.0064516129032258,-1
Lebanon,1,155,0.0064516129032258,-1
Mali,1,155,0.0064516129032258,-1
South Sudan,1,155,0.0064516129032258,-1
Ethiopia,1,155,0.0064516129032258,-1
South Africa,1,155,0.0064516129032258,-1
Uganda,1,155,0.0064516129032258,-1
Tunisia,1,155,0.0064516129032258,-1
Argentina,1,155,0.0064516129032258,-1
Turkey,1,155,0.0064516129032258,-1
Togo,1,155,0.0064516129032258,-1
Jamaica,1,155,0.0064516129032258,-1
Panama,1,155,0.0064516129032258,-1
Nigeria,1,155,0.0064516129032258,-1
Myanmar,1,155,0.0064516129032258,-1
Finland,1,155,0.0064516129032258,-1
Libya,1,155,0.0064516129032258,-1
Yemen,1,155,0.0064516129032258,-1
Haiti,1,155,0.0064516129032258,-1
Australia,1,155,0.0064516129032258,-1
Turkmenistan,1,155,0.0064516129032258,-1
Japan,1,155,0.0064516129032258,-1
Venezuela,1,155,0.0064516129032258,-1
Malawi,1,155,0.0064516129032258,-1
Sri Lanka,1,155,0.0064516129032258,-1
Taiwan Province of China,1,155,0.0064516129032258,-1
Sierra Leone,1,155,0.0064516129032258,-1
Guinea,1,155,0.0064516129032258,-1
Norway,1,155,0.0064516129032258,-1
Colombia,1,155,0.0064516129032258,-1
Burundi,1,155,0.0064516129032258,-1
France,1,155,0.0064516129032258,-1
Jordan,1,155,0.0064516129032258,-1
Slovakia,1,155,0.0064516129032258,-1
United Kingdom,1,155,0.0064516129032258,-1
Netherlands,1,155,0.0064516129032258,-1
Singapore,1,155,0.0064516129032258,-1
Qatar,1,155,0.0064516129032258,-1
Canada,1,155,0.0064516129032258,-1
Iceland,1,155,0.0064516129032258,-1
Senegal,1,155,0.0064516129032258,-1
Mongolia,1,155,0.0064516129032258,-1
Mauritania,1,155,0.0064516129032258,-1
Rwanda,1,155,0.0064516129032258,-1
Honduras,1,155,0.0064516129032258,-1
Tanzania,1,155,0.0064516129032258,-1
Ecuador,1,155,0.0064516129032258,-1
Israel,1,155,0.0064516129032258,-1
Cameroon,1,155,0.0064516129032258,-1
Uzbekistan,1,155,0.0064516129032258,-1
Morocco,1,155,0.0064516129032258,-1
Liberia,1,155,0.0064516129032258,-1
Nicaragua,1,155,0.0064516129032258,-1
Chad,1,155,0.0064516129032258,-1
Ireland,1,155,0.0064516129032258,-1
North Cyprus,1,155,0.0064516129032258,-1
Mozambique,1,155,0.0064516129032258,-1
Costa Rica,1,155,0.0064516129032258,-1
Gabon,1,155,0.0064516129032258,-1
Ivory Coast,1,155,0.0064516129032258,-1
Belize,1,155,0.0064516129032258,-1
Albania,1,155,0.0064516129032258,-1
Chile,1,155,0.0064516129032258,-1
Switzerland,1,155,0.0064516129032258,-1
Iraq,1,155,0.0064516129032258,-1
Estonia,1,155,0.0064516129032258,-1
Niger,1,155,0.0064516129032258,-1
Ghana,1,155,0.0064516129032258,-1
Moldova,1,155,0.0064516129032258,-1
Bosnia and Herzegovina,1,155,0.0064516129032258,-1
India,1,155,0.0064516129032258,-1
Bangladesh,1,155,0.0064516129032258,-1
Germany,1,155,0.0064516129032258,-1
Greece,1,155,0.0064516129032258,-1
Bolivia,1,155,0.0064516129032258,-1
Belgium,1,155,0.0064516129032258,-1
United Arab Emirates,1,155,0.0064516129032258,-1
Algeria,1,155,0.0064516129032258,-1
Hungary,1,155,0.0064516129032258,-1
Saudi Arabia,1,155,0.0064516129032258,-1
Vietnam,1,155,0.0064516129032258,-1
Iran,1,155,0.0064516129032258,-1
Tajikistan,1,155,0.0064516129032258,-1
Luxembourg,1,155,0.0064516129032258,-1
Philippines,1,155,0.0064516129032258,-1
El Salvador,1,155,0.0064516129032258,-1
Sweden,1,155,0.0064516129032258,-1
Kosovo,1,155,0.0064516129032258,-1
Pakistan,1,155,0.0064516129032258,-1
Georgia,1,155,0.0064516129032258,-1
Brazil,1,155,0.0064516129032258,-1
Egypt,1,155,0.0064516129032258,-1
Bulgaria,1,155,0.0064516129032258,-1
Zimbabwe,1,155,0.0064516129032258,-1
Mauritius,1,155,0.0064516129032258,-1
Romania,1,155,0.0064516129032258,-1
Malta,1,155,0.0064516129032258,-1
Azerbaijan,1,155,0.0064516129032258,-1
Central African Republic,1,155,0.0064516129032258,-1
Spain,1,155,0.0064516129032258,-1
Mexico,1,155,0.0064516129032258,-1
Portugal,1,155,0.0064516129032258,-1
Congo (Kinshasa),1,155,0.0064516129032258,-1
Dominican Republic,1,155,0.0064516129032258,-1
Guatemala,1,155,0.0064516129032258,-1
Madagascar,1,155,0.0064516129032258,-1
Botswana,1,155,0.0064516129032258,-1
Macedonia,1,155,0.0064516129032258,-1
Indonesia,1,155,0.0064516129032258,-1
Namibia,1,155,0.0064516129032258,-1
Kazakhstan,1,155,0.0064516129032258,-1
Serbia,1,155,0.0064516129032258,-1
Kyrgyzstan,1,155,0.0064516129032258,-1
Czech Republic,1,155,0.0064516129032258,-1
Bhutan,1,155,0.0064516129032258,-1
Malaysia,1,155,0.0064516129032258,-1
China,1,155,0.0064516129032258,-1
Burkina Faso,1,155,0.0064516129032258,-1
Austria,1,155,0.0064516129032258,-1
Palestinian Territories,1,155,0.0064516129032258,-1
South Korea,1,155,0.0064516129032258,-1
Benin,1,155,0.0064516129032258,-1
Poland,1,155,0.0064516129032258,-1
Italy,1,155,0.0064516129032258,-1
Russia,1,155,0.0064516129032258,-1
Thailand,1,155,0.0064516129032258,-1
Belarus,1,155,0.0064516129032258,-1
Lesotho,1,155,0.0064516129032258,-1
Latvia,1,155,0.0064516129032258,-1
Sudan,1,155,0.0064516129032258,-1
Kuwait,1,155,0.0064516129032258,-1
"Hong Kong S.A.R., China",1,155,0.0064516129032258,-1
Nepal,1,155,0.0064516129032258,-1
Angola,1,155,0.0064516129032258,-1
Peru,1,155,0.0064516129032258,-1
