Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
Bosnia and Herzegovina/Yugoslavia (former),128,1518,0.0843214756258234,-1
Philippines/Mindanao,114,1518,0.075098814229249,-1
Colombia,111,1518,0.0731225296442687,-1
Nepal,51,1518,0.033596837944664,-1
South Sudan/Sudan,44,1518,0.0289855072463768,-1
Croatia/Yugoslavia (former),43,1518,0.02832674571805,-1
Somalia,42,1518,0.0276679841897233,-1
Myanmar,35,1518,0.0230566534914361,-1
Georgia/Abkhazia,30,1518,0.0197628458498023,-1
Liberia,30,1518,0.0197628458498023,-1
Papua New Guinea/Bougainville,30,1518,0.0197628458498023,-1
Israel/Palestine,28,1518,0.0184453227931488,-1
Sri Lanka,25,1518,0.0164690382081686,-1
South Sudan,22,1518,0.0144927536231884,-1
Tajikistan,21,1518,0.0138339920948616,-1
Russia/Chechnya,21,1518,0.0138339920948616,-1
Sudan/Darfur,21,1518,0.0138339920948616,-1
Ireland/United Kingdom/(Northern Ireland),21,1518,0.0138339920948616,-1
Philippines,20,1518,0.0131752305665349,-1
Indonesia/Aceh,19,1518,0.0125164690382081,-1
Burundi,19,1518,0.0125164690382081,-1
Cote d'Ivoire,19,1518,0.0125164690382081,-1
Democratic Republic of Congo,19,1518,0.0125164690382081,-1
Yemen,18,1518,0.0118577075098814,-1
Guatemala,18,1518,0.0118577075098814,-1
Afghanistan,18,1518,0.0118577075098814,-1
Mali/Azawad,18,1518,0.0118577075098814,-1
Central African Republic,17,1518,0.0111989459815546,-1
Syria,17,1518,0.0111989459815546,-1
Uganda,17,1518,0.0111989459815546,-1
Georgia/Russia/Abkhazia,16,1518,0.0105401844532279,-1
Ecuador/Peru,14,1518,0.0092226613965744,-1
El Salvador,14,1518,0.0092226613965744,-1
South Sudan/Sudan/Southern Kordofan - Blue Nile - Abyei,14,1518,0.0092226613965744,-1
Armenia/Azerbaijan/Nagorno-Karabakh,13,1518,0.0085638998682476,-1
Mozambique,13,1518,0.0085638998682476,-1
Ireland/United Kingdom/Northern Ireland,12,1518,0.0079051383399209,-1
Angola,12,1518,0.0079051383399209,-1
Kenya,11,1518,0.0072463768115942,-1
South Africa,11,1518,0.0072463768115942,-1
Palestine,9,1518,0.0059288537549407,-1
Sierra Leone,9,1518,0.0059288537549407,-1
Madagascar,8,1518,0.0052700922266139,-1
Somalia/Puntland,8,1518,0.0052700922266139,-1
Comoros/Anjouan,8,1518,0.0052700922266139,-1
Morocco/Western Sahara,8,1518,0.0052700922266139,-1
Georgia/Russia/Ossetia,8,1518,0.0052700922266139,-1
Rwanda,8,1518,0.0052700922266139,-1
India/Pakistan,7,1518,0.0046113306982872,-1
Nicaragua,7,1518,0.0046113306982872,-1
Cambodia,6,1518,0.0039525691699604,-1
Chad,6,1518,0.0039525691699604,-1
