Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
Farming,72955,671205,0.1086925752936882,-1
General Store,64729,671205,0.0964370050878643,-1
Personal Housing Expenses,32448,671205,0.0483429056696538,-1
Food Production/Sales,28106,671205,0.041873943132128,-1
Agriculture,27023,671205,0.0402604271422292,-1
Pigs,26624,671205,0.0396659738827928,-1
Retail,24771,671205,0.0369052673922274,-1
Clothing Sales,22339,671205,0.0332819332394722,-1
Home Appliances,20267,671205,0.0301949478922236,-1
Higher education costs,19742,671205,0.02941277255086,-1
Fruits & Vegetables,16610,671205,0.0247465379429533,-1
Grocery Store,15102,671205,0.0224998323909982,-1
Livestock,13095,671205,0.0195096878002994,-1
Fish Selling,13060,671205,0.0194575427775418,-1
Food,10197,671205,0.015192079915972,-1
Fishing,10066,671205,0.0149969085450793,-1
Services,9807,671205,0.0146110353766732,-1
Poultry,9783,671205,0.0145752787896395,-1
Tailoring,9657,671205,0.0143875567077122,-1
Animal Sales,9237,671205,0.0137618164346213,-1
Food Stall,8905,671205,0.0132671836473208,-1
Sewing,8414,671205,0.0125356634709217,-1
Dairy,7914,671205,0.0117907345743848,-1
Cereals,7898,671205,0.0117668968496956,-1
Cattle,7865,671205,0.0117177315425242,-1
Home Energy,7141,671205,0.0106390745003389,-1
Food Market,7091,671205,0.0105645816106852,-1
Primary/secondary school costs,6816,671205,0.01015487071759,-1
Personal Expenses,6656,671205,0.0099164934706982,-1
Beauty Salon,6611,671205,0.0098494498700099,-1
Motorcycle Transport,5888,671205,0.0087722826856176,-1
Personal Medical Expenses,5549,671205,0.0082672208937656,-1
Clothing,5014,671205,0.0074701469744712,-1
Restaurant,4981,671205,0.0074209816672998,-1
Cosmetics Sales,4740,671205,0.0070619259391691,-1
Used Clothing,4637,671205,0.0069084705864825,-1
Charcoal Sales,4421,671205,0.0065866613031786,-1
Education provider,4401,671205,0.0065568641473171,-1
Farm Supplies,4352,671205,0.0064838611154565,-1
Transportation,4121,671205,0.0061397039652565,-1
Crafts,4084,671205,0.0060845792269127,-1
Personal Products Sales,3866,671205,0.0057597902280227,-1
Home Products Sales,3817,671205,0.0056867871961621,-1
Bakery,3620,671205,0.0053932852109266,-1
Weaving,2961,671205,0.004411468925291,-1
Rickshaw,2878,671205,0.0042878107284659,-1
Shoe Sales,2760,671205,0.0041120075088832,-1
Manufacturing,2643,671205,0.0039376941470936,-1
Taxi,2631,671205,0.0039198158535767,-1
Embroidery,2380,671205,0.0035458615475152,-1
Beverages,2357,671205,0.0035115948182745,-1
Construction,2145,671205,0.0031957449661429,-1
Cloth & Dressmaking Supplies,2071,671205,0.0030854954894555,-1
Furniture Making,2051,671205,0.003055698333594,-1
Construction Supplies,2003,671205,0.0029841851595265,-1
Butcher Shop,1968,671205,0.0029320401367689,-1
Fuel/Firewood,1925,671205,0.0028679762516667,-1
Milk Sales,1771,671205,0.0026385381515334,-1
Liquor Store / Off-License,1558,671205,0.0023211984416087,-1
Cafe,1404,671205,0.0020917603414754,-1
Jewelry,1371,671205,0.0020425950343039,-1
Auto Repair,1336,671205,0.0019904500115463,-1
Property,1283,671205,0.0019114875485134,-1
Spare Parts,1260,671205,0.0018772208192728,-1
Vehicle,1257,671205,0.0018727512458935,-1
Health,1235,671205,0.0018399743744459,-1
Arts,1092,671205,0.0016269247100364,-1
Textiles,1023,671205,0.0015241245223143,-1
Phone Use Sales,1019,671205,0.001518165091142,-1
Pharmacy,1012,671205,0.0015077360865905,-1
Internet Cafe,986,671205,0.0014689997839706,-1
Hardware,953,671205,0.0014198344767991,-1
Barber Shop,951,671205,0.001416854761213,-1
Pub,902,671205,0.0013438517293524,-1
Metal Shop,898,671205,0.0013378922981801,-1
Flowers,821,671205,0.0012231732481134,-1
Recycled Materials,819,671205,0.0012201935325273,-1
Natural Medicines,814,671205,0.0012127442435619,-1
Carpentry,754,671205,0.0011233527759775,-1
Used Shoes,752,671205,0.0011203730603913,-1
Mobile Phones,657,671205,0.0009788365700493,-1
Catering,653,671205,0.000972877138877,-1
Vehicle Repairs,615,671205,0.0009162625427402,-1
Consumer Goods,613,671205,0.0009132828271541,-1
Renewable Energy Products,585,671205,0.000871566808948,-1
Plastics Sales,568,671205,0.0008462392264658,-1
Water Distribution,564,671205,0.0008402797952935,-1
Electronics Sales,546,671205,0.0008134623550182,-1
Bricks,512,671205,0.0007628071900537,-1
Timber Sales,502,671205,0.0007479086121229,-1
Phone Accessories,486,671205,0.0007240708874337,-1
Cobbler,453,671205,0.0006749055802623,-1
Motorcycle Repair,449,671205,0.00066894614909,-1
Blacksmith,444,671205,0.0006614968601247,-1
