Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
A,346,198900,0.0017395676219205,-1
C,226,198900,0.0011362493715434,-1
B,191,198900,0.0009602815485168,-1
D,135,198900,0.0006787330316742,-1
E,92,198900,0.0004625439919557,-1
HOA,85,198900,0.0004273504273504,-1
F,78,198900,0.000392156862745,-1
W,43,198900,0.0002161890397184,-1
COMML,43,198900,0.0002161890397184,-1
G,36,198900,0.0001809954751131,-1
RESID'L,33,198900,0.0001659125188536,-1
H,23,198900,0.0001156359979889,-1
FRONT BLDG,23,198900,0.0001156359979889,-1
REAR BLDG,23,198900,0.0001156359979889,-1
UPPER,23,198900,0.0001156359979889,-1
J,19,198900,9.552538964303673e-05,-1
C-1,18,198900,9.049773755656108e-05,-1
N,18,198900,9.049773755656108e-05,-1
T,16,198900,8.044243338360987e-05,-1
1/F,16,198900,8.044243338360987e-05,-1
R,14,198900,7.038712921065863e-05,-1
Garage,13,198900,6.535947712418301e-05,-1
P,13,198900,6.535947712418301e-05,-1
FRONT,12,198900,6.0331825037707385e-05,-1
BLDG 1,12,198900,6.0331825037707385e-05,-1
C102,11,198900,5.530417295123178e-05,-1
REAR,11,198900,5.530417295123178e-05,-1
COMMERCIAL,10,198900,5.027652086475616e-05,-1
PH2B,10,198900,5.027652086475616e-05,-1
FRONT UNIT,10,198900,5.027652086475616e-05,-1
K,10,198900,5.027652086475616e-05,-1
FRNT BLDG,9,198900,4.524886877828054e-05,-1
C-2001,9,198900,4.524886877828054e-05,-1
O,8,198900,4.0221216691804935e-05,-1
PH-1,8,198900,4.0221216691804935e-05,-1
Commercial,8,198900,4.0221216691804935e-05,-1
S,8,198900,4.0221216691804935e-05,-1
M,8,198900,4.0221216691804935e-05,-1
0,8,198900,4.0221216691804935e-05,-1
WEST,8,198900,4.0221216691804935e-05,-1
LOWER,7,198900,3.5193564605329314e-05,-1
REAR UNIT,7,198900,3.5193564605329314e-05,-1
UPPER UNIT,7,198900,3.5193564605329314e-05,-1
RESIDENTIA,7,198900,3.5193564605329314e-05,-1
LEAS OFFIC,6,198900,3.0165912518853693e-05,-1
M301,6,198900,3.0165912518853693e-05,-1
R-1,6,198900,3.0165912518853693e-05,-1
-B,6,198900,3.0165912518853693e-05,-1
RETAIL 1,5,198900,2.513826043237808e-05,-1
TH1,5,198900,2.513826043237808e-05,-1
MIDDLE,5,198900,2.513826043237808e-05,-1
B-A,5,198900,2.513826043237808e-05,-1
L,5,198900,2.513826043237808e-05,-1
UPPR COMML,5,198900,2.513826043237808e-05,-1
LOWER UNIT,4,198900,2.0110608345902467e-05,-1
FRNT RIGHT,4,198900,2.0110608345902467e-05,-1
COMML-3,4,198900,2.0110608345902467e-05,-1
C100,4,198900,2.0110608345902467e-05,-1
BLDG 3E,4,198900,2.0110608345902467e-05,-1
THEATRE,4,198900,2.0110608345902467e-05,-1
-A,4,198900,2.0110608345902467e-05,-1
C132,4,198900,2.0110608345902467e-05,-1
BLDG 3,4,198900,2.0110608345902467e-05,-1
C101,4,198900,2.0110608345902467e-05,-1
COM-2,3,198900,1.5082956259426846e-05,-1
RESIDL 3/F,3,198900,1.5082956259426846e-05,-1
Y,3,198900,1.5082956259426846e-05,-1
REAR G/F,3,198900,1.5082956259426846e-05,-1
BLDG 449,3,198900,1.5082956259426846e-05,-1
BLDG 157,3,198900,1.5082956259426846e-05,-1
2/F,3,198900,1.5082956259426846e-05,-1
COMML 1,3,198900,1.5082956259426846e-05,-1
M1,3,198900,1.5082956259426846e-05,-1
C103,3,198900,1.5082956259426846e-05,-1
1ST FLOOR,3,198900,1.5082956259426846e-05,-1
COM'L,3,198900,1.5082956259426846e-05,-1
PH1A,2,198900,1.0055304172951234e-05,-1
BLDG 229,2,198900,1.0055304172951234e-05,-1
CU-3,2,198900,1.0055304172951234e-05,-1
FRNT ENTRA,2,198900,1.0055304172951234e-05,-1
C-2,2,198900,1.0055304172951234e-05,-1
LOWER COML,2,198900,1.0055304172951234e-05,-1
M202,2,198900,1.0055304172951234e-05,-1
PARKING,2,198900,1.0055304172951234e-05,-1
BLD 7,2,198900,1.0055304172951234e-05,-1
TENTATIVE,2,198900,1.0055304172951234e-05,-1
GPHA,2,198900,1.0055304172951234e-05,-1
COMML-1,2,198900,1.0055304172951234e-05,-1
TH2,2,198900,1.0055304172951234e-05,-1
407,2,198900,1.0055304172951234e-05,-1
OFFICE,2,198900,1.0055304172951234e-05,-1
OFFICE 2/F,2,198900,1.0055304172951234e-05,-1
PH,2,198900,1.0055304172951234e-05,-1
PH1C,2,198900,1.0055304172951234e-05,-1
1/2,2,198900,1.0055304172951234e-05,-1
COMML-2,2,198900,1.0055304172951234e-05,-1
1503B,2,198900,1.0055304172951234e-05,-1
EAST,2,198900,1.0055304172951234e-05,-1
A104,2,198900,1.0055304172951234e-05,-1
C1,2,198900,1.0055304172951234e-05,-1
BLDG 3F,2,198900,1.0055304172951234e-05,-1
A102,2,198900,1.0055304172951234e-05,-1
LEASE OFF,2,198900,1.0055304172951234e-05,-1
1/F FRONT,2,198900,1.0055304172951234e-05,-1
A100,1,198900,5.027652086475617e-06,-1
BLDG D,1,198900,5.027652086475617e-06,-1
STORE,1,198900,5.027652086475617e-06,-1
PARCEL A,1,198900,5.027652086475617e-06,-1
BSM OFFICE,1,198900,5.027652086475617e-06,-1
BLDG 2,1,198900,5.027652086475617e-06,-1
TOP,1,198900,5.027652086475617e-06,-1
UPPER LEVE,1,198900,5.027652086475617e-06,-1
STUDIO/TEC,1,198900,5.027652086475617e-06,-1
BASEMENT,1,198900,5.027652086475617e-06,-1
D4,1,198900,5.027652086475617e-06,-1
BLDG 201,1,198900,5.027652086475617e-06,-1
Parcel C,1,198900,5.027652086475617e-06,-1
COM-1,1,198900,5.027652086475617e-06,-1
FC1,1,198900,5.027652086475617e-06,-1
M101,1,198900,5.027652086475617e-06,-1
LEVEL ONE,1,198900,5.027652086475617e-06,-1
3/F,1,198900,5.027652086475617e-06,-1
C-4,1,198900,5.027652086475617e-06,-1
#R-2,1,198900,5.027652086475617e-06,-1
UP FRT BLD,1,198900,5.027652086475617e-06,-1
W122,1,198900,5.027652086475617e-06,-1
RESDL/REAR,1,198900,5.027652086475617e-06,-1
LEVEL 4,1,198900,5.027652086475617e-06,-1
Parcel B,1,198900,5.027652086475617e-06,-1
1A-4,1,198900,5.027652086475617e-06,-1
BLDG B,1,198900,5.027652086475617e-06,-1
COM'L 1/F,1,198900,5.027652086475617e-06,-1
3RD FLOOR,1,198900,5.027652086475617e-06,-1
B20H,1,198900,5.027652086475617e-06,-1
PH1,1,198900,5.027652086475617e-06,-1
BLDG C,1,198900,5.027652086475617e-06,-1
COMMON ARE,1,198900,5.027652086475617e-06,-1
PIER 1,1,198900,5.027652086475617e-06,-1
COMM',1,198900,5.027652086475617e-06,-1
CU-2,1,198900,5.027652086475617e-06,-1
I,1,198900,5.027652086475617e-06,-1
CHILD DEV,1,198900,5.027652086475617e-06,-1
COML,1,198900,5.027652086475617e-06,-1
BLDG E,1,198900,5.027652086475617e-06,-1
3/F FRONT,1,198900,5.027652086475617e-06,-1
RES'L,1,198900,5.027652086475617e-06,-1
CML A,1,198900,5.027652086475617e-06,-1
Parcel A,1,198900,5.027652086475617e-06,-1
PIER 2,1,198900,5.027652086475617e-06,-1
U-PH3,1,198900,5.027652086475617e-06,-1
BLDG. 3,1,198900,5.027652086475617e-06,-1
UTILITY,1,198900,5.027652086475617e-06,-1
BLDG A,1,198900,5.027652086475617e-06,-1
PH C,1,198900,5.027652086475617e-06,-1
PH1E,1,198900,5.027652086475617e-06,-1
RESIDENCE,1,198900,5.027652086475617e-06,-1
2ND FLOOR,1,198900,5.027652086475617e-06,-1
U,1,198900,5.027652086475617e-06,-1
PIER 3,1,198900,5.027652086475617e-06,-1
D3,1,198900,5.027652086475617e-06,-1
HMETER,1,198900,5.027652086475617e-06,-1
RETAIL 2,1,198900,5.027652086475617e-06,-1
PH-4,1,198900,5.027652086475617e-06,-1
Parcel D,1,198900,5.027652086475617e-06,-1
