Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
CHN,541,21477,0.025189737859105,-1
THA,261,21477,0.0121525352702891,-1
AZE,240,21477,0.0111747450761279,-1
ESP,150,21477,0.0069842156725799,-1
ITA,148,21477,0.0068910927969455,-1
DEU,147,21477,0.0068445313591283,-1
GBR,143,21477,0.0066582856078595,-1
GRC,143,21477,0.0066582856078595,-1
JPN,143,21477,0.0066582856078595,-1
HUN,142,21477,0.0066117241700423,-1
PHL,142,21477,0.0066117241700423,-1
SWE,142,21477,0.0066117241700423,-1
NLD,141,21477,0.0065651627322251,-1
USA,141,21477,0.0065651627322251,-1
CHE,141,21477,0.0065651627322251,-1
KAZ,141,21477,0.0065651627322251,-1
ZAF,140,21477,0.0065186012944079,-1
NOR,140,21477,0.0065186012944079,-1
CAN,140,21477,0.0065186012944079,-1
LTU,140,21477,0.0065186012944079,-1
FRA,140,21477,0.0065186012944079,-1
ROU,139,21477,0.0064720398565907,-1
AUT,139,21477,0.0064720398565907,-1
DNK,139,21477,0.0064720398565907,-1
BRA,137,21477,0.0063789169809563,-1
RUS,137,21477,0.0063789169809563,-1
CUB,137,21477,0.0063789169809563,-1
BEL,136,21477,0.0063323555431391,-1
POL,136,21477,0.0063323555431391,-1
LVA,136,21477,0.0063323555431391,-1
IRL,136,21477,0.0063323555431391,-1
CYP,135,21477,0.0062857941053219,-1
EST,135,21477,0.0062857941053219,-1
ISR,135,21477,0.0062857941053219,-1
BGR,134,21477,0.0062392326675047,-1
PRT,134,21477,0.0062392326675047,-1
ECU,134,21477,0.0062392326675047,-1
MYS,134,21477,0.0062392326675047,-1
EGY,134,21477,0.0062392326675047,-1
NZL,134,21477,0.0062392326675047,-1
UKR,134,21477,0.0062392326675047,-1
QAT,134,21477,0.0062392326675047,-1
IND,134,21477,0.0062392326675047,-1
FIN,133,21477,0.0061926712296875,-1
ARM,133,21477,0.0061926712296875,-1
MEX,133,21477,0.0061926712296875,-1
GEO,133,21477,0.0061926712296875,-1
PAK,133,21477,0.0061926712296875,-1
PER,132,21477,0.0061461097918703,-1
SVN,132,21477,0.0061461097918703,-1
HND,132,21477,0.0061461097918703,-1
COL,132,21477,0.0061461097918703,-1
NGA,131,21477,0.0060995483540531,-1
BLR,131,21477,0.0060995483540531,-1
VEN,130,21477,0.0060529869162359,-1
SLV,130,21477,0.0060529869162359,-1
SAU,130,21477,0.0060529869162359,-1
MLT,130,21477,0.0060529869162359,-1
PAN,130,21477,0.0060529869162359,-1
GTM,130,21477,0.0060529869162359,-1
MDA,130,21477,0.0060529869162359,-1
SVK,130,21477,0.0060529869162359,-1
NCL,129,21477,0.0060064254784187,-1
LBN,129,21477,0.0060064254784187,-1
CZE,129,21477,0.0060064254784187,-1
HRV,129,21477,0.0060064254784187,-1
TZA,129,21477,0.0060064254784187,-1
MAR,129,21477,0.0060064254784187,-1
CRI,129,21477,0.0060064254784187,-1
NIC,129,21477,0.0060064254784187,-1
TUR,128,21477,0.0059598640406015,-1
AUS,128,21477,0.0059598640406015,-1
CHL,128,21477,0.0059598640406015,-1
KEN,127,21477,0.0059133026027843,-1
UGA,127,21477,0.0059133026027843,-1
SRB,127,21477,0.0059133026027843,-1
JOR,127,21477,0.0059133026027843,-1
LKA,127,21477,0.0059133026027843,-1
LUX,127,21477,0.0059133026027843,-1
TUN,126,21477,0.0058667411649671,-1
IDN,126,21477,0.0058667411649671,-1
ISL,125,21477,0.0058201797271499,-1
FJI,125,21477,0.0058201797271499,-1
BWA,125,21477,0.0058201797271499,-1
CMR,125,21477,0.0058201797271499,-1
MDG,125,21477,0.0058201797271499,-1
URY,124,21477,0.0057736182893327,-1
DZA,124,21477,0.0057736182893327,-1
OMN,124,21477,0.0057736182893327,-1
KGZ,124,21477,0.0057736182893327,-1
BIH,124,21477,0.0057736182893327,-1
ALB,123,21477,0.0057270568515155,-1
BGD,123,21477,0.0057270568515155,-1
ARG,123,21477,0.0057270568515155,-1
UZB,123,21477,0.0057270568515155,-1
BOL,122,21477,0.0056804954136983,-1
PRY,122,21477,0.0056804954136983,-1
KWT,122,21477,0.0056804954136983,-1
NAM,121,21477,0.0056339339758811,-1
ARE,121,21477,0.0056339339758811,-1
ZWE,121,21477,0.0056339339758811,-1
PYF,121,21477,0.0056339339758811,-1
BRB,121,21477,0.0056339339758811,-1
NPL,121,21477,0.0056339339758811,-1
MWI,120,21477,0.0055873725380639,-1
BRN,120,21477,0.0055873725380639,-1
HTI,120,21477,0.0055873725380639,-1
COD,120,21477,0.0055873725380639,-1
GHA,120,21477,0.0055873725380639,-1
GRD,120,21477,0.0055873725380639,-1
SEN,120,21477,0.0055873725380639,-1
IRQ,120,21477,0.0055873725380639,-1
IRN,120,21477,0.0055873725380639,-1
GAB,120,21477,0.0055873725380639,-1
ZMB,120,21477,0.0055873725380639,-1
CIV,119,21477,0.0055408111002467,-1
JAM,119,21477,0.0055408111002467,-1
GUY,119,21477,0.0055408111002467,-1
YEM,119,21477,0.0055408111002467,-1
MUS,119,21477,0.0055408111002467,-1
MNE,118,21477,0.0054942496624295,-1
NER,118,21477,0.0054942496624295,-1
BEN,117,21477,0.0054476882246123,-1
ATG,117,21477,0.0054476882246123,-1
TTO,117,21477,0.0054476882246123,-1
SWZ,117,21477,0.0054476882246123,-1
MLI,116,21477,0.0054011267867951,-1
KHM,116,21477,0.0054011267867951,-1
SUR,116,21477,0.0054011267867951,-1
MRT,116,21477,0.0054011267867951,-1
ETH,116,21477,0.0054011267867951,-1
BFA,115,21477,0.0053545653489779,-1
TGO,115,21477,0.0053545653489779,-1
LCA,115,21477,0.0053545653489779,-1
MNG,114,21477,0.0053080039111607,-1
MOZ,114,21477,0.0053080039111607,-1
GIN,112,21477,0.0052148810355263,-1
MMR,112,21477,0.0052148810355263,-1
BLZ,112,21477,0.0052148810355263,-1
DOM,112,21477,0.0052148810355263,-1
DMA,111,21477,0.0051683195977091,-1
SLE,111,21477,0.0051683195977091,-1
VCT,109,21477,0.0050751967220747,-1
CAF,109,21477,0.0050751967220747,-1
AGO,109,21477,0.0050751967220747,-1
VNM,109,21477,0.0050751967220747,-1
GMB,108,21477,0.0050286352842575,-1
WSM,108,21477,0.0050286352842575,-1
RWA,108,21477,0.0050286352842575,-1
DJI,107,21477,0.0049820738464403,-1
CPV,106,21477,0.0049355124086231,-1
SDN,104,21477,0.0048423895329887,-1
MDV,104,21477,0.0048423895329887,-1
BMU,103,21477,0.0047958280951715,-1
TCD,103,21477,0.0047958280951715,-1
TJK,102,21477,0.0047492666573543,-1
LAO,102,21477,0.0047492666573543,-1
SLB,100,21477,0.0046561437817199,-1
LBR,99,21477,0.0046095823439027,-1
KNA,99,21477,0.0046095823439027,-1
KOR,97,21477,0.0045164594682683,-1
VUT,96,21477,0.0044698980304511,-1
KIR,94,21477,0.0043767751548167,-1
GNB,91,21477,0.0042370908413651,-1
STP,91,21477,0.0042370908413651,-1
TKM,90,21477,0.0041905294035479,-1
TLS,86,21477,0.0040042836522791,-1
AFG,83,21477,0.0038645993388275,-1
LSO,75,21477,0.0034921078362899,-1
