Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
O,540641,571153,0.9465782373549644,-1
B-TRIVIAL,7808,571153,0.0136705926433022,-1
B-SYSTEMATIC,5665,571153,0.0099185332126417,-1
B-ABBREVIATION,4059,571153,0.0071066771950773,-1
B-FAMILY,3622,571153,0.0063415582164498,-1
B-FORMULA,3441,571153,0.0060246553900618,-1
I-SYSTEMATIC,1687,571153,0.0029536744094839,-1
I-FAMILY,1450,571153,0.0025387242997935,-1
I-TRIVIAL,1139,571153,0.0019942117085964,-1
I-MULTIPLE,576,571153,0.0010084863425386,-1
B-IDENTIFIER,513,571153,0.0008981831488235,-1
I-FORMULA,204,571153,0.0003571722463157,-1
B-MULTIPLE,195,571153,0.0003414146472136,-1
I-ABBREVIATION,59,571153,0.0001032998163364,-1
I-IDENTIFIER,47,571153,8.228968420020555e-05,-1
B-NO CLASS,41,571153,7.17846181320942e-05,-1
I-NO CLASS,6,571153,1.0505066068111346e-05,-1
