Category_Set,Category_Occurrences,Total_Examples,percent_of_entries,Entity_Number
VN,8419,151623,0.0555258766809784,-1
IN,5812,151623,0.0383319153426591,-1
CN,5324,151623,0.0351134062774117,-1
AF,5006,151623,0.0330160991406317,-1
BD,3895,151623,0.0256887147728247,-1
BR,3397,151623,0.0224042526529616,-1
ZR,3270,151623,0.0215666488593419,-1
NI,3231,151623,0.0213094319463406,-1
HN,2690,151623,0.0177413716916298,-1
BA,2671,151623,0.01761606088786,-1
3A,2368,151623,0.0156176833330035,-1
ID,2281,151623,0.0150438917578467,-1
NG,2276,151623,0.0150109152305389,-1
CO,2247,151623,0.0148196513721533,-1
MX,2211,151623,0.0145822203755366,-1
HT,2202,151623,0.0145228626263825,-1
GT,2146,151623,0.0141535255205344,-1
MG,2133,151623,0.014067786549534,-1
KG,2073,151623,0.0136720682218396,-1
TJ,1918,151623,0.0126497958752959,-1
AR,1904,151623,0.0125574615988339,-1
AZ,1883,151623,0.0124189601841409,-1
RU,1880,151623,0.0123991742677562,-1
BO,1880,151623,0.0123991742677562,-1
PK,1795,151623,0.0118385733035225,-1
YF,1735,151623,0.0114428549758282,-1
TR,1723,151623,0.0113637113102893,-1
TZ,1656,151623,0.0109218258443639,-1
NP,1623,151623,0.010704180764132,-1
GH,1604,151623,0.0105788699603622,-1
MD,1600,151623,0.0105524887385159,-1
MZ,1559,151623,0.0102820812145914,-1
RY,1545,151623,0.0101897469381294,-1
UG,1517,151623,0.0100050783852054,-1
KH,1516,151623,0.0099984830797438,-1
HR,1492,151623,0.0098401957486661,-1
AM,1468,151623,0.0096819084175883,-1
GE,1412,151623,0.0093125713117403,-1
RO,1387,151623,0.0091476886752009,-1
SN,1376,151623,0.0090751403151236,-1
SV,1357,151623,0.0089498295113538,-1
AL,1352,151623,0.0089168529840459,-1
CI,1300,151623,0.0085738971000441,-1
ET,1250,151623,0.0082441318269655,-1
KE,1203,151623,0.0079341524702716,-1
PE,1197,151623,0.0078945806375022,-1
MK,1168,151623,0.0077033167791166,-1
3W,1160,151623,0.007650554335424,-1
BJ,1159,151623,0.0076439590299624,-1
LA,1141,151623,0.0075252435316541,-1
BG,1135,151623,0.0074856716988847,-1
LR,1094,151623,0.0072152641749602,-1
EG,1087,151623,0.0071690970367292,-1
UA,1058,151623,0.0069778331783436,-1
MW,1054,151623,0.0069514519564973,-1
PH,1054,151623,0.0069514519564973,-1
BI,1016,151623,0.0067008303489576,-1
MN,1016,151623,0.0067008303489576,-1
LB,929,151623,0.0061270387738008,-1
ZM,907,151623,0.0059819420536462,-1
UZ,868,151623,0.0057247251406448,-1
ML,837,151623,0.0055202706713361,-1
GZ,795,151623,0.0052432678419501,-1
IQ,790,151623,0.0052102913146422,-1
LK,751,151623,0.0049530744016409,-1
NE,745,151623,0.0049135025688714,-1
XK,715,151623,0.0047156434050243,-1
DO,710,151623,0.0046826668777164,-1
CG,684,151623,0.0045111889357155,-1
MR,683,151623,0.0045045936302539,-1
IR,681,151623,0.0044914030193308,-1
AO,679,151623,0.0044782124084076,-1
SL,679,151623,0.0044782124084076,-1
TP,670,151623,0.0044188546592535,-1
CM,650,151623,0.004286948550022,-1
LS,633,151623,0.0041748283571753,-1
KZ,631,151623,0.0041616377462522,-1
TN,630,151623,0.0041550424407906,-1
EC,619,151623,0.0040824940807133,-1
SD,611,151623,0.0040297316370207,-1
BF,611,151623,0.0040297316370207,-1
ME,601,151623,0.003963778582405,-1
RW,583,151623,0.0038450630840967,-1
JO,563,151623,0.0037131569748652,-1
PG,558,151623,0.0036801804475574,-1
DJ,534,151623,0.0035218931164796,-1
GN,526,151623,0.0034691306727871,-1
BY,494,151623,0.0032580808980167,-1
PY,485,151623,0.0031987231488626,-1
UY,473,151623,0.0031195794833237,-1
SS,469,151623,0.0030931982614774,-1
TG,455,151623,0.0030008639850154,-1
MA,419,151623,0.0027634329883988,-1
TD,366,151623,0.0024138817989355,-1
LC,351,151623,0.0023149522170119,-1
GW,337,151623,0.0022226179405499,-1
CF,336,151623,0.0022160226350883,-1
GD,324,151623,0.0021368789695494,-1
PA,323,151623,0.0021302836640879,-1
PL,319,151623,0.0021039024422416,-1
GY,317,151623,0.0020907118313184,-1
GM,310,151623,0.0020445446930874,-1
CR,301,151623,0.0019851869439333,-1
7C,276,151623,0.0018203043073939,-1
CV,266,151623,0.0017543512527782,-1
TO,261,151623,0.0017213747254704,-1
ZA,259,151623,0.0017081841145472,-1
SO,251,151623,0.0016554216708546,-1
SB,250,151623,0.0016488263653931,-1
WS,235,151623,0.0015498967834695,-1
JM,233,151623,0.0015367061725463,-1
ER,214,151623,0.0014113953687765,-1
6O,212,151623,0.0013982047578533,-1
KI,208,151623,0.001371823536007,-1
6R,172,151623,0.0011343925393904,-1
BZ,168,151623,0.0011080113175441,-1
7B,156,151623,0.0010288676520053,-1
VU,152,151623,0.001002486430159,-1
BT,148,151623,0.0009761052083127,-1
MM,147,151623,0.0009695099028511,-1
6C,146,151623,0.0009629145973895,-1
VC,145,151623,0.000956319291928,-1
VE,143,151623,0.0009431286810048,-1
MV,140,151623,0.0009233427646201,-1
7E,139,151623,0.0009167474591585,-1
GA,136,151623,0.0008969615427738,-1
TH,136,151623,0.0008969615427738,-1
CL,132,151623,0.0008705803209275,-1
3T,130,151623,0.0008573897100044,-1
DZ,118,151623,0.0007782460444655,-1
ZW,114,151623,0.0007518648226192,-1
SZ,106,151623,0.0006991023789266,-1
5M,103,151623,0.0006793164625419,-1
SK,100,151623,0.0006595305461572,-1
6L,93,151623,0.0006133634079262,-1
BW,91,151623,0.000600172797003,-1
KM,88,151623,0.0005803868806183,-1
4E,86,151623,0.0005671962696952,-1
8S,83,151623,0.0005474103533105,-1
1W,71,151623,0.0004682666877716,-1
TT,67,151623,0.0004418854659253,-1
6A,66,151623,0.0004352901604637,-1
LT,65,151623,0.0004286948550022,-1
DM,62,151623,0.0004089089386174,-1
TV,59,151623,0.0003891230222327,-1
LV,58,151623,0.0003825277167712,-1
4P,55,151623,0.0003627418003864,-1
3E,50,151623,0.0003297652730786,-1
KN,50,151623,0.0003297652730786,-1
ST,48,151623,0.0003165746621554,-1
MU,47,151623,0.0003099793566939,-1
HU,36,151623,0.0002374309966166,-1
7X,22,151623,0.0001450967201545,-1
FM,20,151623,0.0001319061092314,-1
TM,19,151623,0.0001253108037698,-1
BB,16,151623,0.0001055248873851,-1
AG,15,151623,9.89295819235868e-05,-1
FJ,13,151623,8.573897100044189e-05,-1
3S,12,151623,7.914366553886943e-05,-1
4M,12,151623,7.914366553886943e-05,-1
SY,10,151623,6.595305461572452e-05,-1
SC,10,151623,6.595305461572452e-05,-1
4A,4,151623,2.638122184628981e-05,-1
SR,3,151623,1.978591638471736e-05,-1
MH,3,151623,1.978591638471736e-05,-1
5R,2,151623,1.3190610923144905e-05,-1
CZ,2,151623,1.3190610923144905e-05,-1
SI,2,151623,1.3190610923144905e-05,-1
PW,1,151623,6.595305461572452e-06,-1
GQ,1,151623,6.595305461572452e-06,-1
